complication_id,system_id,part_id,severity_level,name,weight,normal_medicine_bonus,appearance_indicator,patient_statement_clear,patient_statement_vague,exam_method,exam_result_positive,exam_result_negative,recheck_hint_mild,recheck_hint_moderate,recheck_hint_severe,treatment_plan,requires_surgery
1010035,10,1003,1,中度脑干炎性病灶,0.4,0.75,说话含糊并频频吞咽，胸廓起伏急促,这几天持续发热，反复呕吐，走路不稳，讲话容易打结，还会觉得喉咙和后脑勺一起发紧发胀，整个人乏力明显,总觉得身体像散了架一样，既说是“全身发烧要烂掉”，又说是“脑子都煮熟了”，把发热、头晕、走不稳都混在一起形容成一团糟,腰穿 + MRI,脑脊液蛋白升高，显示脑干调节机能已明显紊乱,指标正常，暂未见脑干调节量化异常但症状持续,本次腰穿与影像学检查未能直接证实目标炎性病灶，但脑脊液轻度异常或脑干信号轻微改变，提示同部位存在其他轻症级别炎症或脱髓鞘,本次腰穿与影像学检查未能直接证实目标炎性病灶，却提示脑脊液及脑干结构存在中度炎性改变，说明该部位合并中症级别的其他感染或免疫性病变,本次腰穿与影像学检查未能直接证实目标炎性病灶，却显示脑脊液重度异常并伴脑干信号显著受损，提示同部位已合并重症级别中枢炎症危象,静脉抗炎 + 特效药 24 号,0
1010039,10,1003,2,脑干压迫性源石硬化,1.0,1.1,呼吸明显费力伴口唇发绀，姿势僵硬,目前稍微活动就会明显喘不过来，说话只能断句，一两句话就要停下来喘，伴有严重胸闷、喉头紧缩感和意识模糊，平躺时更觉得憋气,只能断断续续地说“喘不上来”“要窒息了”，用抓胸口、撕扯衣领来表达难受，把所有不适汇成一句“整个人要没气了”,术前 3D CTA + 术中监测,晶体压迫呼吸中枢，证实脑干调节急性受损需高度警惕,指标正常，结果阴性却与脑干调节危象临床不符,本次 3D CTA 与术中监测未能直接确认压迫性源石硬化，但仍发现延髓周围有轻度血流或传导异常，提示同部位存在其他轻症级别压迫或狭窄,本次 3D CTA 与术中监测未能直接确认压迫性源石硬化，却提示脑干供血及呼吸中枢通路存在中度受压改变，说明该部位合并中症级别的其他危及通气的病变,本次 3D CTA 与术中监测未能直接确认压迫性源石硬化，却显示呼吸中枢血供与神经通路发生重度阻断，提示同部位已合并重症级别脑干呼吸衰竭状态需紧急处理,经枕开颅减压 + 气道管理 + 感染抑制剂 23 号,1
1010041,10,1004,0,轻度脊髓髓鞘刺激,0.35,0.3,体态端正仅偶扶颈,最近低头看手机或工作久了，后颈到上背部会突然像有电流往下窜一下，沿着脊柱往下跳麻，但持续时间很短，平躺休息就会好转,偶尔会说背上一低头就“过电”，一会儿觉得是着凉一会儿又说像被人从后面敲了一下，具体是哪一节脊柱、麻到哪里经常说不清,脊髓超声 + 诱发电位,颈段传导迟滞0.3ms，提示脊髓传导功能轻度偏离,传导正常，与脊髓传导常规范围一致，需结合动态观察,本次脊髓超声及诱发电位未能直接证明目标髓鞘刺激，但仍显示颈段有轻度传导延迟，提示同部位存在其他轻症级别髓鞘受损,本次脊髓超声及诱发电位未能直接证明目标髓鞘刺激，却提示部分节段传导中度减慢，说明该部位合并中症级别的其他脱髓鞘或压迫性病变,本次脊髓超声及诱发电位未能直接证明目标髓鞘刺激，却显示多节段传导重度中断，提示同部位已合并重症级别脊髓传导危象,门诊消炎 + 颈托三天,0
1010042,10,1004,0,轻度脊髓供血不足,0.33,0.35,低头时面部轻皱并扶颈，背肌轻度紧绷,站久或弯腰时间长了，下腰会发酸发涨，偶尔伴随大腿轻微发软，短暂休息后可以恢复，走路距离稍长会更明显,站久了就觉得腿像踩在棉花上，腰里头“发空”，一会儿说是腰累一会儿又说是腿没劲，说不清是肌肉酸还是发麻,脊髓血管 CTA,前脊动脉灌注延迟，提示脊髓传导功能轻度偏离,灌注良好，与脊髓传导常规范围一致，需结合动态观察,本次脊髓血管 CTA 未能直接显示目标供血不足，但仍发现前脊动脉有轻度血流异常，提示该部位存在其他轻症级别灌注受限,本次脊髓血管 CTA 未能直接显示目标供血不足，却提示相关节段存在中度动脉狭窄或血流不稳，说明同部位合并中症级别的其他缺血病变,本次脊髓血管 CTA 未能直接显示目标供血不足，却显示关键供血通路有重度狭窄或闭塞，提示该部位已合并重症级别脊髓缺血坏死风险,扩血管药 + 理疗,0
1010043,10,1004,0,轻度脊髓膜粘连,0.32,0.4,低头时面部轻皱并扶颈，背肌轻度紧绷,弯腰或者转身幅度大时，后背正中会有一条牵拉样疼痛，从颈部往下延伸，但不放射到四肢，直立后疼痛会缓解,一动大点就说后背被“扯着了一根筋”，有时说像衣服被挂住，有时又说像拉韧带，具体是哪一段脊柱总是描述得很含混,增强 MRI,局灶膜粘连，提示脊髓传导功能轻度偏离，需结合体征判断,膜层顺滑，与脊髓传导常规范围一致，需结合动态观察,本次增强 MRI 未能直接发现目标膜粘连，但在同一节段硬膜囊仍可见轻度形态改变，提示该部位存在其他轻症级别蛛网膜或硬膜异常,本次增强 MRI 未能直接发现目标膜粘连，却提示局部膜层中度增厚或牵拉，说明同部位合并中症级别的其他瘢痕或纤维化病变,本次增强 MRI 未能直接发现目标膜粘连，却显示膜层重度肥厚伴脊髓受压，提示该部位已合并重症级别粘连性蛛网膜炎或压迫性病灶,松解注射 + 核心训练,0
1010044,10,1004,1,中度脊髓结晶压迫,0.6,0.65,站立时反复揉按腰背，步态沉重伴紧张,现在走路大概两三百米就会感觉双腿发麻、发紧，腰背酸胀明显，需要停下休息才能继续走，下肢肌力略有减弱但尚能独立活动,总说走不了多远就“腿灌了铅”，一会儿觉得是骨头疼一会儿又说是肉疼，说不清是从腰往下麻还是从脚往上顶，只觉得整条腰腿都不对劲,MRI + 步态评估,压迫系数25%，显示脊髓传导机能已明显紊乱,椎管通畅，暂未见脊髓传导量化异常但症状持续,本次 MRI 与步态评估未能直接显示典型结晶压迫，但仍可见局部椎管轻度狭窄或步态轻度改变，提示同部位存在其他轻症级别机械性压迫,本次 MRI 与步态评估未能直接显示典型结晶压迫，却提示相关节段有中度椎管狭窄和步态异常，说明该部位合并中症级别的其他退变或占位性病变,本次 MRI 与步态评估未能直接显示典型结晶压迫，却显示多节段重度狭窄伴传导受阻，提示同部位已合并重症级别脊髓压迫综合征,住院牵引 + 感染抑制剂 22 号,0
1010045,10,1004,1,中度脊髓炎性病灶,0.4,0.75,站立时反复揉按腰背，步态沉重伴紧张,腰背部持续性灼热样疼痛，从中下段沿着脊柱向前腹部放射，活动时更明显，伴有低热、乏力和轻微下肢沉重感,形容腰背像一直在“低烧”，有时候说像被热水袋贴着，有时候又说像火在里面慢慢烤，把发热和局部疼痛混成一团,腰穿脑脊液 + ESR,白细胞升高含源石微粒，显示脊髓传导机能已明显紊乱,指标正常，暂未见脊髓传导量化异常但症状持续,本次腰穿与炎症指标未能直接确认目标脊髓炎性病灶，但脑脊液或 ESR 轻度异常，提示同节段存在其他轻症级别炎症刺激,本次腰穿与炎症指标未能直接确认目标脊髓炎性病灶，却提示中枢炎症相关指标中度升高，说明该部位合并中症级别的其他脊髓或脑膜炎性病变,本次腰穿与炎症指标未能直接确认目标脊髓炎性病灶，却显示脑脊液和系统炎症标志物重度异常，提示同部位已合并重症级别中枢炎症危象,大剂量抗炎 + 特效药 24 号,0
1010049,10,1004,2,脊髓节段源石硬化,1.0,1.1,腰背僵直步履迟缓，双下肢发力明显困难,目前腰部以下持续发麻、发紧，走几步就觉得腿抬不起来，下肢肌力明显下降，上厕所和翻身都费力，长时间站立几乎不可能,只反复说从腰往下一片都是“木的”“不是自己的腿”，要么形容成被绑住，要么说像整个人被截断，具体哪一侧更重、从哪一级开始都说不清,3D CTM + 术中监测,多节段压迫信号中断，证实脊髓传导急性受损需高度警惕,导管通畅，结果阴性却与脊髓传导危象临床不符,本次 3D CTM 与术中监测未能直接证实节段源石硬化，但仍可见少数节段轻度传导异常，提示同部位存在其他轻症级别节段性脊髓损伤,本次 3D CTM 与术中监测未能直接证实节段源石硬化，却提示部分节段有中度传导阻滞或压迫信号，说明该部位合并中症级别的其他结构性病变,本次 3D CTM 与术中监测未能直接证实节段源石硬化，却显示关键节段出现重度传导中断，提示同部位已合并重症级别脊髓横贯性损伤,后路减压切除晶体 + 内固定 + 感染抑制剂 23 号,1
1010051,10,1005,0,轻度周围神经炎,0.35,0.3,手足外观尚温仅轻抖,这段时间手指和脚趾时不时会有针扎样麻感，尤其是久坐或久站之后更明显，位置主要在指尖和脚趾头，活动一下会好一些,总觉得皮肤哪儿都怪怪的，一会儿说像蚂蚁在爬，一会儿又说像被细小的针轻轻扎，具体是手还是脚更难受往往前后说法不一,神经传导 + 皮温,传导速度减慢5%，提示周围神经功能轻度偏离,传导正常，与周围神经常规范围一致，需结合动态观察,本次神经传导与皮温测定未能直接证明目标周围神经炎，但仍显示端神经有轻度传导或温度异常，提示同部位存在其他轻症级别神经受累,本次神经传导与皮温测定未能直接证明目标周围神经炎，却提示多支末梢神经存在中度传导减慢，说明该部位合并中症级别的其他多发性神经病变,本次神经传导与皮温测定未能直接证明目标周围神经炎，却显示广泛重度传导障碍，提示同部位已合并重症级别的周围神经衰竭状态,口服维生素 B + 理疗,0
1010052,10,1005,0,轻度神经束压痕,0.33,0.35,手足外观尚温仅轻抖,最近手腕和脚背在弯曲或受压一段时间后，局部会出现短暂麻木或酸胀，放松一会儿就能恢复，平时外观没有明显肿胀,总说手一弯就“发木”，脚一压就“死了一块肉”，有时怪成是睡姿不好，有时又说像筋被勒住了，具体压着哪一点经常说不准,神经超声,神经束被软组织轻压，提示周围神经功能轻度偏离,超声正常，与周围神经常规范围一致，需结合动态观察,本次神经超声未能直接显示典型压痕改变，但仍提示神经周围有轻度软组织肥厚或滑动受限，说明同部位存在其他轻症级别压迫因素,本次神经超声未能直接显示典型压痕改变，却提示局部软组织中度肥厚或神经走形受限，说明该部位合并中症级别的其他卡压性病变,本次神经超声未能直接显示典型压痕改变，却显示神经周围重度狭窄伴内径改变，提示同部位已合并重症级别神经卡压综合征,护具制动 + 抗炎药,0
1010053,10,1005,0,轻度神经束缺血,0.32,0.4,手指偶作搓揉并诉轻麻，皮色基本正常,长时间跑步或下肢负重后，脚趾会发白发凉，伴随末梢轻度刺痛感和麻木，抬高或休息后逐渐恢复正常感觉,总说脚一累就“像被冰水泡着”，有时夸大成整条腿都凉透了，又说是血不够往下走，把末梢发凉形容成整条肢体冻僵,末梢多普勒,动脉流速下降，提示周围神经功能轻度偏离，需结合体征判断,流速正常，与周围神经常规范围一致，需结合动态观察,本次末梢多普勒未能直接证实目标神经束缺血，但仍提示供血动脉有轻度流速变化，说明同部位存在其他轻症级别末梢灌注异常,本次末梢多普勒未能直接证实目标神经束缺血，却提示相关动脉存在中度狭窄或搏动减弱，说明该部位合并中症级别的其他缺血性病变,本次末梢多普勒未能直接证实目标神经束缺血，却显示末梢血流重度衰减或近乎中断，提示同部位已合并重症级别末梢缺血坏死风险,扩血管药 + 热敷,0
