cid,name,country,leader,introduction
151,谢拉格,15,喀兰圣女,或称雪境，是位于泰拉大陆中偏北的宗教国家。几乎不受天灾影响，地势险峻，封闭保守。北接卡西米尔，西邻哥伦比亚，东接维多利亚。因终年落雪，谢拉格人自称国度为雪境，这往往比国名更广为人知。主要城市是图里卡姆。
152,喀兰贸易,15,恩希欧迪斯,谢拉格最大的贸易公司，垄断了该国的对外贸易，在国际商业中具有重要地位，实际控制着谢拉格的经济命脉。
161,叙拉古,16,西西里夫人,叙拉古是位于泰拉大陆中部的国家，临近莱塔尼亚和拉特兰，原为莱塔尼亚属地，后独立出来，现由几大帮派支配政权。叙拉古目前由十二家族支配国内政局。家族下设有数个分部，分部的领导者被称为“角头”。而在家族之上，被称为“兽主”的存在扶持自己的“獠牙”，暗中干涉整个叙拉古。
171,炎,17,待填写,坐落于泰拉大陆最东方的大国。作为一个绵延了数千年的国度，宽广的疆土、悠久的文化，共同保障着炎国的昌盛。深入过炎国腹地的人或许不多，但关于炎国奇人异事的流传，在这片大地上从未停止。炎国东与东国相邻，西北与乌萨斯帝国接壤。北方边境有邪魔泛滥。南部临海。
172,岁,17,待填写,是大炎神明碎片的化身。每个神明都各取一字作为真名。神明曾背叛同族加入狩猎其他神明的战争，最终化为十二块碎片，遍布于大炎各地，后化为人形，彼此以兄弟姐妹互称，或隐居于世，成为诗人或画家，或入仕朝廷为官。
173,龙门,17,魏彦吾,炎国境内的现代化都市，是重要的金融和贸易中心，拥有高度发达的商业体系和现代化的城市管理，炎国经济文化中心之一。远离炎国腹地，现地处炎国西北角，与乌萨斯接壤。以“开放、包容、自由”为其最大特征。
174,龙门近卫局,17,陈,简称“近卫局”，是龙门警备力量与安全部门的结合体。是龙门的颜面、支柱、最出色的常规力量之一，龙门市民的心理支柱。近卫局在处理问题上，集中，无情，但有效，尤其是在面对天灾带来的感染者泛滥的问题上。
175,鲤氏侦探事务所,17,鲤,鲤氏侦探事务所是一家位于龙门的私人侦探事务所，负责解决当地民间的特别事务。表面上只承接侦探事务，事实上什么业务都接，是龙门灰色地带的所谓“万事屋”。
176,企鹅物流,17,大帝,是一家小型私人物流企业，提供要人护卫、货物运输等常规服务。因业务发展需要转移至龙门并开始以龙门作为核心业务区域。企鹅物流明面上开展的业务是正常的物流运输业务，包括货物保全、保密运输、私人高级运输服务等，暗地里却开展着情报贩卖、武装押运、秘密运输等游走于法律边缘的业务。
181,伊比利亚,18,待填写,位于泰拉大陆南部的临海国家。封闭保守，宗教占政治的比重很大。拥有光辉灿烂的历史，但是在“大静谧”灾难的入侵下早已落寞。仰仗着超前的海洋科技，伊比利亚一度成为陆上强国，然而同样来自于海洋的灾难，摧毁了伊比利亚的辉煌。边境封锁，遍地废墟。
191,杜林,19,待填写,位于地下的杜林族聚居地，在萨尔贡阿卡胡拉地区的下部，分布着诸多城邦。杜林位于泰拉的地下，当地的生态环境与地面有很大不同。杜林掌握有地面世界所未知的机械制造技术，其制造的武器实力可能强于维多利亚、哥伦比亚等国的军事装备。
192,际崖城,19,待填写,杜林族的重要城市，位于地下深处，是杜林族的政治和文化中心，拥有独特的地下城市建筑风格。
503,汐斯塔,-1,赫尔曼·道尔科斯,位于内海中的独立城邦，由赫尔曼·道尔科斯一手建立。是极富盛名的旅游度假城市，每年夏天都会举办黑曜石节。旧汐斯塔废弃并搬迁后，其依托于火山而构建的旅游经济也不复存在，黑曜石节也已经停办。汐斯塔正向商业枢纽城市进行转型。
504,使徒,-1,闪灵,由萨卡兹流浪医师闪灵建立的个人组织，目前的成员除闪灵外，仅有前卡西米尔耀骑士临光和萨卡兹医者夜莺。“使徒”是一个感染者援助团体，行走各地为感染者提供医疗援助，同时也并不避讳暴力冲突，在数年的游历过程中多次使用过明确的暴力手段，以阻止人道灾难的发生。
511,整合运动,-1,塔露拉,是一个无种族立场，极端排外的感染者组织。整合运动仇视歧视和压迫他们的社会，宣称感染者“应对自己的身份感到骄傲，积极去获取并使用属于自己的力量”，试图用暴力手段争夺社会对感染者的公正。
512,深海教会,-1,待填写,伊比利亚“大静谧”事件后，由“海嗣”及其崇拜者在伊比利亚国内创建的邪教团体，现已扩散到整个大陆。教义认为与尔虞我诈、争斗不休的人类相比，集群意识的“海嗣”是更高级的生命形式，个体应为“种群”进行无私奉献，实现“海嗣”群体的进化。
513,锈锤,-1,待填写,由活动于荒地的一群流民组成的暴力组织，他们自喻为“荒地的征服者”，远离一切文明，依靠狩猎野兽、开垦土地，互相照应着生存在荒原之上，利用自制的武器战胜敌人。“锈锤”因犯有袭击贵族的队伍等罪行而恶名远扬，被形容为一群残暴野蛮，以杀戮为乐的荒地暴徒。
