cid,en_name,name,duration,trigger,tag
337,steal_scene_all_pan,偷走所有人内裤,10,pl,猥亵
338,steal_scene_all_socks,偷走所有人袜子,10,pl,猥亵

341,bagging_and_moving,装袋搬走,10,pl,猥亵
342,put_into_prison,投入监牢,10,pl,猥亵
343,set_free,解除囚禁,10,pl,猥亵
344,release_from_bag,从袋中放出来,10,pl,猥亵

351,confession,告白,10,both,猥亵
352,confession_failed,告白失败,10,pl,猥亵
353,give_necklace,戴上项圈,10,both,猥亵
354,give_necklace_failed,戴上项圈失败,10,pl,猥亵
356,low_obscenity_anus,轻度猥亵失败,10,pl,猥亵
357,high_obscenity_anus,重度猥亵失败,10,pl,猥亵

360,h,进入H状态,5,both,性爱
361,h_by_active,被逆推进入H,5,pl,性爱
362,end_h,结束H,5,pl,性爱
363,no_conscious_h_end,结束无意识H,5,pl,性爱
364,do_h_fail,邀请H失败,10,pl,猥亵
365,h_hp_0,H时博士体力为零中断,5,pl,性爱
366,t_h_hp_0,H时交互对象体力为零中断,5,pl,性爱

370,ask_group_sex,邀请群交,5,pl,性爱
371,group_sex_end,结束群交,5,pl,性爱
372,ask_group_sex_fail,邀请群交失败,5,pl,猥亵
373,group_sex_pl_hp_0_end,群交时博士体力为零中断,5,pl,性爱
374,group_sex_npc_hp_0_end,群交时自己体力为零退出,5,npc,性爱
375,group_sex_to_h,群交时NPC数量不足转为单人H,5,pl,性爱
376,join_group_sex,自己加入群交,5,npc,性爱
377,refuse_join_group_sex,拒绝加入群交,5,npc,猥亵
378,other_sex_be_found_to_group_sex,其他H中被发现转群交,5,pl,性爱
379,discover_other_sex_and_join,发现其他H并加入转群交,5,npc,性爱

380,ask_hidden_sex,邀请隐奸,5,pl,性爱
381,ask_hidden_sex_fail,邀请隐奸失败,5,pl,猥亵
382,other_sex_be_found_to_hidden_sex,其他H中被发现转隐奸,5,pl,性爱

386,ask_exhibitionism_sex,邀请露出性爱,5,pl,性爱
387,ask_exhibitionism_sex_fail,邀请露出性爱失败,5,pl,猥亵
388,other_sex_be_found_to_exhibitionism_sex,其他H中被发现转露出,5,both,性爱

390,h_interrupt,H时被人目击闯入中断,5,pl,性爱
391,see_h_and_interrupt,目击H并打断,10,npc,猥亵
392,see_h_but_deceived,目击H但被骗走,5,npc,猥亵
393,see_h_and_leave,目击H并离开,5,npc,猥亵
394,see_h_but_ignore,目击H并无视,5,npc,猥亵

401,making_out,身体爱抚,10,both,性爱|N|手
402,kiss_h,接吻,5,both,性爱|N|口|破处
403,breast_caress,胸爱抚,10,both,性爱|B|手
404,twiddle_nipples,玩弄乳头,10,both,性爱|B|手
405,breast_sucking,舔吸乳头,10,both,性爱|B|口
406,clit_caress,阴蒂爱抚,10,both,性爱|C|手
407,open_labia,掰开阴唇观察,10,both,性爱|V|手
408,open_anus,掰开肛门观察,10,both,性爱|A|手
409,cunnilingus,舔阴,10,both,性爱|C|口
410,lick_anal,舔肛,10,both,性爱|A|口
411,finger_insertion,手指插入(V),10,both,性爱|V|手
412,anal_caress,手指插入(A),10,both,性爱|A|手
413,make_masturebate,命令对方自慰,10,both,性爱|非逆推
414,make_lick_anal,命令对方舔自己肛门,10,both,性爱|非逆推|肛
415,keep_enjoy,继续享受,-1,pl,性爱|非逆推
416,sedecu,诱惑对方,10,pl,性爱|非逆推
417,ask_pee,命令对方小便,5,pl,性爱|U|非逆推
418,masturebate,自慰(女),10,npc,性爱|非逆推

420,handjob,手交,10,both,性爱|N|侍奉
421,blowjob,口交,10,both,性爱|N|侍奉|破处
422,paizuri,乳交,10,both,性爱|B|侍奉
423,footjob,足交,10,both,性爱|N|侍奉
424,hairjob,发交,10,both,性爱|N|侍奉
425,axillajob,腋交,10,both,性爱|N|侍奉
426,rub_buttock,素股,10,both,性爱|N|C|侍奉
427,hand_blowjob,手交口交,10,both,性爱|N|侍奉|破处
428,tits_blowjob,乳交口交,10,both,性爱|N|B|侍奉|破处
429,focus_blowjob,真空口交,10,both,性爱|N|侍奉|破处
430,deep_throat,深喉插入,10,both,性爱|N|侍奉|破处
431,sixty_nine,六九式,10,both,性爱|N|C|侍奉|非逆推|口|破处
432,legjob,腿交,10,both,性爱|N|侍奉
433,tailjob,尾交,10,both,性爱|N|侍奉
434,face_rub,阴茎蹭脸,10,both,性爱|N|侍奉
435,horn_rub,阴茎蹭角,10,both,性爱|N|侍奉
436,ears_rub,阴茎蹭耳朵,10,both,性爱|N|侍奉
437,clean_blowjob,清洁口交,10,both,性爱|N|侍奉|破处

451,body_lubricant,润滑液,10,both,性爱|药物
452,birth_control_pills_before,事前避孕药,10,both,性爱|药物
453,birth_control_pills_after,事后避孕药,10,both,性爱|药物
454,philter,媚药,10,both,性爱|药物
455,enemas,灌肠液,10,both,性爱|药物
456,diuretics_once,一次性利尿剂,10,both,性爱|药物
457,diuretics_persistent,持续性利尿剂,10,both,性爱|药物
458,sleeping_pills,安眠药,10,both,性爱|药物
459,clomid,排卵促进药,10,both,性爱|药物

471,put_condom,戴上避孕套,1,pl,性爱|道具
472,take_condom_out,摘掉避孕套,1,pl,性爱|道具
473,urethral_swab,尿道棉棒,10,both,性爱|U|道具
474,electric_message_stick,电动按摩棒,10,both,性爱|C|道具
481,nipples_love_egg,乳头跳蛋,10,both,性爱|B|道具
482,nipple_clamp_on,戴上乳头夹,10,both,性爱|B|道具
483,nipple_clamp_off,取下乳头夹,10,both,性爱|B|道具
484,clit_love_egg,阴蒂跳蛋,10,both,性爱|C|道具
485,clit_clamp_on,戴上阴蒂夹,10,both,性爱|C|道具
486,clit_clamp_off,取下阴蒂夹,10,both,性爱|C|道具
491,vibrator_insertion,V插入震动棒,10,both,性爱|V|道具|破处
492,vibrator_insertion_off,拔出震动棒,10,both,性爱|V|道具
493,vibrator_insertion_anal,A插入震动棒,10,both,性爱|A|道具|破处
494,vibrator_insertion_anal_off,拔出肛门震动棒,10,both,性爱|A|道具
495,anal_beads,塞入肛门拉珠,10,both,性爱|A|道具|破处
496,anal_beads_off,拔出肛门拉珠,10,both,性爱|A|道具
497,clyster,灌肠,10,both,性爱|A
498,anal_plug,肛塞,10,both,性爱|A|道具
499,clyster_end,拔出肛塞,10,both,性爱|A|道具

501,normal_sex,正常位,10,both,性爱|插入|V|破处
502,back_sex,背后位,10,both,性爱|插入|V|破处|非逆推
503,riding_sex,对面骑乘位,10,both,性爱|插入|V|破处
504,face_seat_sex,对面座位,10,both,性爱|插入|V|破处
505,back_seat_sex,背面座位,10,both,性爱|插入|V|破处|非逆推
506,face_stand_sex,对面立位,10,both,性爱|插入|V|破处
507,back_stand_sex,背面立位,10,both,性爱|插入|V|破处|非逆推
508,back_riding_sex,背面骑乘位,10,both,性爱|插入|V|破处

511,stimulate_g_point,刺激G点,10,both,性爱|插入|V|破处
512,womb_os_caress,玩弄子宫口,10,both,性爱|插入|W|破处
513,womb_insertion,插入子宫口,10,both,性爱|插入|W|破处
514,womb_sex,子宫姦,10,both,性爱|插入|W|破处
515,external_womb_massage,体外子宫按摩,5,both,性爱|W|手

521,normal_anal_sex,正常位肛交,10,both,性爱|插入|A|破处
522,back_anal_sex,后背位肛交,10,both,性爱|插入|A|破处|非逆推
523,riding_anal_sex,对面骑乘位肛交,10,both,性爱|插入|A|破处
524,face_seat_anal_sex,对面座位肛交,10,both,性爱|插入|A|破处
525,back_seat_anal_sex,背面座位肛交,10,both,性爱|插入|A|破处|非逆推
526,face_stand_anal_sex,对面立位肛交,10,both,性爱|插入|A|破处
527,back_stand_anal_sex,背面立位肛交,10,both,性爱|插入|A|破处|非逆推
528,back_riding_anal_sex,背面骑乘位肛交,10,both,性爱|插入|A|破处
530,stimulate_sigmoid_colon,玩弄s状结肠,10,both,性爱|插入|A|破处
531,stimulate_vagina,隔着刺激阴道,10,both,性爱|插入|V|A|破处

541,urethral_finger_insertion,尿道指姦,10,both,性爱|U|手
542,urethral_sex,尿道姦,10,both,性爱|插入|U|破处

551,face_hug_sex,对面抱位,10,both,性爱|插入|V|破处
552,back_hug_sex,背面抱位,10,both,性爱|插入|V|破处|非逆推
553,face_lay_sex,对面卧位,10,both,性爱|插入|V|破处
554,back_lay_sex,背面卧位,10,both,性爱|插入|V|破处|非逆推
561,face_hug_anal_sex,对面抱位肛交,10,both,性爱|插入|A|破处
562,back_hug_anal_sex,背面抱位肛交,10,both,性爱|插入|A|破处|非逆推
563,face_lay_anal_sex,对面卧位肛交,10,both,性爱|插入|A|破处
564,back_lay_anal_sex,背面卧位肛交,10,both,性爱|插入|A|破处|非逆推

601,milking_machine_on,装上搾乳机,3,both,性爱|B|道具
602,urine_collector_on,装上采尿器,3,both,性爱|U|道具
603,bind,捆绑,5,both,性爱|SM|道具
604,patch_on,戴上眼罩,1,both,性爱|SM|道具
605,whip,鞭子,10,both,性爱|N|SM|道具
606,needle,针,10,both,性爱|N|SM|道具
607,gag_on,戴上口球,1,both,性爱|SM|道具
631,milking_machine_off,取下搾乳机,3,both,性爱|B|道具
632,urine_collector_off,取下采尿器,3,both,性爱|U|道具
633,unbind,解除捆绑,3,both,性爱|SM|道具
634,patch_off,摘下眼罩,1,both,性爱|SM|道具
635,gag_off,摘下口球,1,both,性爱|SM|道具
636,safe_candles,滴蜡,10,both,性爱|N|SM|道具

681,exercise_sucking_and_swallowing,练习吮吸与吞咽力,30,npc,性爱|非逆推|练习
682,exercise_armpit_flexibility,练习腋下夹持力,30,npc,性爱|非逆推|练习
683,exercise_breast_clamping,练习胸部夹持力,30,npc,性爱|非逆推|练习
684,exercise_hands_clamping,练习手部灵活度,30,npc,性爱|非逆推|练习
685,exercise_foots_flexibility,练习足部灵活度,30,npc,性爱|非逆推|练习
686,exercise_vagina_firmness,练习阴道紧致度,30,npc,性爱|非逆推|练习
687,exercise_intestine_firmness,练习肠道紧致度,30,npc,性爱|非逆推|练习
688,exercise_tail_flexibility,练习尾巴灵活度,30,npc,性爱|非逆推|练习
689,exercise_tentacle_flexibility,练习触手灵活度,30,npc,性爱|非逆推|练习

701,undress,脱衣服,5,pl,性爱
702,undress_to_underwear,脱到只穿内衣(即只脱上下外衣),5,pl,性爱
703,undress_to_socks_gloves,脱到只穿袜子手套等(即再脱掉内衣),5,pl,性爱
704,undress_to_naked,脱到全裸(即身上没有任何衣物),5,pl,性爱
705,remove_underwear,收起内裤,5,pl,性爱
710,hat_job,帽子交,10,both,性爱|服装|侍奉
711,glasses_job,眼镜交,10,both,性爱|服装|侍奉
712,ear_ornament_job,耳饰交,10,both,性爱|服装|侍奉
713,neck_ornament_job,脖饰交,10,both,性爱|服装|侍奉
714,mouth_ornament_job,口罩交,10,both,性爱|服装|侍奉
715,top_job,上衣交,10,both,性爱|服装|侍奉
716,corset_job,胸衣交,10,both,性爱|服装|侍奉
717,gloves_job,手套交,10,both,性爱|服装|侍奉
718,skirt_job,裙子交,10,both,性爱|服装|侍奉
719,underwear_job,内裤交,10,both,性爱|服装|侍奉
720,socks_job,袜子交,10,both,性爱|服装|侍奉
721,shoes_job,鞋子交,10,both,性爱|服装|侍奉
722,weapons_job,武器交,10,both,性爱|服装|侍奉
723,trousers_job,裤子交,10,both,性爱|服装|侍奉

751,orgasm_edge_on,绝顶寸止,1,pl,性爱
752,orgasm_edge_off,绝顶解放,1,pl,性爱

771,spanking,打屁股,3,both,性爱|SM|手

801,cloth_off,脱掉全部衣服,10,npc,日常|AI行动
802,put_shower_cloth,换上浴帽和浴巾,10,npc,日常|AI行动
803,put_sleep_cloth,换上睡衣和内衣,10,npc,日常|AI行动
804,wear_to_locker,身上衣服脱到衣柜,10,npc,日常|AI行动
805,locker_to_wear,衣柜衣服穿回身上,10,npc,日常|AI行动
806,ready_to_swim,脱掉衣服并换上泳衣,10,npc,日常|AI行动
807,foot_cloth_to_locker,脱鞋袜,5,npc,日常|AI行动
808,wear_to_locker_and_get_shower_cloth,脱衣换浴帽和浴巾,10,npc,日常|AI行动
809,clean_wear_and_locker_to_wear,脱衣并穿回衣柜衣服,10,npc,日常|AI行动

850,examine_hair,检查头发,5,pl,猥亵|检查
851,examine_hair_smoothness,测试头发柔顺度,10,pl,猥亵|检查|测试
852,examine_oral,检查口腔内部,5,pl,猥亵|检查
853,examine_sucking_and_swallowing,测试口腔吮吸与吞咽力,10,pl,猥亵|检查|测试
854,examine_armpit,检查腋下,5,pl,猥亵|检查
855,examine_armpit_clamping,测试腋下夹持力,10,pl,猥亵|检查|测试
856,examine_breast,检查胸部,5,pl,猥亵|检查
857,examine_nipple_and_areola,检查乳头与乳晕,5,pl,猥亵|检查
858,examine_breast_clamping,测试胸部夹持力,10,pl,猥亵|检查|测试
859,examine_cilitoris,检查阴蒂,5,pl,猥亵|检查
860,examine_hands,检查手部,5,pl,猥亵|检查
861,examine_hands_flexibility,测试手部灵活度,10,pl,猥亵|检查|测试
862,examine_foot,检查足部,5,pl,猥亵|检查
863,examine_foots_flexibility,测试足部灵活度,10,pl,猥亵|检查|测试
871,examine_vulva_and_shape,检查外阴形状,5,pl,猥亵|检查
872,examine_vagina_and_folds,检查内阴褶皱,5,pl,猥亵|检查
873,examine_hymen,检查处女膜,5,pl,猥亵|检查
874,examine_orifice,检查子宫口,5,pl,猥亵|检查
875,examine_vagina_firmness,测试阴道紧致度,10,pl,猥亵|检查|测试
876,examine_anus,检查菊穴,5,pl,猥亵|检查
877,examine_intestine_firmness,测试肠道紧致度,10,pl,猥亵|检查|测试
878,examine_urethra,检查尿道,5,pl,猥亵|检查
879,examine_urination_status,测试现场排尿,5,pl,猥亵|检查
880,examine_urethra_firmness,测试尿道紧致度,10,pl,猥亵|检查|测试
881,examine_tail,检查尾巴,5,pl,猥亵|检查
882,examine_tail_flexibility,测试尾巴灵活度,10,pl,猥亵|检查|测试
883,examine_horn,检查兽角,5,pl,猥亵|检查
884,examine_horn_sensitivity,测试兽角敏感度,10,pl,猥亵|检查|测试
885,examine_ears,检查兽耳,5,pl,猥亵|检查
886,examine_ears_sensitivity,测试兽耳敏感度,10,pl,猥亵|检查|测试
887,examine_wing,检查翅膀,5,pl,猥亵|检查
888,examine_wing_flexibility,测试翅膀灵活度,10,pl,猥亵|检查|测试
889,examine_ring,检查光环,5,pl,猥亵|检查
890,examine_ring_sensitivity,测试光环敏感度,10,pl,猥亵|检查|测试
891,examine_tentacle,检查触手,5,pl,猥亵|检查
892,examine_tentacle_flexibility,测试触手灵活度,10,pl,猥亵|检查|测试

901,penetrating_vision_on,开启透视,1,pl,技艺
902,penetrating_vision_off,关闭透视,1,pl,技艺
903,hormone_on,开启信息素,1,pl,技艺
904,hormone_off,关闭信息素,1,pl,技艺
911,hypnosis_one,单人催眠,5,pl,技艺|催眠
912,hypnosis_all,集体催眠,5,pl,技艺|催眠
913,hypnosis_cancel,解除催眠,5,pl,技艺|催眠
921,hypnosis_increase_body_sensitivity,体控-敏感度提升,5,pl,技艺|催眠|体控
922,hypnosis_force_climax,体控-强制高潮,5,pl,技艺|催眠|体控
923,hypnosis_force_ovulation,体控-强制排卵,5,pl,技艺|催眠|体控
924,hypnosis_blockhead,体控-木头人,5,pl,技艺|催眠|体控
925,hypnosis_active_h,体控-逆推,5,pl,技艺|催眠|体控
931,hypnosis_roleplay,心控-角色扮演,5,pl,技艺|催眠|心控
932,hypnosis_pain_as_pleasure,心控-苦痛快感化,5,pl,技艺|催眠|心控
941,time_stop_on,时间停止流动,1,pl,技艺|时停
942,time_stop_off,时间重新流动,1,pl,技艺|时停
943,carry_target,搬运对方,1,pl,技艺|时停
944,stop_carry_target,停止搬运对方,1,pl,技艺|时停
945,target_free_in_time_stop,在时停中正常行动,1,pl,技艺|时停
946,target_stop_in_time_stop,在时停中再次停止,1,pl,技艺|时停

1000,s_orgasm_small,结算S小绝顶,0,npc,二段结算
1001,s_orgasm_normal,结算S普绝顶,0,npc,二段结算
1002,s_orgasm_strong,结算S强绝顶,0,npc,二段结算
1003,s_orgasm_super,结算S超强绝顶,0,npc,二段结算
1004,b_orgasm_small,结算B小绝顶,0,npc,二段结算
1005,b_orgasm_normal,结算B普绝顶,0,npc,二段结算
1006,b_orgasm_strong,结算B强绝顶,0,npc,二段结算
1007,b_orgasm_super,结算B超强绝顶,0,npc,二段结算
1008,c_orgasm_small,结算C小绝顶,0,npc,二段结算
1009,c_orgasm_normal,结算C普绝顶,0,npc,二段结算
1010,c_orgasm_strong,结算C强绝顶,0,npc,二段结算
1011,c_orgasm_super,结算C超强绝顶,0,npc,二段结算
1012,p_orgasm_small,结算射精,0,pl,二段结算
1013,p_orgasm_normal,结算大量射精,0,pl,二段结算
1014,p_orgasm_strong,结算超大量射精,0,pl,二段结算
1016,v_orgasm_small,结算V小绝顶,0,npc,二段结算
1017,v_orgasm_normal,结算V普绝顶,0,npc,二段结算
1018,v_orgasm_strong,结算V强绝顶,0,npc,二段结算
1019,v_orgasm_super,结算V超强绝顶,0,npc,二段结算
1020,a_orgasm_small,结算A小绝顶,0,npc,二段结算
1021,a_orgasm_normal,结算A普绝顶,0,npc,二段结算
1022,a_orgasm_strong,结算A强绝顶,0,npc,二段结算
1023,a_orgasm_super,结算A超强绝顶,0,npc,二段结算
1024,u_orgasm_small,结算U小绝顶,0,npc,二段结算
1025,u_orgasm_normal,结算U普绝顶,0,npc,二段结算
1026,u_orgasm_strong,结算U强绝顶,0,npc,二段结算
1027,u_orgasm_super,结算U超强绝顶,0,npc,二段结算
1028,w_orgasm_small,结算W小绝顶,0,npc,二段结算
1029,w_orgasm_normal,结算W普绝顶,0,npc,二段结算
1030,w_orgasm_strong,结算W强绝顶,0,npc,二段结算
1031,w_orgasm_super,结算W超强绝顶,0,npc,二段结算
1032,m_orgasm_small,结算M小绝顶,0,npc,二段结算
1033,m_orgasm_normal,结算M普绝顶,0,npc,二段结算
1034,m_orgasm_strong,结算M强绝顶,0,npc,二段结算
1035,m_orgasm_super,结算M超强绝顶,0,npc,二段结算
1036,f_orgasm_small,结算F小绝顶,0,npc,二段结算
1037,f_orgasm_normal,结算F普绝顶,0,npc,二段结算
1038,f_orgasm_strong,结算F强绝顶,0,npc,二段结算
1039,f_orgasm_super,结算F超强绝顶,0,npc,二段结算
1040,h_orgasm_small,结算H小绝顶,0,npc,二段结算
1041,h_orgasm_normal,结算H普绝顶,0,npc,二段结算
1042,h_orgasm_strong,结算H强绝顶,0,npc,二段结算
1043,h_orgasm_super,结算H超强绝顶,0,npc,二段结算

1050,plural_orgasm_2,结算双重绝顶,0,npc,二段结算
1051,plural_orgasm_3,结算三重绝顶,0,npc,二段结算
1052,plural_orgasm_4,结算四重绝顶,0,npc,二段结算
1053,plural_orgasm_5,结算五重绝顶,0,npc,二段结算
1054,plural_orgasm_6,结算六重绝顶,0,npc,二段结算
1055,plural_orgasm_7,结算七重绝顶,0,npc,二段结算
1056,plural_orgasm_8,结算八重绝顶,0,npc,二段结算
1057,plural_orgasm_9,结算九重绝顶,0,npc,二段结算
1058,plural_orgasm_10,结算十重绝顶,0,npc,二段结算
1059,plural_orgasm_11,结算十一重绝顶,0,npc,二段结算

1060,s_orgasm_edge,结算S绝顶被寸止,0,npc,二段结算
1061,b_orgasm_edge,结算B绝顶被寸止,0,npc,二段结算
1062,c_orgasm_edge,结算C绝顶被寸止,0,npc,二段结算
1063,p_orgasm_edge,结算射精被寸止,0,npc,二段结算
1064,v_orgasm_edge,结算V绝顶被寸止,0,npc,二段结算
1065,a_orgasm_edge,结算A绝顶被寸止,0,npc,二段结算
1066,u_orgasm_edge,结算U绝顶被寸止,0,npc,二段结算
1067,w_orgasm_edge,结算W绝顶被寸止,0,npc,二段结算
1068,m_orgasm_edge,结算M绝顶被寸止,0,npc,二段结算
1069,f_orgasm_edge,结算F绝顶被寸止,0,npc,二段结算
1070,h_orgasm_edge,结算H绝顶被寸止,0,npc,二段结算

1080,extra_orgasm,结算额外绝顶,0,npc,二段结算
1081,semen_drinking_climax,结算饮精绝顶,0,npc,二段结算
1086,b_orgasm_to_milk,结算因B绝顶而被迫喷乳,0,npc,二段结算
1087,u_orgasm_to_pee,结算因U绝顶而被迫漏尿,0,npc,二段结算

1090,first_kiss,结算初吻,0,npc,二段结算
1091,first_sex,结算处女,0,npc,二段结算
1092,first_a_sex,结算A处女,0,npc,二段结算
1093,first_u_sex,结算U处女,0,npc,二段结算
1094,first_w_sex,结算W处女,0,npc,二段结算

1100,nipple_clamp,结算乳头夹,0,npc,二段结算|H装备
1101,clit_clamp,结算阴蒂夹,0,npc,二段结算|H装备
1102,second_vibrator_insertion,结算震动棒,0,npc,二段结算|H装备
1103,second_vibrator_insertion_anal,结算肛门振动棒,0,npc,二段结算|H装备
1104,milking_machine,结算搾乳机,0,npc,二段结算|H装备
1105,urine_collector,结算采尿器,0,npc,二段结算|H装备
1106,patch,结算眼罩,0,npc,二段结算|H装备
1107,second_anal_beads,结算肛门拉珠,0,npc,二段结算|H装备
1108,gag,结算口球,0,npc,二段结算|H装备
1109,condage,结算绳子捆绑,0,npc,二段结算|H装备

1120,diuretics,结算利尿剂,0,npc,二段结算|H药物
1121,second_sleeping_pills,结算安眠药,0,npc,二段结算|H药物
1122,ovulation_promotion_drugs,结算排卵促进药,0,npc,二段结算|H药物
1123,second_birth_control_pills_before,结算事前避孕药,0,npc,二段结算|H药物
1124,second_birth_control_pills_after,结算事后避孕药,0,npc,二段结算|H药物

1150,happy_mark_1,结算快乐刻印1,0,npc,二段结算
1151,happy_mark_2,结算快乐刻印2,0,npc,二段结算
1152,happy_mark_3,结算快乐刻印3,0,npc,二段结算
1153,yield_mark_1,结算屈服刻印1,0,npc,二段结算
1154,yield_mark_2,结算屈服刻印2,0,npc,二段结算
1155,yield_mark_3,结算屈服刻印3,0,npc,二段结算
