cid,name,type,tag,level,price,effect,h_item_id,info
124,电动按摩棒,H_Machine,H_Machine,1,100,0,-1,跳蛋的大型棒状版本，更笨重但震动也更强力
125,震动棒,H_Machine,H_Machine,1,100,0,2,用于插进阴道里使用的震动棒，震动的强度和频率可以调节
126,肛门震动棒,H_Machine,H_Machine,1,100,0,3,用于插进肛门里使用的震动棒，震动的强度和频率可以调节
127,特殊尺寸震动棒套装,H_Machine,H_Machine,3,500,0,-1,暂未实装
128,灌肠套装(注射套装+肛塞),H_Machine,H_Machine,1,200,0,-1,用来进行灌肠的道具，使后穴恢复清洁状态，需要搭配灌肠液使用
129,肛门拉珠,H_Machine,H_Machine,1,100,0,7,一粒粒连起来的珠子，塞进去再拉出来时能够带来特殊的快感
131,绳子,SM,SM,2,100,0,-1,使用特殊纤维制成的绳子，除了较高的承力强度之外，经过特殊处理的表面也顺滑而不会刺痛皮肤。用来将干员捆绑起来，需要在调教室中使用
132,眼罩,SM,SM,2,50,0,6,在戴上后会因为视觉被遮挡而增加对其他感官的敏感度，但也会让人感到不安
133,搾乳机,H_Machine,H_Machine,3,500,3,4,用来榨出母乳的机器，只能对【泌乳】且当前有奶水的干员使用
134,采尿器,H_Machine,H_Machine,3,500,3,5,在干员的U开发足够高之后，可以在H中给干员装上采尿器，采集后的尿液将作为收集品-圣水来使用
135,鞭子,SM,SM,2,50,0,-1,特殊材料制成的鞭子，挥舞时能发出响亮的的声音，但被抽到的人不会有疼痛感之上的影响，身上的痕迹也会几个小时内消失
136,低温蜡烛,Consumables,SP_use,2,3,0,-1,用于【滴蜡】的消耗品。使用了特制的材料，可以在低温下保持燃烧的状态，滴到人体上时也不会烫伤
137,针,SM,SM,2,50,0,-1,暂未实装
139,灭菌棉签,Consumables,SP_use,2,1,0,-1,用于进行尿道的开发，需要【技巧】至少为5级才能使用，每次使用消耗一个
140,口球,SM,SM,2,50,0,14,给干员戴上去之后，会无法发出声音
151,干员携袋,Consumables,SP_use,0,100,0,-1,印有罗德岛logo的黑色桶状袋子，拉开拉链后里面足以装得下一整个人。可以用来将失去意识的干员【装袋搬走】，然后在关押区【投入监牢】，将其监禁。
152,干员宿舍万能钥匙(一次性),Consumables,SP_use,0,5,0,-1,可露希尔根据自己在系统里留下的后门而制作的特殊磁卡，可以刷开任意一个干员宿舍的门，使用后一次性密钥会自动失效
161,ID信息更新卡,Consumables,Consumables,0,1,0,-1,罗德岛舰桥系统升级时使用的ID信息更新卡，这一张是特地为博士您准备的。
171,道歉礼物,Consumables,SP_use,0,200,0,-1,承载着歉意与悔意的特殊礼物，当言语难以表达内心的愧疚时，这份礼物能够代替千言万语，抚平受伤的心灵。赠送给干员后可以消除1级的反发刻印

201,戒指,Consumables,SP_use,0,1000,0,-1,用来向已经是【恋慕】的干员告白，成功后可以成为彼此的【恋人】
202,项圈,Consumables,SP_use,0,1000,0,-1,用来戴在已经被【驯服】的干员脖子上，同意后将作为你的【宠物】
