cid,name,type,time,difficulty,money,restaurant,alcohol,introduce
62,酱兽肉,0,120,2,0,1,0,以尚蜀秘制酱料慢火炖煮的兽肉，色泽红亮，肉质酥烂入味，咸香中带着一丝回甘。
63,尚蜀岩茶,2,15,2,0,1,0,生长在尚蜀崖壁岩缝间的茶树所制，茶汤醇厚，岩韵悠长，是当地茶馆里的招牌饮品。
64,勾吴花茶,2,15,2,0,1,0,以勾吴之地特有的香花窨制而成的花茶，啜饮一口，满室生香，清雅怡人。
65,姜齐白茶,2,15,2,0,1,0,产自姜齐的白茶，色淡味清，毫香明显，入口甘醇，越陈越有韵味。
66,大荒粗叶子,2,15,2,0,1,0,大荒之地随处可见的粗老茶叶煮成的茶水，味道苦涩浓烈，却是劳作之人解乏提神的廉价好物。
67,罐装晌午茶(柠檬折耳根味),2,999,999,0,1,0,罐装晌午茶的限定口味，柠檬的酸爽混合折耳根的奇异土腥，评价两极分化，敢尝试的人才懂其中滋味。
68,菊花茶,2,15,2,0,1,0,以干菊冲泡而成的清茶，色泽金黄，气味芬芳，有清热降火之效，老少咸宜。
69,盐花生,1,40,2,0,1,0,用盐水慢煮入味的花生，咸香入骨，越嚼越香，是配茶下酒的绝佳小食。
70,黑豆茶,2,20,2,0,-1,0,炒香的黑豆煮成的茶饮，散发着浓郁的豆香，温润养身，是不少干员钟爱的无咖啡因之选。
71,甜司康饼,1,45,2,0,0,0,维多利亚下午茶里的经典点心，外脆内松，抹上果酱与奶油，配一杯红茶最是惬意。
72,汐斯塔冰茶,2,20,2,0,-1,0,汐斯塔火山岛上盛行的冰镇茶饮，茶香清冽中带着果味，在炎热的天气里来一杯透心凉。
73,红椒茶,2,15,2,0,-1,0,加入了红椒的特色茶饮，入口微辣，回味暖身，初尝惊奇，再品却让人欲罢不能。
74,驮兽奶茶,2,20,2,0,-1,0,以驮兽鲜奶熬煮的奶茶，奶香浓郁，口感醇厚，是荒野商队旅途中难得的温暖享受。
75,米诺斯之雾,3,15,2,0,-1,3,源自米诺斯的一款调制酒，色泽朦胧如雾，入口绵柔，后劲却如诗歌般绵长悠远。
76,黑曜石柑茶,2,20,2,0,-1,0,以陈年小黑柑与茶叶炮制而成，茶汤深黑透亮如黑曜石，柑香醇厚，理气醒神。
77,新酿烈刀子,3,180,2,0,-1,5,玉门特产的高纯度烈酒。人人好饮，家家会酿。取塞上风沙、长空烈日、胡杨飞絮一同酿入酒，一口入喉，仿佛吞刀饮火，再冷的寒夜也不用怕。
81,高脚羽兽烤串,0,30,2,0,-1,0,选用高脚羽兽的腿肉切块串烤，刷上酱料炭火炙烤，外焦里嫩，香气随烟火气一同升腾。
82,松饼早餐卷,0,25,2,0,-1,0,松软的薄饼卷起煎蛋与火腿，淋上一勺糖浆，是开启忙碌一天的元气早餐。
83,山水兜,0,150,6,0,-1,0,炎国名厨方能驾驭的精致菜肴，鲜美的馅料藏于薄如蝉翼的皮中，形似山水，意境悠远。
84,香草冰淇淋,1,90,3,0,-0,0,加入了天然香草荚的冰淇淋，奶香与草本的清甜交织，冰凉绵密，入口即化。
85,乌萨斯饺子,0,60,2,0,-1,0,乌萨斯人冬日餐桌上的常客，厚实的面皮裹着满满的肉馅，配上酸奶油，足以抵御严寒。
86,黄油羽兽,0,180,5,0,-1,0,整只羽兽抹满黄油慢火烘烤，金黄油亮，外皮酥脆，肉汁丰盈，是宴席上的硬菜。
87,仿蒲烧鳝鳞饭,0,45,2,0,-1,0,仿照东国蒲烧手法烹制的鳞鱼盖饭，鱼肉刷上浓郁酱汁炙烤，铺在热饭上，咸甜可口。
88,面包碗佐奶油汤,0,60,2,0,-1,0,将浓稠的奶油汤盛入挖空的圆面包中，喝完汤还能吃掉浸满汤汁的面包碗，暖胃又管饱。
89,玻利瓦尔风卷饼,0,30,2,0,-1,0,玻利瓦尔街头随处可见的家常卷饼，薄饼里塞满肉馅与蔬菜，分量十足，价廉物美。
90,蒜香壳虾塔帕斯,0,30,2,0,-1,0,伊比利亚风味的小食拼盘，壳虾以蒜油煎香，鲜辣开胃，最适合佐酒小酌。
91,辣味酸橙派,0,60,2,0,-1,0,酸橙的清新与辣椒的刺激在派中碰撞，酸、甜、辣三味交织，是一道让人印象深刻的甜点。
92,加糖黑曜石柑茶,2,20,2,0,-1,0,在黑曜石柑茶中添入糖分，柑香的醇厚里多了几分甜润，更易入口，深受嗜甜者喜爱。
93,多伦乡村拼盘,0,45,2,0,3,0,即使是偏远乡村，你仍能在宴会上见到维多利亚人特有的矜持。
94,格里布熏鳞色拉,0,60,2,0,3,0,精心熏制的好菜只为今日待客，还有解腻的红茶，以及佐餐的豪言笑语。
95,斯沃玛三分钟浓汤,2,3,2,0,4,0,“大厨三小时，在家三分钟！”斯沃玛商务们如是吹嘘着自家公司的商品。
96,多索雷斯风情塔可,0,30,2,0,3,0,精心搭配的馅料让食客在餐桌前巡游半个泰拉，可真正属于多索雷斯的只有那张表面金黄的薄饼。
97,提亚卡乌式炸蕉果,0,25,2,0,3,0,宴会从正午开到夕阳西下，提亚卡乌们还在大快朵颐，但你已经吃不下了。
98,约翰老妈厚切汉堡,0,30,2,0,4,0,即使是用来答谢的加料加厚汉堡，吃完后留在脑海中的也只有半片生菜和薄薄的肉排，让人“意犹未尽”。
99,雷神工业火炙巨羽兽,0,20,2,0,3,0,用火微微一烤就可以端上来享用，焦脆的皮和多汁的肉，香肥量大，几口就能吃饱，员工喜欢它的味道，主管也很满意它的效率。
100,阿尔斯特华夫冰淇淋,1,60,2,0,0,0,冰淇淋球的形状像是从墙上铲下来的，华夫饼的边缘沾上了来路不明的糖霜。
101,审判庭特制火腿薄片,0,60,2,0,-1,0,薄厚不均的肉片铺在礁石上。肌肉纹理泛着锃亮的油光，凑近能闻到些许坚果香气。挣脱海水的束缚后，才发觉陆地的馈赠是如此甜美。
102,塔山炸沙虫腿,0,30,2,0,4,0,炸得恰到好处的沙虫腿在唇齿间迸出汁水，传言在如此美味面前显得无足轻重。餐后才得知“二十条腿的沙虫”是一派胡言，用培养罐培养沙虫腿根本用不着沙虫。
103,杜林十号烈酒,3,180,2,0,3,4,酒过数巡，酩酊的杜林们进入梦乡，烈酒协会成员倒在蜜酿协会成员的身上，醇厚的酒香萦绕此间。十号烈酒，名叫“友谊”。
104,欢乐之歌年轮蛋糕,0,120,2,0,0,0,蛋糕甜蜜松软，纹路像悠久的年轮，也像那些能让人沉浸于欢乐之中的旋律。听说，蛋糕师是乐团的退休乐手，在烤制时演奏欢乐的小调，是让蛋糕变得轻盈绵密的秘诀。
105,盒牌商务健康盒饭,5,60,2,0,-1,0,让人丧失贪吃欲望的盒饭。
106,汉堡甜甜圈套餐,0,45,2,0,4,0,甜甜圈的甜蜜与汉堡的咸香，是一种奇妙的搭配。
107,玻利瓦尔咖啡,2,15,2,0,2,0,少数被冠以产地名的特级咖啡，咖啡豆是许多玻利瓦尔大城市里畅销的伴手礼，内销和出口的需求量极大。
108,黑咖啡,2,15,2,0,2,0,无糖咖啡，是咖啡的原始味道，也是最纯粹的味道。
109,火山咖啡,2,15,2,0,2,0,火山咖啡的独特风味来自于汐斯塔火山灰土壤的独特气候，是一种稀有的咖啡，口感浓郁，香味浓烈。
110,过萃咖啡液,2,20,2,0,2,0,过萃的地底黑咖啡。提神效果极佳。可以代替糖浆。
111,奶霜华夫饼塔,1,45,2,0,0,0,华夫饼的香甜与奶霜的绵蜜，是一种奇妙的搭配。
112,德荣单人餐,0,20,2,0,3,0,来自德荣的单人餐，是一种简单的餐饮，适合快节奏的生活。
113,杨森兄弟双人餐,0,30,3,0,3,0,杨森到底有几个兄弟？这个双人餐是不是只有他一个人吃？

201,蟹肉碎拌饭,0,25,1,0,-1,0,热腾腾的杂粮中加入了岩壳蟹肉，吃起来朴素中略带鲜味。好吃是好吃，但......究竟是谁第一个决定尝试食用岩壳蟹的呢？
202,调味干粮,5,60,1,0,-1,0,较朴素的速食食品，经过了调味，吃起来还挺适口。据说未经调味的初版十分难以下咽，曾有人评价为不是“食用”，而是“服用”。
203,松枝熏肉,0,90,1,0,-1,0,经过松枝熏烤，整块肉带上了浓郁的松香滋味，表皮油润，内里香醇。只需切下几块放在热腾腾的饭上，熏肉的香气就能充满整间屋子，令人陶醉。
204,鲜切蟹生,0,15,1,0,-1,0,制作过程似乎只是切了几刀，过了下水，就这样端了出来。评价两极分化的一道菜肴，有人吃完之后感觉自已仿佛长出了和岩壳蟹一样坚硬的外壳。可能是过敏反应。
205,真空冷制肉脍,0,15,1,0,-1,0,已经预制好的兽肉和杂粮，制作流程均在低温下完成，极大限度地保证了食材的新鲜。只需要简单加热，就是一道美味。感谢科技！
206,炭烤兽肉卷饼,0,30,1,0,-1,0,每个国家的人都有他们喜欢的独特吃法，可以随意搭配尝试。但如果做出类似在炎国人眼前往饼里卷小笼包这种行为，可能会被追着打。
207,猎人饭包,0,30,1,0,-1,0,捕捉到什么猎物，就使用什么肉炙烤所得，简单方便，自由度高。谁的饭包最大，谁的捕猎技巧就最高。不过为了面子，往里面多塞一点谷物也是可以的。
208,超级厚馅饼,0,60,1,0,-1,0,萨尔贡当地传统主食之一，馅料是浓厚香醇的兽肉，深受当地人喜爱。大，大，大！越大越好！
209,鲜萃凝方体,0,30,1,0,-1,0,由肉类提纯出各类人体所需的成分后精制的凝方体，营养丰富。但它的外表和名字一样，难以让人产生食欲。
210,香煎杂肉饭,0,30,1,0,-1,0,不同种类的肉混合成独特的美味，颜色丰富，让人难以忘怀。一勺挖下去，热气蒸腾，从里面翻找出最喜欢的肉是这道菜的一大乐趣。
211,脱水增味肉干,0,120,3,0,-1,0,将食材脱水处理，是人们保存食物最原始也最简单方便的方法。虽然只是薄薄的几片，看起来很没有满足感，但实际上热量很高，完全可以轻松地吃饱。
212,低温鲜烹炙肉,0,120,3,0,-1,0,低温慢煮而成的食物，为了增香，外表还经过了微微的炙烤。很难从外表看出它来自何种动物，不过加热之后味道令人满意，这就足够了，毕竟填饱肚子才是最重要的。
213,蟹壳蒸饭,0,60,3,0,-1,0,直接在蟹壳中铺满杂粮蒸熟制成的盖饭，萨尔贡部落民餐桌上最常见的食物。移动城市中的居民偶尔也会尝试这道菜，并为萨尔贡帝国的饮食文化而感到自豪。但很少有部落民会认同这一点。
214,提取脂凝晶,0,40,3,0,-1,0,食品科技的智慧结晶，食品现代化的代表，营养丰富。短时间内增加进食满足感和提供足量热量都离不开这种食品科技产品。
215,浓缩羹原液,2,90,3,0,-1,0,提取肉类鲜味和营养物质后高温浓缩而成的原液，营养丰富。本品为浓缩液，不可直接食用。住所离医院较近的人也不要尝试。
216,高压复焗浓汤,2,180,3,0,-1,0,经超长时间高压烹制的极鲜浓汤，被料理机固化重组后制成的汤酥。一口下去，仿佛吃进去了一片云朵，一阵热风。汤鲜浓郁，入口即化。
217,生制代餐粗粉,0,30,3,0,-1,0,为了保证食材中最佳原料风味的体现，制作者只使用了杂粮来搭配它。低纤维、高热量、易饱腹，从不会出现在现代移动城市中的商场的货架上，在荒野的小商店中则十分抢手。
218,脆肉薯条转醇,0,30,3,0,-1,0,选取荒地上随处可见的肉作为原料，和粗细不一的薯条一起在油锅中煎炸而成。移动城市的居民们会抱怨它过于油腻，而需要干体力活的荒地人则十分享受这种美食。
219,蟹醇,0,40,2,0,-1,0,为了展现出岩壳蟹的鲜味和营养，其中还加入了很少见的高级肉类。据说它还努力地模仿了岩壳蟹肉的口感，但似乎没人发现。
220,鲜味汤凝胶,0,40,3,0,-1,0,可直接食用的凝胶，室温下不会融化，口感软弹，营养丰富。有些科技食物会为了追求高级感而失去食物的本味，它就是一个很好的例子。
221,转质壳酯块,0,60,5,0,-1,0,顶级食材的威力在这里发挥完全，只需小小一块，登山者也可以获得一整天运动的能量。小心区分它和糖块。虽然吃错了不会造成任何危及生命的后果，但毕竟它的热量很高，非常高。
222,复合精制肉酱,1,60,5,0,-1,0,将多种肉类复合制成的肉酱，在添加完相应的营养剂后，不论是口感还是色香味，都有了明显的提升。任何时候都能食用，科技使它永远不会过期。
223,碳水脂肪聚块,0,40,5,0,-1,0,将人体所需的蛋白质、脂肪、碳水按照比例调配而成，也可以根据食用者所需自由搭配，制作简单，方便易携。探险者的背包中常见的食物。
224,味纯聚素粒,1,40,5,0,-1,0,研究者在食品科技中剑走偏锋，做出了外形异常好看的素粒，据说是为了食用者心情愉悦。但面对饥饿和快速补充能量的需求，似乎很少有食用者真的注意到了这一点。
225,莱塔尼亚浓汤鲜萃,2,60,5,0,-1,0,由当下最时兴的鲜萃技术制作而成，只有小小一口，但浓香醉人。莱塔尼亚人执着于为不同口味的浓汤搭配不同的音乐，据说曾有诗人专门为此创作诗歌。
226,鲜能剂,2,40,5,0,-1,0,做出鲜能剂的老先生是一位味觉失灵的大厨，他说自己幸福的秘诀是观察食客的微笑，从而确认自己的食物能够满足他们。温暖的故事。但他新品研究所的学生们不这么觉得。
227,极温速烹兽肉,0,30,5,0,-1,0,刚刚做好就会被送入机器迅速降温，表皮结满冰晶，内里仍旧炙热，带来极限口感体验。似乎不降温直接吃也是一种美妙的体验。
228,东国纳米割烹,0,180,7,0,-1,0,选用当季的新鲜食材，配合季节变换，通过菜肴传达禅意，给人绝对的视觉享受。如果制作这席菜肴的是专业东国厨师的话，或许美丽和美味还是可以兼得的。
229,维多利亚皇家凝方,0,120,7,0,-1,0,食用时请遵守绅士淑女进餐礼仪，好保证你在此刻对于食物的享受。维多利亚人为他们的文化而自豪，任何时候都不愿低头。
230,炎国山水原液,3,120,7,0,-1,4,云山衔一梦。呼......酽茶醇酒，斜风细雪，似乎都能在这之中体味到。
231,卡西米尔骑士补充剂,2,40,7,0,-1,0,喝下去以后感觉精神百倍。之前有商家说这就是耀骑士赛前喝的东西，人们蜂拥而上。
232,哥伦比亚分子胶囊,1,60,7,0,-1,0,莱茵生命产品，改变食材分子结构再重新组合而成，外壳滋味丰富，食用后可获得极强的饱腹感，在获得满足的同时降低食物的摄取量。非常利于身体健康，但不利于心灵健康。
233,拉特兰圣音汤醇,2,90,7,0,-1,0,纯净的外表让人安静下来，但里面的味道让人脑袋在一瞬间出现了有些奇怪的画面——是爆炸？！而且很甜，非常甜！不应该是汤吗？
234,低压干制精肉,0,180,7,0,-1,0,撕开包装，里面就是咸香适口的干肉。肉干制作的工艺十分复杂，合适的温度湿度缺一不可，制作成功后能保存数年之久。就是……有点太硬了！
235,米诺斯诗歌凝胶,3,90,7,0,-1,2,据说最开始是某位祭司在听完一首长篇叙事诗后突发灵感所作，品尝后让人能够真切感悟到她当时的心情。不好，里面似乎加了酒，已经开始头晕了！
236,固态源溏心蛋补剂,0,60,8,0,-1,0,从混杂着胡椒、肉糜还有酒的溏心蛋中萃取的液体，是当地最常见菜肴的便携版。在野外，这道菜都是在被太阳直射的固态源上烹制的。为了还原这一工艺，移动城市的许多店家配备了专业的阳光聚焦设备。
237,河鳞水果凝胶,0,60,8,0,-1,0,烟熏的河鳞和清爽的水果在这里相逢，简简单单。对于移动城市的居民来说，无论新鲜的河鳞还是清爽的水果都是昂贵的食材。
238,炎国荒地菜肉酮,0,90,8,0,6,0,切成薄片的兽肉与各种生长在荒地上的野菜一起翻炒，是炎国人家中常见的菜肴。菜肉酮是从中提取的精华。这道菜里应该用什么样的肉、什么样的菜，甜的还是咸的，在炎国都是极具争议性的话题。
239,音乐速烤萃取酯,0,40,8,0,-1,0,使用音乐源石技艺对肉类进行烹饪而得到的酯类。在紧急状态下，驱动源石技艺处理食材也是一种可行的方法。但精益求精的莱塔尼亚人把烹饪过程发展成了一门表演艺术。
240,哥伦比亚炮灰羽,0,60,8,0,-1,0,哥伦比亚雇佣兵中流传的菜肴，制作方式非常粗暴——将羽兽肉塞进“安全”的源石堆里炙烤而成。刚入口时有些微妙，但羽兽肉的味道会在喉舌之间久久萦绕。
241,香肠豆泥聚块,0,60,8,0,-1,0,丝滑的豆泥和香气四溢的香肠在口味上相得益彰，让人百吃不厌，美中不足的是，这只是聚块。因为便于携带和贮藏，广受荒地旅者好评。
242,部族狂欢晚宴,0,180,8,0,-1,0,篝火！舞蹈！烤得金黄渗出油脂的整只猎物！雨林部族最高级别的款待！一人吃完一整头，你就是今天的部族英雄！
243,中央谷地混合烤肉,0,180,8,0,-1,0,相传是维多利亚的国宴名菜之一，精选大块兽肉，腌制后在专门的塔中晾干，不同部位分开处理，经过多次刷油烧烤而成，入口毫无焦煳味，平时也难得一见。

999,加料咖啡,8,15,0,0,-1,0,一杯刚刚冲泡好的咖啡，带着些许的香气，只是里面好像加了一些东西
1001,鲜母乳,4,999,999,0,-1,0,新鲜的母乳，味道醇美，营养丰富，可以直接饮用或用来制作各种乳制品。
