cid,system_id,part_id,severity_level,name,weight,normal_medicine_bonus,appearance_indicator,patient_statement_clear,patient_statement_vague,exam_method,exam_result_positive,exam_result_negative,recheck_hint_mild,recheck_hint_moderate,recheck_hint_severe,treatment_plan,requires_surgery
1003011,10,1003,1,中度脑干源石性传导束压迫,0.6,0.065,步态略显不稳，偶有轻微口角不对称，说话略带费力感,近一两周走路会有些发飘，偶尔会脚下打斜，说话也比以前费劲，自己能感觉到舌头不太灵活，喝水时偶尔会呛到,总说“身上像被人从中间拧了一下”，一边觉得腿不听使唤，一边又说嘴也有点跟不上,高分辨 MRI + 脑干弥散张量成像,脑干锥体束一侧可见条索状源石结晶影，弥散张量成像提示传导束完整性中度下降，相应侧肢体肌力略减,脑干结构未见明显结晶灶，主要传导束各向异性参数在正常范围内,本次检查未能直接证实传导束压迫，但锥体束周围仍有轻度信号异常，提示同部位存在其他轻症级别传导病变,本次检查未能直接证实传导束压迫，却在脑干中央发现中度信号异常片状影，提示同部位合并中症级别占位或炎性病灶,本次检查未能直接证实传导束压迫，却显示多个传导束有重度信号中断和变形，提示同部位已合并重症级别传导危象,住院监护 + 源石代谢抑制剂 22 号静点 + 肢体康复训练 + 吞咽与言语评估,0
1003012,10,1003,1,中度脑干源石性自主神经失衡,0.4,0.06,面色苍白或潮红交替，休息时可见轻度心率波动,这段时间稍微走几步路就会心跳加快、出汗，有时在床上静躺也会突然一阵心慌胸闷，测出来血压和心率变化幅度比较大,形容自己“像被人随时拧紧或松开体内的阀门”，一会儿浑身发热心跳快，一会儿又冷得发抖,连续心电监测 + 脑干功能 MRI,心率变异性明显增大，自主神经张力指标异常，脑干交感与副交感中枢周围可见中度源石结晶带，功能成像提示调节网络紊乱,连续心电和血压监测显示节律基本规则，仅有偶发心率加快，脑干功能影像未见明显异常,本次检查未能直接证实自主神经失衡，但脑干相关核团仍有轻度代谢异常，提示同部位存在其他轻症级别功能紊乱,本次检查未能直接证实自主神经失衡，却在延髓与桥脑交界区发现中度信号异常，说明同部位合并中症级别源石性病灶,本次检查未能直接证实自主神经失衡，却显示多处自主神经核团有重度信号中断，提示同部位已合并重症级别生命体征高度不稳定病变,住院短期监护 + 源石神经调节剂 22 号 + 个体化自主神经调节方案 + 必要时升压或减压药物,0
1003101,10,1003,2,脑干广泛源石板块压迫,1.0,0.11,面色苍白唇发绀，呼吸急促不规则，意识模糊需他人搀扶或平躺,目前呼吸明显不均匀，说话断断续续，稍微动一下就觉得胸口发闷、眼前发黑，心跳时快时慢，整个人提不起劲，几乎只能平躺不敢坐起,仅能断续表示自己“好像整根脊梁被石头卡住了”，一会儿抓住胸口一会儿摸喉咙，说不清具体是哪儿不舒服，只觉得全身快停下来,3D 脑干 MRI 重建 + 血流灌注成像 + 术中监测,脑干腹侧及中线可见大片融合源石板块，压迫多束关键传导通路，局部血流显著减少，术中监测证实生命中枢受压，存在严重功能不稳定,脑干体积与形态基本正常，未见大片板状结晶或明显占位，结果阴性与当前呼吸循环完全不符,本次检查未能直接证实广泛源石板块压迫，但脑干背侧仍有轻度信号异常，提示该部位存在其他轻症级别源石性病变,本次检查未能直接证实广泛源石板块压迫，却在脑干深部发现中度结晶团块和局部血流缺损，提示同部位合并中症级别压迫性病灶,本次检查未能直接证实广泛源石板块压迫，却显示脑干多处传导束和生命中枢区域出现重度信号中断及血流中止，提示同部位已合并重症级别危及生命的病变,紧急开颅或经后颅窝减压手术 + 大块源石板块切除与脑干减压 + 强化生命支持 + 术前高剂量感染抑制剂 23 号与循环稳定药物联合准备,1
1010042,10,1004,0,轻度脊髓源石性感觉通路刺激,0.35,0.03,体表无可见异常，偶在查体时表现为轻微躯干紧绷,最近一段时间后背从颈部到腰部总会有一股轻微麻热感，有时候沿着一侧手臂或腿往下窜，但没有明显无力，只是偶尔会被这种感觉分心,形容自己“像是背后埋了些细小的石渣”，一阵一阵地往外冒麻,脊髓 MRI + 体感诱发电位,颈胸段脊髓后索可见点状源石沉积影，体感诱发电位波形轻度延长，提示感觉通路轻度受刺激,脊髓形态及信号在正常范围内，体感诱发电位波形与潜伏期均无异常,本次检查未能直接证实感觉通路刺激，但后索局部有轻度代谢异常，提示同部位存在其他轻症级别功能改变,本次检查未能直接证实感觉通路刺激，却在一侧脊髓半侧发现中度信号异常带，提示同部位合并中症级别源石性病灶,本次检查未能直接证实感觉通路刺激，却显示多节段后索信号中断，提示同部位已合并重症级别感觉传导受损病变,门诊随访 + 源石代谢调节剂 21 号 + 适度理疗与姿势管理,0
1010043,10,1004,0,轻度脊髓源石性运动通路易激,0.35,0.03,体检时腱反射略偏活跃，其余体征基本正常,最近经常会突然觉得手脚一跳一跳的，尤其在紧张或疲劳的时候更明显，但真正需要用力的时候力量还算正常，没有明显跌倒或拿不稳东西,总说“手脚像被拉了一点弦”，一紧张就更容易抖，偶尔会突然打个冷颤,脊髓 MRI + 运动诱发电位,脊髓侧索附近可见细小源石沉积点，运动诱发电位阈值略降低，提示运动通路轻度易激,影像检查未见脊髓结构异常，运动诱发电位参数在正常波动范围内,本次检查未能直接证实运动通路易激，但侧索周围仍有轻度代谢异常，提示同部位存在其他轻症级别功能偏离,本次检查未能直接证实运动通路易激，却在颈段脊髓发现中度信号异常斑块，提示同部位合并中症级别源石性病灶,本次检查未能直接证实运动通路易激，却显示多节段运动通路有重度信号中断，提示同部位已合并重症级别运动传导损伤,门诊观察 + 源石神经调节剂 21 号 + 适度肌肉放松训练,0
1010044,10,1004,0,轻度脊髓源石性节段痛,0.3,0.025,皮肤外观无异常，轻触某些节段时患者表情略微皱眉,这段时间背部和一侧胸廓某条带状区域会有轻微灼痛，像被细细的火线划过，但不影响活动，休息或热敷后会好一些,总说“像被人在背上画了一道细线”，有时会把疼的位置说成整片背都不舒服,脊髓 MRI + 皮节感觉检查,对应节段脊髓背根入口处可见点状源石沉积，局部神经根轻度水肿，皮节痛觉阈值略有下降,脊髓与神经根影像正常，皮节感觉测试在对侧对比下无明显异常,本次检查未能直接证实节段痛，但相邻节段神经根有轻度受压征象，提示同部位存在其他轻症级别源石性病变,本次检查未能直接证实节段痛，却发现同侧脊髓半侧有中度信号异常，提示同部位合并中症级别病灶,本次检查未能直接证实节段痛，却显示多个节段存在重度结晶与信号中断，提示同部位已合并重症级别节段性损伤,门诊对症镇痛 + 源石代谢调节剂 21 号 + 姿势与睡眠管理,0
1010045,10,1004,1,中度脊髓源石性传导束压迫,0.6,0.065,步态略显拖曳，查体可见轻度肌力下降和腱反射亢进,近一两周走路明显不如以前利索，尤其是上下楼时会觉得腿有点提不起来，同侧手也有点笨拙，偶尔会打软,总说“腿像被石链子绑住了一样”，一会儿又说手也不太听使唤，形容自己随时可能会踩空,脊髓高分辨 MRI + 弥散张量成像,受累节段脊髓前外侧可见条索状源石结晶带压迫传导束，弥散张量成像提示该侧传导束完整性中度下降,脊髓结构未见明显占位或结晶灶，传导束各向异性指数变化不大,本次检查未能直接证实传导束压迫，但邻近节段仍有轻度信号异常，提示同部位存在其他轻症级别源石性病变,本次检查未能直接证实传导束压迫，却显示部分节段有中度信号异常片状影，提示同部位合并中症级别压迫性病灶,本次检查未能直接证实传导束压迫，却发现长节段传导束有重度信号中断，提示同部位已合并重症级别运动传导危象,住院监护 + 源石代谢抑制剂 22 号静滴 + 早期肢体康复 + 防跌倒管理,0
1010046,10,1004,1,中度脊髓源石性中央管周围硬化,0.4,0.06,查体时可见躯干触觉略异常，肩背部反应迟钝,这段时间觉得肩膀和上背部总是麻麻的，像盖了一层厚布，热水澡时会注意到有一圈地方冷热感觉不太对,总说“上半身像穿了一件奇怪的铠甲”，有的地方摸上去像隔了一层东西,脊髓 MRI + 源石密度分层扫描,脊髓中央管周围见环形源石结晶带，局部信号中度增高，相关节段温痛觉传导受影响,影像未见典型环形硬化带，中央管区信号正常，源石密度仅轻度弥散性增加,本次检查未能直接证实中央管周围硬化，但邻近灰质区仍有轻度信号异常，提示同部位存在其他轻症级别病变,本次检查未能直接证实中央管周围硬化，却在同一节段发现中度不规则信号异常区，提示合并中症级别源石性浸润,本次检查未能直接证实中央管周围硬化，却显示多个节段中央区有重度信号中断与空洞样改变，提示同部位已合并重症级别结构性损伤,住院短期观察 + 源石代谢抑制剂 22 号 + 神经病理性疼痛管理 + 功能性康复训练,0
1010047,10,1004,2,脊髓长节段源石板块压迫,1.0,0.11,步态著明显不稳，需搀扶行走或轮椅，查体见多节段肌力下降和感觉障碍,现在下肢明显无力，走几步就会发软，容易摔倒，双手也越来越笨，扣扣子和拿东西都很吃力，后背有持续压迫样疼痛,只会反复说“整条脊梁被石头夹住了”，一会儿喊腿没力一会儿又说手也不行了，分不清具体是哪一条神经出问题,全脊髓 3D MRI 重建 + 源石晶体成像 + 术中神经监测,多节段脊髓前外侧可见连续大型源石板块压迫，脊髓明显变扁，术中监测证实多条传导束电信号严重减弱或中断,影像显示脊髓轮廓基本正常，未见连续板块样结晶灶，结果阴性,本次检查未能直接证实长节段源石板块压迫，但部分节段仍有轻度信号异常，提示该部位存在其他轻症级别源石性损伤,本次检查未能直接证实长节段源石板块压迫，却发现多个节段有中度结晶团块和脊髓变形，提示同部位合并中症级别压迫性病灶,本次检查未能直接证实长节段源石板块压迫，却显示长节段脊髓广泛信号中断和严重扁平变形，提示同部位已合并重症级别进行性脊髓压迫,全麻减压椎板切除或椎管扩大术 + 多节段源石板块清理 + 术中神经监测 + 术前高剂量感染抑制剂 23 号与脱水剂及神经营养药联合准备,1
1010052,10,1005,0,轻度周围神经束源石性鞘旁沉积,0.35,0.03,肢体外观无肿胀或皮疹，偶在查体时对针刺略敏感,最近手指和脚趾会偶尔有发麻和蚁走感，像有小电流在皮肤下面游走，但活动和握力基本正常，只是在安静时会被这种感觉打扰,总说“手脚像被细小的石屑擦过”，一会儿说是麻一会儿又说是痒,神经传导速度检查 + 周围神经超声,远端感觉神经传导速度轻度减慢，局部神经干周围可见细小源石沉积回声，神经横径略增,神经传导速度与波幅在正常范围内，周围神经超声未见鞘旁结晶或肿胀,本次检查未能直接证实鞘旁沉积，但部分神经节段仍有轻度回声改变，提示同部位存在其他轻症级别病变,本次检查未能直接证实鞘旁沉积，却在邻近节段发现中度神经肿大和不均匀回声，提示同部位合并中症级别源石性病灶,本次检查未能直接证实鞘旁沉积，却显示多支神经干有重度回声增强和变形，提示同部位已合并重症级别周围神经损伤,门诊源石代谢调节剂 21 号 + 维生素与神经营养支持 + 生活方式调整,0
