cid,en_name,name,introduce
135,eat,进食,玩家使用食物背包面板对自己或者对NPC执行，并成功进食。饥饿的NPC在饭点会对自己进行，食用自己背包里的食物。
136,refuse_eat,拒绝进食,NPC拒绝食用玩家提供的特殊调味食物。
137,buy_food,购买食物,玩家使用食物商店面板执行，NPC会优先购买手制的、更高级的实物。购买后食物会进入购买者的背包。需要在食品店中。
140,pee,解手,游戏设定NPC只有小便，肛门仅有性器官的功能。需要在洗手间或宿舍中。
141,cloth_off,脱掉全部衣服,脱去身上所有的衣物，通常是为了洗澡或其他需要。
142,put_shower_cloth,换上浴帽和浴巾,更换成适合洗澡的装备，准备进行沐浴。
143,put_sleep_cloth,换上睡衣和内衣,换上适合睡觉的舒适服装，准备休息。
144,wear_to_locker,身上衣服脱到衣柜,将身上的衣服全部脱下并存放在衣柜中。
145,locker_to_wear,衣柜衣服穿回身上,从衣柜中取出衣服并穿在身上。
146,ready_to_swim,脱掉衣服并换上泳衣,准备游泳，更换成适合水中活动的泳装。
147,foot_cloth_to_locker,脱鞋袜,脱下脚上的鞋袜，是泡脚前的准备工作。
148,wear_to_locker_and_get_shower_cloth,脱衣换浴帽和浴巾,脱下平时的衣服，换上适合洗澡的浴帽和浴巾。
149,clean_wear_and_locker_to_wear,脱衣并穿回衣柜衣服,清洁当前衣物并更换为存放在衣柜中的衣服。

151,singing,唱歌,自行练习，或对他人唱歌。
152,play_instrument,演奏乐器,自行练习，使用乐器演奏音乐。
153,watch_movie,看电影,观看电影作品，享受视听盛宴和故事情节。需要在多媒体室中。
154,photography,摄影,使用相机捕捉美丽的瞬间或重要场景。需要在摄影工作室中。
155,play_water,玩水,在水中嬉戏玩耍，享受水带来的乐趣。需要在水上乐园中。
156,play_chess,下棋,与对方进行棋类对弈。需要在棋牌室中。
157,play_mahjong,打麻将,与他人一起玩麻将游戏。需要在棋牌室中。
158,play_cards,打牌,与他人一起玩纸牌游戏。需要在棋牌室中。
159,rehearse_dance,排演舞剧,练习和排演舞蹈表演。需要在糖果仙子宴会厅中。
160,play_arcade_game,玩街机游戏,在游戏机上玩各种电子游戏。需要在前卫街机厅中。
161,swimming,游泳,在水中游泳锻炼身体。需要在游泳池中。
162,taste_wine,品酒,品尝各种酒类饮品，体验不同的口感和风味。需要在酒吧中。
163,taste_tea,品茶,品尝各种茶叶冲泡的饮品，感受茶文化的魅力。需要在茶馆中。
164,taste_coffee,品咖啡,品尝各种咖啡，享受不同风味的咖啡体验。需要在咖啡厅中。
165,taste_dessert,品尝点心,品尝各种精美的甜点和点心，满足味蕾的享受。需要在瓦莱莉亚蛋糕店中。
166,taste_food,品尝美食,享用各种美食佳肴，体验不同的味道和烹饪风格。需要在餐厅中并且是用餐时间。
167,play_house,过家家,模拟家庭生活的游戏，通常受孩子们喜爱。需要在黄澄澄游戏室中。
168,style_hair,修整发型,调整或改变发型，提升外观形象。需要在理发店中。
169,full_body_styling,全身造型服务,接受全身的形象设计和调整，包括发型、妆容等。需要在造型工作室中。
171,listen_inflation,听肚子里的动静,在住院区对怀孕的待产NPC使用。
172,play_with_child,一起玩耍,与孩子一起玩游戏或活动。
173,pl_win_in_board_game,博士在桌游中获胜,在棋牌类游戏中战胜对手，获得胜利的成就感。
174,pl_lose_in_board_game,博士在桌游中输了,在棋牌类游戏中被对手击败，体验失败的教训。
181,soak_feet,泡脚,将脚浸泡在温水中，缓解疲劳和促进血液循环。需要在足浴区中。
182,steam_sauna,蒸桑拿,在高温蒸汽环境中放松身体，促进新陈代谢。需要在桑拿室中。
183,hydrotherapy_treatment,水疗护理,接受专业的水疗服务，放松身心和改善肌肤状态。需要在水疗室中。
184,onsen_bath,泡温泉,在温泉水中浸泡，享受温泉的保健和放松效果。需要在温泉中。
191,aromatherapy_1,对目标香薰疗愈_回复,回复体力与气力。需要在香薰治疗室中。
192,aromatherapy_2,对目标香薰疗愈_习得,提升习得的获得速度。需要在香薰治疗室中。
193,aromatherapy_3,对目标香薰疗愈_反感,降低恐怖、苦痛、抑郁、反感的获得速度。需要在香薰治疗室中。
194,aromatherapy_4,对目标香薰疗愈_快感,提升全部位快感与欲情的获得速度。需要在香薰治疗室中。
195,aromatherapy_5,对目标香薰疗愈_好感,提升好感与信赖的获得速度。需要在香薰治疗室中。
196,aromatherapy_6,对目标香薰疗愈_催眠,提升香催眠进度的增长速度。需要在香薰治疗室中。

201,official_work,处理公务,处理各种行政事务和公文，完成工作职责。需要在博士办公室中。
202,battle_command,指挥作战,未实装，指挥和协调战斗行动。需要在指挥室中。
205,training,战斗训练,进行战斗技能的训练和提升，增强战斗能力。需要在训练室中。
206,exercise,锻炼身体,进行各种锻炼，提高体力与气力上限。需要在健身房中。
207,cure_patient,诊疗病人,治疗一名正在候诊的病人。需要在急诊室或门诊室中。
208,recruit,招募干员,寻找和邀请新的人员加入组织，扩充团队力量。需要在人事办公室中。
209,invite_visitor,邀请访客,邀请外部人员进行访问或会面，促进交流合作。需要在外交办公室中。
210,read_book,读书,阅读各类书籍，获取知识和增长见识。需要至少为带桌椅的办公级地点。
213,teach,授课,向学生传授知识和技能，进行教育工作。需要在教室中。
214,attent_class,上学,作为学生参与课堂学习，接受教育。
215,maintenance_facilities,维护设施,对设备和设施进行维护和保养，确保正常运行。需要在任何可维护的地点。
216,repair_equipment,维修装备,修理损坏或故障的装备，恢复其功能。需要在铁匠铺中。
217,npc_work_cook,干员做饭,NPC角色在准备食物和烹饪菜肴。
218,produce,制造产品,生产和制造各种产品或物品。
219,plant_manage_crop,种植与养护作物,种植和照料各种植物，确保其健康生长。
221,deal_with_diplomacy,处理外交事宜,处理与外部组织或个人的外交关系和合作事宜。
222,train_prisoner,训练囚犯,对被监禁的人员进行特定训练或教育。

251,morning_salutation_1,早安问候：叫起床,在设定的早安时间叫醒玩家并问候。
252,morning_salutation_2,早安问候：早安吻,在设定的早安时间用亲吻的方式叫醒玩家。
253,morning_salutation_3,早安问候：早安咬,在设定的早安时间用口交的方式叫醒玩家。
254,night_salutation_1,晚安问候：催睡觉,在设定的晚安时间催促玩家睡觉。
255,night_salutation_2,晚安问候：晚安吻,在设定的晚安时间用亲吻的方式道晚安。
256,night_salutation_3,晚安咬,在设定的晚安时间用口交的方式道晚安。
261,npc_assistant_cook,干员助理做饭,担任助理角色的NPC在准备食物和烹饪。

301,touch_head,摸头,轻抚对方的头部。
302,touch_breast,摸胸,触摸对方的胸部。
303,touch_buttocks,摸屁股,触摸对方的臀部。
304,touch_ears,摸耳朵,轻抚对方的兽耳。
305,touch_horn,摸角,触摸对方头上的兽角。
306,touch_tail,摸尾巴,触摸对方的尾巴。
307,touch_ring,摸光环,触摸对方头上的光环。
308,touch_wing,摸翅膀,触摸对方的翅膀。
309,touch_tentacle,摸触手,触摸对方的触手。
310,touch_car,摸小车,触摸对方带着的小车。
311,hand_in_hand,牵手,与对方手牵手。
312,embrace,拥抱,与对方相互拥抱。
313,kiss,亲吻,与对方进行亲吻。
314,lap_pillow,膝枕,让对方的头枕在自己的膝盖上，表达亲密和照顾。需要至少为带桌椅的办公级地点。
315,raise_skirt,掀起裙子,掀起对方的裙子。
316,ask_for_pan,索要内裤,请求对方给予内裤。
317,ask_for_socks,索要袜子,请求对方给予袜子。
318,invite_to_bath,一起洗澡,邀请对方一起洗澡，清洁双方的污浊。
331,touch_clitoris,阴蒂爱抚,抚摸和刺激对方的阴蒂。
332,touch_vagina,手指插入（V）,用手指插入对方的阴道。
333,touch_anus,手指插入（A）,用手指插入对方的肛门。
336,milk,挤奶,挤压对方的乳房以获取乳汁。
341,smell_underwear,闻内衣,嗅闻对方的内衣。
342,steal_pan,偷走内裤,未经许可拿走对方的内裤，需要对方在无意识状态下。
343,steal_socks,偷走袜子,未经许可拿走对方的袜子，需要对方在无意识状态下。
344,steal_scene_all_pan,偷走所有人内裤,偷走场景中所有人的内裤，需要在场所有人都无意识。
345,steal_scene_all_socks,偷走所有人袜子,偷走场景中所有人的袜子，需要在场所有人都无意识。
351,bagging_and_moving,装袋搬走,将对方装入袋中并搬走，需要对方在无意识状态下。
352,put_into_prison,投入监牢,将装在袋中对方关入监狱，剥夺自由。需要在监狱中。
353,set_free,解除囚禁,释放被囚禁的对象，恢复其自由。需要在监狱中。

361,h,进入H状态,准备和对方进行性行为。需要有门锁且可上锁。
362,end_h,结束H,结束性行为状态，回到正常状态。
363,do_h_fail,邀请H失败,邀请对方进行性行为但被拒绝。
364,h_hp_0,H时博士体力为零中断,因自己体力耗尽而被迫中断性行为。
365,t_h_hp_0,H时交互对象体力为零中断,因对方体力耗尽而被迫中断性行为。
366,h_interrupt,H时被人目击闯入中断,因被第三方发现而中断性行为。
367,no_conscious_h_end,结束无意识H,结束与无意识对象的性行为。
368,hidden_sex_interrupt,隐奸被发现中断,隐秘的性行为被发现而中断。
369,hidden_sex_to_group_sex,隐奸被发现转群交,隐秘行为被发现后转变为多人参与的场景。

371,confession,告白,向对方表达爱意或告白感情，对方成为恋人并获得戒指，获得对方信物。
372,confession_failed,告白失败,向对方表白，但被对方拒绝。
373,give_necklace,戴上项圈,给对方戴上项圈，对方成为宠物并获得项圈，获得对方信物。
374,give_necklace_failed,戴上项圈失败,尝试给对方戴项圈但被拒绝。

376,discover_hidden_sex_and_interrupt,发现隐奸并打断,自己发现博士正在与其他女性正在进行隐秘的性行为，于是进行打断。
377,discover_hidden_sex_and_join,发现隐奸并加入转群交,自己发现博士正在与其他女性正在进行隐秘的性行为后选择加入而非中断。
378,ask_hidden_sex,邀请隐奸,邀请对方进行隐秘的性行为。
379,ask_hidden_sex_fail,邀请隐奸失败,邀请对方进行隐秘活动但被拒绝。
380,ask_group_sex,邀请群交,邀请多人一起参与性行为。
381,ask_group_sex_fail,邀请群交失败,邀请多人参与性行为但被拒绝。
382,group_sex_end,结束群交,结束多人参与的性行为。
383,group_sex_pl_hp_0_end,群交时博士体力为零中断,群交中因主角体力耗尽而中断。
384,group_sex_npc_hp_0_end,群交时自己体力为零退出,群交中因自身体力耗尽而退出。
385,group_sex_to_h,群交时NPC数量不足转为单人H,群交中因人数减少转为一对一活动。
386,join_group_sex,自己加入群交,主动参与到正在进行的多人性行为中。

396,see_h,目睹玩家与其他角色H,看到主角与他人进行性行为的场景。
397,kiss_fail,亲吻失败,尝试亲吻对方但被拒绝或失败。
398,high_obscenity_anus,重度猥亵失败,进行较为过分的猥亵行为但失败。
399,low_obscenity_anus,轻度猥亵失败,进行轻微猥亵行为但失败。

401,making_out,身体爱抚,抚摸和触碰对方身体上除了性器官之外的各部位。
402,kiss_h,接吻,在性行为中与对方进行接吻。
403,breast_caress,胸爱抚,用手抚摸和刺激对方的胸部，揉和抓成各种形状，但不触及乳头。
404,twiddle_nipples,玩弄乳头,不用嘴，而是用手揉捏、玩弄和刺激对方的乳头。
405,breast_sucking,舔吸乳头,不用手，而是用口腔吸吮、舔弄、轻咬对方的乳头。
406,clit_caress,阴蒂爱抚,不用嘴，而是用手揉捏、玩弄、抚摸和刺激对方的阴蒂。
407,open_labia,掰开阴唇观察,用手掰开对方的阴唇，观察内阴、外阴以及内部的阴道。
408,open_anus,掰开肛门观察,用手掰开对方的肛门，观察肛门周围以及内部的肠道。
409,cunnilingus,舔阴,用舌头刺激和舔弄对方的阴蒂和阴唇，并将舌头伸进去刺激阴道。
410,lick_anal,舔肛,用舌头刺激和舔弄对方的肛门，并将舌头伸进去刺激肠道。
411,finger_insertion,手指插入(V),将手指插入对方的阴道进行刺激。
412,anal_caress,手指插入(A),将手指插入对方的肛门进行刺激。
413,make_masturebate,命令对方自慰,要求对方进行自慰，在自己面前表演。
414,make_lick_anal,命令对方舔自己肛门,要求对方用舌头刺激自己的肛门和里面的前列腺。
415,keep_enjoy,继续享受,在对方主导的活动中保持被动享受状态。
416,sedecu,诱惑对方,通过各种方式引诱对方进行性行为。
417,ask_pee,命令对方小便,命令对方在自己面前蹲下，两腿张开不能遮挡，然后开始排尿。
418,masturebate,自慰(女),女性角色进行自我性刺激的行为。

420,handjob,手交,对方用手握住自己的阴茎，进行上下撸动。
421,blowjob,口交,对方用嘴含住自己的阴茎，用口腔整体和舌头刺激自己的阴茎。
422,paizuri,乳交,对方用胸部夹住自己的阴茎，挤压并上下摩擦。
423,footjob,足交,对方用脚部夹住自己的阴茎，挤压并上下摩擦。
424,hairjob,发交,对方用头发缠绕自己的阴茎，上下摩擦提供刺激和快感。
425,axillajob,腋交,对方用腋下夹住自己的阴茎，进行摩擦和抽插。
426,rub_buttock,素股,对方用阴部和大腿根部之间的夹缝区域包裹自己的阴茎，进行摩擦和抽插。
427,hand_blowjob,手交口交,对方用嘴含住自己阴茎前端进行刺激的同时，用手握住阴茎的后半部分进行刺激。
428,tits_blowjob,乳交口交,对方用胸部夹住自己阴茎进行刺激的同时，口腔含住自己阴茎的前端进行刺激。
429,focus_blowjob,真空口交,对方用口腔创造真空状态，增强给自己的阴茎口交时的刺激感。
430,deep_throat,深喉插入,自己将阴茎深深插入对方喉咙内部进行深度口交，可能会插入到食道位置，会对对方造成明显的呕吐、窒息等不适感。
431,sixty_nine,六九式,双方同时用口腔互相刺激对方的生殖器官，对方给自己口交，自己舔对方的阴部。需要至少为带床的卧室级地点。
432,legjob,腿交,对方用大腿、膝盖弯、小腿等腿部的各个位置夹住和包裹自己的阴茎摩擦。
433,tailjob,尾交,对方用用尾巴包裹和摩擦自己的阴茎。
434,face_rub,阴茎蹭脸,自己用阴茎在对方的脸部的各个位置摩擦和抽插。
435,horn_rub,阴茎蹭角,自己用阴茎在对方的兽角上摩擦和抽插。
436,ears_rub,阴茎蹭耳朵,自己用阴茎在对方的兽耳上摩擦和抽插。
437,clean_blowjob,清洁口交,对方用口腔清洁自己的刚刚射精完的阴茎，将残留的精液、前列腺液等吸出来舔干净。

451,body_lubricant,润滑液,给自己的阴茎和对方的性器表面、身体表面涂抹润滑剂，以减少摩擦并增强快感体验。
452,birth_control_pills_before,事前避孕药,让对方服用性行为前避孕药以防止怀孕。
453,birth_control_pills_after,事后避孕药,让对方服用性行为后避孕药以防止怀孕。
454,philter,媚药,让对方服用使用能增强性欲和快感的药物。
455,enemas,灌肠液,（废弃指令）用于清洁肠道的液体，为特定活动做准备。
456,diuretics_once,一次性利尿剂,促进一次性排尿的药物，有特定用途。
457,diuretics_persistent,持续性利尿剂,长时间促进排尿的药物，效果持久。
458,sleeping_pills,安眠药,使人陷入睡眠状态的药物，可能被滥用。
459,clomid,排卵促进药,促进排卵的药物，可能用于生育相关目的。

471,put_condom,戴上避孕套,使用避孕套以防止怀孕和疾病传播。
472,safe_candles,滴蜡,将热蜡滴在对方身体上，属于特殊刺激行为。需要在调教室中。
473,urethral_swab,尿道棉棒,使用棉棒刺激尿道，属于特殊性行为。
474,take_condom_out,摘掉避孕套,移除已使用的避孕套，可能增加特定风险。
481,nipples_love_egg,乳头跳蛋,在乳头处使用跳蛋提供振动刺激。
482,nipple_clamp_on,戴上乳头夹,使用夹具刺激乳头，增强敏感度和快感。
483,clit_love_egg,阴蒂跳蛋,在阴蒂处使用跳蛋提供振动刺激。
484,clit_clamp_on,戴上阴蒂夹,使用夹具刺激阴蒂，增强敏感度和快感。
485,electric_message_stick,电动按摩棒,使用电动工具按摩身体提供快感刺激。
486,vibrator_insertion,V插入震动棒,将震动棒插入阴道提供内部刺激。
487,big_vibrator_insertion,加粗震动棒,使用较粗的震动棒增强阴道刺激感。
488,huge_vibrator_insertion,巨型震动棒,使用超大号震动棒提供极强的刺激感。
489,vibrator_insertion_anal,A插入震动棒,将震动棒插入肛门提供内部刺激。
490,big_vibrator_insertion_anal,加粗肛门震动棒,使用较粗的震动棒增强肛门刺激感。
491,huge_vibrator_insertion_anal,巨型肛门震动棒,使用超大号震动棒提供极强的肛门刺激。
492,clyster,灌肠,使用液体清洁肠道，为特定活动做准备。需要在调教室中。
493,anal_plug,肛塞,将专用道具塞入肛门，扩张或提供持续刺激。
494,anal_beads,塞入肛门拉珠,将连珠状道具插入肛门提供特殊刺激。
495,clyster_end,拔出肛塞,移除已插入的肛塞，结束肛门刺激。
496,nipple_clamp_off,取下乳头夹,移除乳头上的夹具，结束刺激。
497,clit_clamp_off,取下阴蒂夹,移除阴蒂上的夹具，结束刺激。
498,vibrator_insertion_off,拔出震动棒,移除已插入阴道的震动棒，结束刺激。
499,vibrator_insertion_anal_off,拔出肛门震动棒,移除已插入肛门的震动棒，结束刺激。
500,anal_beads_off,拔出肛门拉珠,移除已插入肛门的拉珠，结束刺激。

501,normal_sex,正常位,又称传教士位。女方先仰卧着躺在床上，然后男方面对着女方，或压或趴或撑在女方上面。需要至少为带床的卧室级地点。
502,back_sex,背后位,又称狗爬位。女方以跪姿或趴姿，男方从女方背后进入。
503,riding_sex,对面骑乘位,女方跨坐在仰卧的男方身上，两人面对面。需要至少为带床的卧室级地点。
504,face_seat_sex,对面座位,男女双方均坐姿，女方面对男方，坐在男方腿上，双腿环绕男方腰部。需要至少为带桌椅的办公级地点。
505,back_seat_sex,背面座位,女方背对男方坐在其腿上，男方从后方环抱女方。需要至少为带桌椅的办公级地点。
506,face_stand_sex,对面立位,双方均站立，面对面，女方可能需要抬起一条腿或用物品垫高自己。
507,back_stand_sex,背面立位,双方均站立，女方背对男方，女方手撑着墙壁或某些可以依靠的物品或被男方拉住双臂，以保持平衡。
508,back_riding_sex,背面骑乘位,女方跨坐在仰卧的男方身上，但背对着男方。需要至少为带床的卧室级地点。
511,stimulate_g_point,刺激G点,特别针对阴道内G点区域进行的刺激。
512,womb_os_caress,玩弄子宫口,刺激和玩弄子宫入口处，提供特殊快感。
513,womb_insertion,插入子宫口,将生殖器插入子宫口，属于深度刺激。
514,womb_sex,子宫姦,深入子宫内部的极深性交方式。
515,external_womb_massage,体外子宫按摩,在腹部外侧按摩子宫区域提供刺激。
521,normal_anal_sex,正常位肛交,面对面进行肛门性交的基本体位。需要至少为带床的卧室级地点。
522,back_anal_sex,后背位肛交,从背后进入肛门的性交体位。
523,riding_anal_sex,对面骑乘位肛交,对方在上方主动控制的面对面肛交姿势。需要至少为带床的卧室级地点。
524,face_seat_anal_sex,对面座位肛交,面对面坐姿进行的肛门性交体位。需要至少为带桌椅的办公级地点。
525,back_seat_anal_sex,背面座位肛交,背对背坐姿进行的肛门性交体位。需要至少为带桌椅的办公级地点。
526,face_stand_anal_sex,对面立位肛交,双方站立面对面进行的肛门性交体位。
527,back_stand_anal_sex,背面立位肛交,双方站立背对面进行的肛门性交体位。
528,back_riding_anal_sex,背面骑乘位肛交,对方在上方背对面主动控制的肛交姿势。需要至少为带床的卧室级地点。
530,stimulate_sigmoid_colon,玩弄s状结肠,刺激肛门深处的S状结肠区域。
531,stimulate_vagina,隔着刺激阴道,通过肛门内部隔着组织刺激阴道。
541,urethral_finger_insertion,尿道指姦,将手指插入尿道进行刺激，属于特殊行为。
542,urethral_sex,尿道姦,通过尿道进行的性交，属于极特殊行为。
551,face_hug_sex,对面抱位,男方站立，女方抱着男方，双脚离地，双腿环绕男方腰部。
552,back_hug_sex,背面抱位,男方站立，男方抓稳女方腰腹部，从背后抱起女方，女方双脚离地。
553,face_lay_sex,对面卧位,双方侧卧，面对面，可能需要女方抬起一条腿以便于插入。需要至少为带床的卧室级地点。
554,back_lay_sex,背面卧位,双方侧卧，女方背对男方，男方从后方环抱女方并进入。需要至少为带床的卧室级地点。
561,face_hug_anal_sex,对面抱位肛交,相互拥抱状态下面对面进行的肛交体位。
562,back_hug_anal_sex,背面抱位肛交,从背后拥抱状态下进行的肛门性交体位。
563,face_lay_anal_sex,对面卧位肛交,面对面平躺状态下进行的肛门性交体位。需要至少为带床的卧室级地点。
564,back_lay_anal_sex,背面卧位肛交,背对面平躺状态下进行的肛门性交体位。需要至少为带床的卧室级地点。

601,milking_machine_on,装上搾乳机,安装机器设备吸取乳汁的装置。需要在调教室或博士房间中。
602,urine_collector_on,装上采尿器,安装收集尿液的装置，用于特定目的。需要在调教室或博士房间中。
603,bind,捆绑,用绳索或其他工具限制对方行动能力。需要在调教室中。
604,patch_on,戴上眼罩,用眼罩遮住对方视线，增强其他感官体验。需要在调教室或博士房间中。
605,whip,鞭子,使用鞭子抽打对方身体，属于疼痛刺激行为。需要在调教室中。
606,needle,针,使用针刺激对方身体特定部位，属于特殊刺激。需要在调教室中。
607,gag_on,戴上口球,用口球堵住对方口腔，限制发声能力。需要在调教室或博士房间中。
631,milking_machine_off,取下搾乳机,移除乳汁吸取装置，结束乳汁收集。
632,urine_collector_off,取下采尿器,移除尿液收集装置，结束尿液收集。
633,unbind,解除捆绑,松开束缚对方的绳索或工具，恢复行动能力。
634,patch_off,摘下眼罩,移除遮挡视线的眼罩，恢复视觉能力。需要在调教室或博士房间中。
635,gag_off,摘下口球,移除口中的口球，恢复说话能力。需要在调教室或博士房间中。

681,exercise_sucking_and_swallowing,练习吮吸与吞咽力,训练口腔相关肌肉以提高特定技能。
682,exercise_armpit_flexibility,练习腋下夹持力,训练腋下肌肉以增强特定动作的效果。
683,exercise_breast_clamping,练习胸部夹持力,训练胸肌以增强胸部夹持能力。
684,exercise_hands_clamping,练习手部灵活度,训练手部肌肉和协调性以提高手部技巧。
685,exercise_foots_flexibility,练习足部灵活度,训练足部肌肉和协调性以提高足部技巧。
686,exercise_vagina_firmness,练习阴道紧致度,训练阴道肌肉以增强紧致度和控制能力。
687,exercise_intestine_firmness,练习肠道紧致度,训练肛门和肠道肌肉以增强控制能力。
688,exercise_tail_flexibility,练习尾巴灵活度,训练尾巴相关肌肉以增加尾巴的灵活性。
689,exercise_tentacle_flexibility,练习触手灵活度,训练触手相关肌肉以增加触手的灵活性。

701,undress,脱衣服,脱去部分或全部衣物，准备特定活动。
702,undress_to_underwear,脱到只穿内衣(即只脱上下外衣),保留内衣的部分脱衣状态。
703,undress_to_socks_gloves,脱到只穿袜子手套等(即再脱掉内衣),几乎全裸只保留袜子手套。
704,undress_to_naked,脱到全裸(即身上没有任何衣物),完全脱去所有衣物的状态。
705,remove_underwear,收起内裤,仅脱去或移开内裤，保留其他衣物。
710,hat_job,帽子交,用帽子刺激对方生殖器官提供特殊体验。
711,glasses_job,眼镜交,用眼镜刺激对方生殖器官提供特殊体验。
712,ear_ornament_job,耳饰交,用耳饰刺激对方生殖器官提供特殊体验。
713,neck_ornament_job,脖饰交,用脖子饰品刺激对方生殖器官提供特殊体验。
714,mouth_ornament_job,口罩交,用口罩刺激对方生殖器官提供特殊体验。
715,top_job,上衣交,用上衣刺激对方生殖器官提供特殊体验。
716,corset_job,胸衣交,用胸衣刺激对方生殖器官提供特殊体验。
717,gloves_job,手套交,用手套刺激对方生殖器官提供特殊体验。
718,skirt_job,裙子交,用裙子刺激对方生殖器官提供特殊体验。
719,underwear_job,内裤交,用内裤刺激对方生殖器官提供特殊体验。
720,socks_job,袜子交,用袜子刺激对方生殖器官提供特殊体验。
721,shoes_job,鞋子交,用鞋子刺激对方生殖器官提供特殊体验。
722,weapons_job,武器交,用武器刺激对方生殖器官提供特殊体验。
723,trousers_job,裤子交,用裤子刺激对方生殖器官提供特殊体验。

751,orgasm_edge_on,绝顶寸止,控制性刺激在即将达到高潮前停止。
752,orgasm_edge_off,绝顶解放,解除寸止状态允许达到完全高潮。

771,spanking,打屁股,用手掌拍打对方臀部，可能作为惩罚或刺激。

801,hold_child,抱小孩,抱起并怀抱孩子，表达关爱或照顾。
802,sing_children_song,哼唱儿歌,为孩子唱儿童歌曲，提供娱乐和教育。
803,nuirse_child,喂奶,为婴幼儿提供母乳喂养，满足其营养需求。
804,change_diapers,换尿布,为婴幼儿更换尿布，保持其清洁和舒适。
805,teach_talk,教说话,教导幼儿学习语言和表达能力。
806,give_toy,给玩具,为孩子提供玩具，促进其娱乐和发展。

850,examine_hair,检查头发,观察和评估头发的状况和特性。
851,examine_hair_smoothness,测试头发柔顺度,欺骗对方，以测试头发柔顺度的名义进行发交。
852,examine_oral,检查口腔内部,以色情的视角观察口腔内部的每个地方，包括口腔内的舌头、牙齿、唾液、喉咙等。
853,examine_sucking_and_swallowing,测试口腔吮吸与吞咽力,欺骗对方，以测试口腔吮吸与吞咽力的名义进行口交。
854,examine_armpit,检查腋下,以色情的视角观察腋下区域的状况和特点，对方的腋下是无毛的。
855,examine_armpit_clamping,测试腋下夹持力,欺骗对方，以测试腋下夹持力的名义进行腋交，会要求对方夹紧腋下方便自己抽插。
856,examine_breast,检查胸部,让对方脱去上衣，以色情的视角检查和抚摸胸部的每个地方，包括胸部的形状、大小、软硬度、弹性等。
857,examine_nipple_and_areola,检查乳头与乳晕,仔细检查对方的乳头和乳晕，包括观察颜色、大小、形状，以及用手指轻抚、按压、捏弄等动作来检查敏感度和反应。
858,examine_breast_clamping,测试胸部夹持力,欺骗对方，以测试胸部夹持力的名义进行乳交，会要求对方夹紧胸部方便自己抽插。
859,examine_cilitoris,检查阴蒂,以色情和猥亵的目的，用手指轻抚、按压、摩擦对方的阴蒂，观察对方的反应来测试敏感度。
860,examine_hands,检查手部,让对方伸出双手，以色情的视角观察和抚摸对方手部的每个地方，包括手掌、手指、手腕等部位的形状、大小、柔软度、灵活性等。用手指仔细检查对方的手指，包括观察长度、粗细、形状，以及用手指轻抚、按压、揉捏等动作来检查敏感度和反应。
861,examine_hands_flexibility,测试手部灵活度,欺骗对方，以测试手部灵活度的名义进行手交，会要求对方紧握双手中的阴茎方便自己抽插。
