cid,Talent_type,name,heredity,info
61,0,周期性发情,1,隔一段时间会发情
62,0,发情期中,0,发情期中
63,0,不易湿,1,
64,0,容易湿,1,

71,2,已催眠·浅,0,被施加了浅层的催眠状态，意识有些模糊，会下意识地同意有些不合理的要求
72,2,已催眠·深,0,被施加了深层的催眠状态，意识飘在空中，会毫无抵抗地接受对方的任何行为
73,2,已催眠·极,0,抵达了完全的催眠状态，身体和意识被随意控制和摆弄，只能沦为一具人偶

81,0,皮肤钝感,1,
82,0,皮肤敏感,1,
83,0,乳房钝感,1,
84,0,乳房敏感,1,
85,0,阴蒂钝感,1,
86,0,阴蒂敏感,1,
87,0,阴茎钝感,1,
88,0,阴茎敏感,1,
89,0,阴道钝感,1,
90,0,阴道敏感,1,
91,0,肛门钝感,1,
92,0,肛门敏感,1,
93,0,尿道钝感,1,
94,0,尿道敏感,1,
95,0,子宫钝感,1,
96,0,子宫敏感,1,
97,0,兽部钝感,1,
98,0,兽部敏感,1,

101,1,婴儿,0,还是婴儿阶段，身体极为娇小，四肢短小而圆润，皮肤光滑细腻。头部比例较大，眼睛大而明亮，表情天真无邪。行为主要以哭泣、咿呀学语和简单的手脚动作为主，完全依赖他人照顾。
102,1,幼女,0,体型娇小但比婴儿更加协调，脸部轮廓柔和可爱，大眼睛占据脸部较大比例。四肢纤细但带有幼童特有的圆润。行为天真活泼，充满童趣，举手投足间带有稚气和纯真。
103,1,萝莉,0,身材娇小但已初现少女轮廓，身体还在发育中。肢体纤细，脸部保留着孩童的圆润与稚气，但已有了些许少女感。性格和行为举止往往兼具天真与早熟的矛盾特质。
104,1,少女,0,身体已基本发育完全，但仍保持青春的活力与线条。皮肤富有弹性且光滑细腻，脸部轮廓清晰但柔和。举止间充满朝气与活力，眼神中透露出对世界的好奇与热情。
105,1,大姐姐,0,身体已完全发育成熟，展现出成年女性的丰满与线条美。肌肤保持弹性但开始呈现成熟质感，脸部轮廓更为分明。举止优雅从容，眼神中既有成熟也有亲切，给人可靠的印象。
106,1,熟女,0,身体保持着成熟女性的魅力，皮肤开始有细微的岁月痕迹。体态丰腴有致，举手投足间散发着沉稳与从容。眼角可能有浅浅的笑纹，整体散发出经历世事后的成熟魅力。
107,1,人妻,0,身体散发着已为人妻的成熟韵味，体态丰满而不失优雅。举止间流露出生活的历练与智慧，眼神温柔而坚定。气质中兼具家庭的温暖与独立的魅力，行为举止透露出责任感与包容力。
108,1,长生者,1,可与以上几个叠加

111,1,兽耳,1,柔软的动物耳朵长在头顶，能灵活地随情绪变化而转动。耳朵内侧覆盖着细腻的绒毛，轻触会引起敏感的反应。根据不同种类可能呈现出各种形态，从小巧可爱到修长优雅不等。
112,1,兽角,1,头部长出的角质结构，质地坚硬光滑，可能是短小圆润的，也可能是修长弯曲的。角的表面可能有独特的纹路或花纹，触碰时会传递轻微的感觉。在阳光下可呈现出微妙的光泽。
113,1,兽尾,1,从尾椎骨延伸出的柔软尾巴，覆盖着与兽耳相同特性的毛发。尾巴能自主活动，反映主人的情绪变化。长度和形态各异，从短小蓬松到修长灵活，都能展现出独特的魅力与性感。
114,1,光环,1,头顶上方漂浮着的圆形光芒，散发出柔和而神圣的光辉。光环不受物理约束，可随主人移动而保持稳定悬浮。根据情绪变化，光环的亮度和颜色可能会有微妙变化。
115,1,翅膀,1,背部生长出的翼状结构，覆盖着细腻的羽毛或薄如蝉翼的膜。翅膀可以自由展开收拢，充分展开时能达到身高的一到两倍宽度。羽翼轻盈而富有弹性，有着极高的审美价值。
116,1,触手,1,身体某处可以长出柔软灵活的触手组织，表面光滑且略带黏性。这些触手能够自由延展收缩，具有惊人的力量和灵敏度。触手末端的感知极为敏锐，可以感知微小的温度和质地变化。
117,1,小车,0,带着小车。

121,1,绝壁,1,两片小巧的乳房仅形成一个微弱的突起，乳房的边缘轮廓模糊，和胸口没有明显的分界线，两点浅色的乳头几乎隐没在乳晕之中。手掌可以轻易地整个盖住。
122,1,贫乳,1,两片微微隆起的乳房，线条柔和，呈现出自然突出的形状，乳头的形状若隐若现，蕴含着朦胧的性感。乳房突起也不明显，手掌可以整个握住。
123,1,普乳,1,丰满而不过分的乳房，蕴含着成熟女性的魅力，既健康又迷人。乳房有一个自然的弧度，手掌可以包裹住，但很难整个握住。
124,1,巨乳,1,过分丰满的乳房高高耸立，乳房呈现出饱满高耸的弧度，线条丰腴流畅。手掌无法整个握住，从指缝间会有乳肉溢出。
125,1,爆乳,1,乳房高高隆起，饱满程度近乎极致，服装近乎完全无法束缚这一切。达到了令人视线完全无法离开的程度，有着手掌完全无法握住的大小，整张脸也肯定可以埋得进去。
126,1,小臀,1,臀部较小，仅比手掌大去不多，并没有得到充分发育，臀型较为平坦，缺乏曲线感。
127,1,普臀,1,双手难以覆盖。臀型明显丰满上翘，有弧度感。看上去完全能够诞下非常健康的孩子，臀肉较为饱满有力。
128,1,巨臀,1,臀部高度丰满，双手无法覆盖大部分区域。臀型极为饱满翘挺，雄性近乎于无法抗拒的程度，非常吸引人的眼球。亦可以称之为成熟雌性的典范
129,1,细腿,1,修长纤细的双腿，肌肉线条若隐若现，关节处形成优美的轮廓。腿部肌肤光滑细腻，充满了视觉上的美感。行走时姿态轻盈，给人以高挑优雅的印象。
130,1,肉腿,1,腿部肌肉丰满有力，线条圆润饱满。大腿内侧和小腿肚都有着恰到好处的肉感，触感柔软而富有弹性。行走时肌肉的轻微起伏展现出健康与活力。
131,1,小足,1,脚掌纤巧玲珑，足弓高挑优雅。脚趾排列紧凑整齐，比例和谐。足背皮肤细腻，踝关节处轮廓分明。整体呈现出精致小巧的美感，走路时动作轻盈。
132,1,长足,1,双足修长，脚掌与小腿比例和谐。足弓线条流畅优美，脚趾排列整齐修长。踝关节轮廓清晰，整体呈现出优雅成熟的魅力。步态稳健而优美，展现出独特的韵律感。

150,1,源石病感染者,1,
151,1,嗜睡,1,
152,1,高温体质,1,
153,1,低温体质,1,
154,1,带电体质,1,
155,1,带毒体质,1,
156,1,视力障碍,1,
157,1,听力障碍,1,
158,1,失忆,1,
159,1,人格障碍,1,
160,1,行动不便,1,
161,1,低存在感,1,
162,1,体表源石结晶,1,
163,1,义肢,0,
164,1,毒抗性,1,下药无效
165,1,大胃王,1,
166,1,昼伏夜出,1,作息规律相反
167,1,猫舌,1,口系减值
168,1,水分身,1,可以召唤分身
171,1,生育模组,0,仿照人体结构制成的生育模组，使无机体一样可以进行妊娠与生育

201,2,思慕,0,爱情系第一阶段
202,2,恋慕,0,爱情系第二阶段
203,2,恋人,0,爱情系第三阶段
204,2,爱侣,0,爱情系第四阶段
205,4,戒指,0,指令[告白]成功后获得

211,2,屈从,0,隶属系第一阶段
212,2,驯服,0,隶属系第二阶段
213,2,宠物,0,隶属系第三阶段
214,2,奴隶,0,隶属系第四阶段
215,4,项圈,0,指令[戴上项圈]成功后获得

220,2,性好奇,0,H指令加值
221,2,性冷漠,0,H指令减值
222,2,性无知,0,H指令加值，部分H指令不需判定直接通过
223,2,感情缺乏,0,包括正负面在内的全体状态上升难
224,2,难以与越过的底线,0,全abl上升难，实行值降低
225,2,献身,0,abl_受虐上升易，恭顺、屈服上升易
226,2,倒错,0,苦痛系、SM系实行值上升、效果上升
227,2,讨厌男性,0,男性博士全实行值降低
228,2,讨厌女性,0,女性博士全实行值降低
229,2,施虐狂,0,先导上升易，施虐效果上升
230,2,受虐狂,0,苦痛上升易，受虐效果上升

271,2,勤劳,1,习得、先导上升易
272,2,懒散,1,习得、先导上升难
273,2,脆弱,1,恭顺、屈服上升易
274,2,坚强,1,恭顺、屈服上升难
275,2,热情,1,好意、快乐上升易
276,2,孤僻,1,好意、快乐上升难
277,2,羞耻,1,欲情、羞耻上升易
278,2,开放,1,欲情、羞耻上升难

304,3,博士信息素,0,初级激素系能力，散发出令人产生些许好感的气味，可以略微地增加指令的实行值
305,3,博士信息素集组,0,中级激素系能力，散发出令人着迷的气味，可以较多地增加指令的实行值
306,3,博士信息素阵列,0,高级激素系能力，散发出近乎媚药等级的气味，可以极大地增加指令的实行值
307,3,内衣透视,0,初级视觉系能力，可以看到对方穿着的内衣
308,3,腔内透视,0,中级视觉系能力，可以看到对方腔内的情况
309,3,生理透视,0,高级视觉系能力，可以看到对方的生理周期与受精概率
310,3,隔衣触摸,0,初级触觉系能力，可以隔空抚摸对方没有被衣服覆盖的身体部位（未实装）
311,3,透衣触摸,0,中级触觉系能力，可以穿过衣服，直接隔空触摸到对方的衣服下的身体部位（未实装）
312,3,隔空插入,0,高级触觉系能力，可以穿过衣服，直接隔空插入对方的腔内（未实装）
316,3,窄域时停,0,初级时停系能力，可以让时间暂时停止，但自己行动范围受限，无法移动到房间以外的地方
317,3,广域时停,0,中级时停系能力，可以让时间暂时停止，且自己可以随意移动
318,3,精确时停,0,高级时停系能力，可以让时间暂时停止，且可以选择性地让某些人或物不受影响（实装中）
331,3,猥亵催眠,0,初级催眠系能力，可以让对方陷入浅层催眠状态，不会抵抗性骚扰等级的行为
332,3,性爱催眠,0,中级催眠系能力，可以让对方陷入深层催眠状态，不会抵抗任何性行为
333,3,集体催眠,0,高级催眠系能力，可以同时催眠复数对象，对同房间的所有人共同施加催眠
334,3,心体催眠,0,特级催眠系能力，可以使用体控和心控的催眠，单独操控被催眠的对象的身体或向心灵灌输特定的命令

351,3,回复慢,1,进行体力气力恢复时有减值
352,3,回复快,1,进行体力气力恢复时有加值
353,3,酒量差,1,
354,3,酒量好,1,
355,3,千杯不醉,1,
356,3,灵活手指,1,
357,3,灵活舌头,1,
358,3,教官,0,习得、先导上升易
359,3,厨艺,0,料理加值

401,4,持有博士把柄,0,实行值减少
402,4,被博士持有把柄,0,实行值增加

411,4,信物,0,把自己的信物交给了博士

451,4,女儿,0,是博士的女儿
