cid,en_name,name,duration,trigger,type
352,put_into_prison,投入监牢,10,pl,猥亵
353,set_free,解除囚禁,10,pl,猥亵

361,h,进入H状态,5,both,性爱
362,end_h,结束H,5,pl,性爱
363,do_h_fail,邀请H失败,10,pl,猥亵_失败
364,h_hp_0,H时博士体力为零中断,5,pl,性爱
365,t_h_hp_0,H时交互对象体力为零中断,5,pl,性爱
366,h_interrupt,H时被人目击闯入中断,5,pl,性爱
367,no_conscious_h_end,结束无意识H,5,pl,性爱
368,hidden_sex_interrupt,隐奸被发现中断,5,pl,性爱
369,hidden_sex_to_group_sex,隐奸被发现转群交,5,npc,性爱

371,confession,告白,10,both,猥亵
372,confession_failed,告白失败,10,pl,猥亵_失败
373,give_necklace,戴上项圈,10,both,猥亵
374,give_necklace_failed,戴上项圈失败,10,pl,猥亵_失败

376,discover_hidden_sex_and_interrupt,发现隐奸并打断,5,npc,性爱
377,discover_hidden_sex_and_join,发现隐奸并加入转群交,5,npc,性爱
378,ask_hidden_sex,邀请隐奸,5,pl,性爱
379,ask_hidden_sex_fail,邀请隐奸失败,5,pl,猥亵_失败
380,ask_group_sex,邀请群交,5,pl,性爱
381,ask_group_sex_fail,邀请群交失败,5,pl,猥亵_失败
382,group_sex_end,结束群交,5,pl,性爱
383,group_sex_pl_hp_0_end,群交时博士体力为零中断,5,pl,性爱
384,group_sex_npc_hp_0_end,群交时自己体力为零退出,5,npc,性爱
385,group_sex_to_h,群交时NPC数量不足转为单人H,5,pl,性爱
386,join_group_sex,自己加入群交,5,npc,性爱

396,see_h,目睹玩家与其他角色H,10,npc,猥亵
397,kiss_fail,亲吻失败,5,pl,猥亵_失败
398,high_obscenity_anus,重度猥亵失败,10,pl,猥亵_失败
399,low_obscenity_anus,轻度猥亵失败,10,pl,猥亵_失败

401,making_out,身体爱抚,10,both,性爱
402,kiss_h,接吻,5,both,性爱
403,breast_caress,胸爱抚,10,both,性爱
404,twiddle_nipples,玩弄乳头,10,both,性爱
405,breast_sucking,舔吸乳头,10,both,性爱
406,clit_caress,阴蒂爱抚,10,both,性爱
407,open_labia,掰开阴唇观察,10,both,性爱
408,open_anus,掰开肛门观察,10,both,性爱
409,cunnilingus,舔阴,10,both,性爱
410,lick_anal,舔肛,10,both,性爱
411,finger_insertion,手指插入(V),10,both,性爱
412,anal_caress,手指插入(A),10,both,性爱
413,make_masturebate,命令对方自慰,10,both,性爱
414,make_lick_anal,命令对方舔自己肛门,10,both,性爱
415,keep_enjoy,继续享受,-1,pl,性爱
416,sedecu,诱惑对方,10,pl,性爱
417,ask_pee,命令对方小便,5,pl,性爱
418,masturebate,自慰(女),10,npc,性爱

420,handjob,手交,10,both,性爱_侍奉
421,blowjob,口交,10,both,性爱_侍奉
422,paizuri,乳交,10,both,性爱_侍奉
423,footjob,足交,10,both,性爱_侍奉
424,hairjob,发交,10,both,性爱_侍奉
425,axillajob,腋交,10,both,性爱_侍奉
426,rub_buttock,素股,10,both,性爱_侍奉
427,hand_blowjob,手交口交,10,both,性爱_侍奉
428,tits_blowjob,乳交口交,10,both,性爱_侍奉
429,focus_blowjob,真空口交,10,both,性爱_侍奉
430,deep_throat,深喉插入,10,both,性爱_侍奉
431,sixty_nine,六九式,10,both,性爱_侍奉
432,legjob,腿交,10,both,性爱_侍奉
433,tailjob,尾交,10,both,性爱_侍奉
434,face_rub,阴茎蹭脸,10,both,性爱_侍奉
435,horn_rub,阴茎蹭角,10,both,性爱_侍奉
436,ears_rub,阴茎蹭耳朵,10,both,性爱_侍奉
437,clean_blowjob,清洁口交,10,both,性爱_侍奉

451,body_lubricant,润滑液,10,both,性爱_道具
452,birth_control_pills_before,事前避孕药,10,both,性爱_药物
453,birth_control_pills_after,事后避孕药,10,both,性爱_药物
454,philter,媚药,10,both,性爱_药物
455,enemas,灌肠液,10,both,性爱_道具
456,diuretics_once,一次性利尿剂,10,both,性爱_药物
457,diuretics_persistent,持续性利尿剂,10,both,性爱_药物
458,sleeping_pills,安眠药,10,both,性爱_药物
459,clomid,排卵促进药,10,both,性爱_药物

471,put_condom,戴上避孕套,1,pl,性爱_道具
472,safe_candles,滴蜡,10,both,性爱_道具
473,urethral_swab,尿道棉棒,10,both,性爱_道具
474,take_condom_out,摘掉避孕套,1,pl,性爱_道具
481,nipples_love_egg,乳头跳蛋,10,both,性爱_道具
482,nipple_clamp_on,戴上乳头夹,10,both,性爱_道具
483,clit_love_egg,阴蒂跳蛋,10,both,性爱_道具
484,clit_clamp_on,戴上阴蒂夹,10,both,性爱_道具
485,electric_message_stick,电动按摩棒,10,both,性爱_道具
486,vibrator_insertion,V插入震动棒,10,both,性爱_道具
487,big_vibrator_insertion,加粗震动棒,10,both,性爱_道具
488,huge_vibrator_insertion,巨型震动棒,10,both,性爱_道具
489,vibrator_insertion_anal,A插入震动棒,10,both,性爱_道具
490,big_vibrator_insertion_anal,加粗肛门震动棒,10,both,性爱_道具
491,huge_vibrator_insertion_anal,巨型肛门震动棒,10,both,性爱_道具
492,clyster,灌肠,10,both,性爱_道具
493,anal_plug,肛塞,10,both,性爱_道具
494,anal_beads,塞入肛门拉珠,10,both,性爱_道具
495,clyster_end,拔出肛塞,10,both,性爱_道具
496,nipple_clamp_off,取下乳头夹,10,both,性爱_道具
497,clit_clamp_off,取下阴蒂夹,10,both,性爱_道具
498,vibrator_insertion_off,拔出震动棒,10,both,性爱_道具
499,vibrator_insertion_anal_off,拔出肛门震动棒,10,both,性爱_道具
500,anal_beads_off,拔出肛门拉珠,10,both,性爱_道具

501,normal_sex,正常位,10,both,性爱_插入
502,back_sex,背后位,10,both,性爱_插入
503,riding_sex,对面骑乘位,10,both,性爱_插入
504,face_seat_sex,对面座位,10,both,性爱_插入
505,back_seat_sex,背面座位,10,both,性爱_插入
506,face_stand_sex,对面立位,10,both,性爱_插入
507,back_stand_sex,背面立位,10,both,性爱_插入
508,back_riding_sex,背面骑乘位,10,both,性爱_插入
511,stimulate_g_point,刺激G点,10,both,性爱_插入
512,womb_os_caress,玩弄子宫口,10,both,性爱_插入
513,womb_insertion,插入子宫口,10,both,性爱_插入
514,womb_sex,子宫姦,10,both,性爱_插入
515,external_womb_massage,体外子宫按摩,5,both,性爱_插入
521,normal_anal_sex,正常位肛交,10,both,性爱_插入
522,back_anal_sex,后背位肛交,10,both,性爱_插入
523,riding_anal_sex,对面骑乘位肛交,10,both,性爱_插入
524,face_seat_anal_sex,对面座位肛交,10,both,性爱_插入
525,back_seat_anal_sex,背面座位肛交,10,both,性爱_插入
526,face_stand_anal_sex,对面立位肛交,10,both,性爱_插入
527,back_stand_anal_sex,背面立位肛交,10,both,性爱_插入
528,back_riding_anal_sex,背面骑乘位肛交,10,both,性爱_插入
530,stimulate_sigmoid_colon,玩弄s状结肠,10,both,性爱_插入
531,stimulate_vagina,隔着刺激阴道,10,both,性爱_插入
541,urethral_finger_insertion,尿道指姦,10,both,性爱
542,urethral_sex,尿道姦,10,both,性爱_插入
551,face_hug_sex,对面抱位,10,both,性爱_插入
552,back_hug_sex,背面抱位,10,both,性爱_插入
553,face_lay_sex,对面卧位,10,both,性爱_插入
554,back_lay_sex,背面卧位,10,both,性爱_插入
561,face_hug_anal_sex,对面抱位肛交,10,both,性爱_插入
562,back_hug_anal_sex,背面抱位肛交,10,both,性爱_插入
563,face_lay_anal_sex,对面卧位肛交,10,both,性爱_插入
564,back_lay_anal_sex,背面卧位肛交,10,both,性爱_插入

601,milking_machine_on,装上搾乳机,3,both,性爱_道具
602,urine_collector_on,装上采尿器,3,both,性爱_道具
603,bind,捆绑,5,both,性爱_道具
604,patch_on,戴上眼罩,1,both,性爱_道具
605,whip,鞭子,10,both,性爱_道具
606,needle,针,10,both,性爱_道具
607,gag_on,戴上口球,1,both,性爱_道具
631,milking_machine_off,取下搾乳机,3,both,性爱_道具
632,urine_collector_off,取下采尿器,3,both,性爱_道具
633,unbind,解除捆绑,3,both,性爱_道具
634,patch_off,摘下眼罩,1,both,性爱_道具
635,gag_off,摘下口球,1,both,性爱_道具

681,exercise_sucking_and_swallowing,练习吮吸与吞咽力,30,npc,性爱_练习
682,exercise_armpit_flexibility,练习腋下夹持力,30,npc,性爱_练习
683,exercise_breast_clamping,练习胸部夹持力,30,npc,性爱_练习
684,exercise_hands_clamping,练习手部灵活度,30,npc,性爱_练习
685,exercise_foots_flexibility,练习足部灵活度,30,npc,性爱_练习
686,exercise_vagina_firmness,练习阴道紧致度,30,npc,性爱_练习
687,exercise_intestine_firmness,练习肠道紧致度,30,npc,性爱_练习
688,exercise_tail_flexibility,练习尾巴灵活度,30,npc,性爱_练习
689,exercise_tentacle_flexibility,练习触手灵活度,30,npc,性爱_练习

701,undress,脱衣服,5,pl,性爱_服装
702,undress_to_underwear,脱到只穿内衣(即只脱上下外衣),5,pl,性爱_服装
703,undress_to_socks_gloves,脱到只穿袜子手套等(即再脱掉内衣),5,pl,性爱_服装
704,undress_to_naked,脱到全裸(即身上没有任何衣物),5,pl,性爱_服装
705,remove_underwear,收起内裤,5,pl,性爱_服装
710,hat_job,帽子交,10,both,性爱_服装
711,glasses_job,眼镜交,10,both,性爱_服装
712,ear_ornament_job,耳饰交,10,both,性爱_服装
713,neck_ornament_job,脖饰交,10,both,性爱_服装
714,mouth_ornament_job,口罩交,10,both,性爱_服装
715,top_job,上衣交,10,both,性爱_服装
716,corset_job,胸衣交,10,both,性爱_服装
717,gloves_job,手套交,10,both,性爱_服装
718,skirt_job,裙子交,10,both,性爱_服装
719,underwear_job,内裤交,10,both,性爱_服装
720,socks_job,袜子交,10,both,性爱_服装
721,shoes_job,鞋子交,10,both,性爱_服装
722,weapons_job,武器交,10,both,性爱_服装
723,trousers_job,裤子交,10,both,性爱_服装

751,orgasm_edge_on,绝顶寸止,1,pl,性爱
752,orgasm_edge_off,绝顶解放,1,pl,性爱

771,spanking,打屁股,3,both,性爱

801,hold_child,抱小孩,30,both,工作
802,sing_children_song,哼唱儿歌,30,both,工作
803,nuirse_child,喂奶,30,both,工作
804,change_diapers,换尿布,30,both,工作
805,teach_talk,教说话,30,both,工作
806,give_toy,给玩具,30,both,工作

850,examine_hair,检查头发,1,pl,猥亵_检查
851,examine_hair_smoothness,测试头发柔顺度,3,pl,猥亵_检查
852,examine_oral,检查口腔内部,1,pl,猥亵_检查
853,examine_sucking_and_swallowing,测试口腔吮吸与吞咽力,3,pl,猥亵_检查
854,examine_armpit,检查腋下,1,pl,猥亵_检查
855,examine_armpit_clamping,测试腋下夹持力,3,pl,猥亵_检查
856,examine_breast,检查胸部,1,pl,猥亵_检查
857,examine_nipple_and_areola,检查乳头与乳晕,1,pl,猥亵_检查
858,examine_breast_clamping,测试胸部夹持力,3,pl,猥亵_检查
859,examine_cilitoris,检查阴蒂,1,pl,猥亵_检查
860,examine_hands,检查手部,1,pl,猥亵_检查
861,examine_hands_flexibility,测试手部灵活度,3,pl,猥亵_检查
862,examine_foot,检查足部,1,pl,猥亵_检查
863,examine_foots_flexibility,测试足部灵活度,3,pl,猥亵_检查
871,examine_vulva_and_shape,检查外阴形状,1,pl,猥亵_检查
872,examine_vagina_and_folds,检查内阴褶皱,1,pl,猥亵_检查
873,examine_hymen,检查处女膜,1,pl,猥亵_检查
874,examine_orifice,检查子宫口,1,pl,猥亵_检查
875,examine_vagina_firmness,测试阴道紧致度,3,pl,猥亵_检查
876,examine_anus,检查菊穴,1,pl,猥亵_检查
877,examine_intestine_firmness,测试肠道紧致度,3,pl,猥亵_检查
878,examine_urethra,检查尿道,1,pl,猥亵_检查
879,examine_urination_status,测试现场排尿,3,pl,猥亵_检查
881,examine_tail,检查尾巴,1,pl,猥亵_检查
882,examine_tail_flexibility,测试尾巴灵活度,3,pl,猥亵_检查
883,examine_horn,检查兽角,1,pl,猥亵_检查
884,examine_ears,检查兽耳,1,pl,猥亵_检查
885,examine_wing,检查翅膀,1,pl,猥亵_检查
886,examine_ring,检查光环,1,pl,猥亵_检查
887,examine_tentacle,检查触手,1,pl,猥亵_检查
888,examine_tentacle_flexibility,测试触手灵活度,3,pl,猥亵_检查

901,penetrating_vision_on,开启透视,1,pl,技艺
902,penetrating_vision_off,关闭透视,1,pl,技艺
903,hormone_on,开启信息素,1,pl,技艺
904,hormone_off,关闭信息素,1,pl,技艺
911,hypnosis_one,单人催眠,5,pl,技艺
912,hypnosis_all,集体催眠,5,pl,技艺
913,hypnosis_cancel,解除催眠,5,pl,技艺
921,hypnosis_increase_body_sensitivity,体控-敏感度提升,5,pl,技艺
922,hypnosis_force_climax,体控-强制高潮,5,pl,技艺
923,hypnosis_force_ovulation,体控-强制排卵,5,pl,技艺
924,hypnosis_blockhead,体控-木头人,5,pl,技艺
925,hypnosis_active_h,体控-逆推,5,pl,技艺
931,hypnosis_roleplay,心控-角色扮演,5,pl,技艺
932,hypnosis_pain_as_pleasure,心控-苦痛快感化,5,pl,技艺
941,time_stop_on,时间停止流动,1,pl,技艺
942,time_stop_off,时间重新流动,1,pl,技艺
943,carry_target,搬运对方,1,pl,技艺
944,stop_carry_target,停止搬运对方,1,pl,技艺
945,target_free_in_time_stop,对方在时停中获得自由,1,pl,技艺
946,target_stop_in_time_stop,对方在时停中再次停止,1,pl,技艺

1000,n_orgasm_small,结算N小绝顶,0,npc,二段结算_绝顶
1001,n_orgasm_normal,结算N普绝顶,0,npc,二段结算_绝顶
1002,n_orgasm_strong,结算N强绝顶,0,npc,二段结算_绝顶
1003,b_orgasm_small,结算B小绝顶,0,npc,二段结算_绝顶
1004,b_orgasm_normal,结算B普绝顶,0,npc,二段结算_绝顶
1005,b_orgasm_strong,结算B强绝顶,0,npc,二段结算_绝顶
1006,c_orgasm_small,结算C小绝顶,0,npc,二段结算_绝顶
1007,c_orgasm_normal,结算C普绝顶,0,npc,二段结算_绝顶
1008,c_orgasm_strong,结算C强绝顶,0,npc,二段结算_绝顶
1009,p_orgasm_small,结算射精,0,pl,二段结算_绝顶
1010,p_orgasm_normal,结算大量射精,0,pl,二段结算_绝顶
1011,p_orgasm_strong,结算超大量射精,0,pl,二段结算_绝顶
1012,v_orgasm_small,结算V小绝顶,0,npc,二段结算_绝顶
1013,v_orgasm_normal,结算V普绝顶,0,npc,二段结算_绝顶
1014,v_orgasm_strong,结算V强绝顶,0,npc,二段结算_绝顶
1015,a_orgasm_small,结算A小绝顶,0,npc,二段结算_绝顶
1016,a_orgasm_normal,结算A普绝顶,0,npc,二段结算_绝顶
1017,a_orgasm_strong,结算A强绝顶,0,npc,二段结算_绝顶
1018,u_orgasm_small,结算U小绝顶,0,npc,二段结算_绝顶
1019,u_orgasm_normal,结算U普绝顶,0,npc,二段结算_绝顶
1020,u_orgasm_strong,结算U强绝顶,0,npc,二段结算_绝顶
1021,w_orgasm_small,结算W小绝顶,0,npc,二段结算_绝顶
1022,w_orgasm_normal,结算W普绝顶,0,npc,二段结算_绝顶
1023,w_orgasm_strong,结算W强绝顶,0,npc,二段结算_绝顶
1026,extra_orgasm,结算额外绝顶,0,npc,二段结算_绝顶
1027,semen_drinking_climax,结算饮精绝顶,0,npc,二段结算_绝顶

1030,happy_mark_1,结算快乐刻印1,0,npc,二段结算_刻印
1031,happy_mark_2,结算快乐刻印2,0,npc,二段结算_刻印
1032,happy_mark_3,结算快乐刻印3,0,npc,二段结算_刻印
1033,yield_mark_1,结算屈服刻印1,0,npc,二段结算_刻印
1034,yield_mark_2,结算屈服刻印2,0,npc,二段结算_刻印
1035,yield_mark_3,结算屈服刻印3,0,npc,二段结算_刻印
1036,pain_mark_1,结算苦痛刻印1,0,npc,二段结算_刻印
1037,pain_mark_2,结算苦痛刻印2,0,npc,二段结算_刻印
1038,pain_mark_3,结算苦痛刻印3,0,npc,二段结算_刻印
1039,time_mark_1,结算时姦刻印1,0,npc,二段结算_刻印
1040,time_mark_2,结算时姦刻印2,0,npc,二段结算_刻印
1041,time_mark_3,结算时姦刻印3,0,npc,二段结算_刻印
1042,terror_mark_1,结算恐怖刻印1,0,npc,二段结算_刻印
1043,terror_mark_2,结算恐怖刻印2,0,npc,二段结算_刻印
1044,terror_mark_3,结算恐怖刻印3,0,npc,二段结算_刻印
1045,hate_mark_1,结算反发刻印1,0,npc,二段结算_刻印
1046,hate_mark_2,结算反发刻印2,0,npc,二段结算_刻印
1047,hate_mark_3,结算反发刻印3,0,npc,二段结算_刻印

1050,first_kiss,结算初吻,0,npc,二段结算
1051,first_sex,结算处女,0,npc,二段结算
1052,first_a_sex,结算A处女,0,npc,二段结算
1061,unconscious_mark_1,结算无觉刻印1,0,npc,二段结算_刻印
1062,unconscious_mark_2,结算无觉刻印2,0,npc,二段结算_刻印
1063,unconscious_mark_3,结算无觉刻印3,0,npc,二段结算_刻印
1064,unconscious_mark_4,结算无觉刻印4,0,npc,二段结算_刻印
1065,unconscious_mark_5,结算无觉刻印5,0,npc,二段结算_刻印
1066,unconscious_mark_6,结算无觉刻印6,0,npc,二段结算_刻印

1071,b_orgasm_to_milk,结算因B绝顶而被迫喷乳,0,npc,二段结算_绝顶
1072,u_orgasm_to_pee,结算因U绝顶而被迫漏尿,0,npc,二段结算_绝顶

1081,plural_orgasm_2,结算双重绝顶,0,npc,二段结算_绝顶
1082,plural_orgasm_3,结算三重绝顶,0,npc,二段结算_绝顶
1083,plural_orgasm_4,结算四重绝顶,0,npc,二段结算_绝顶
1084,plural_orgasm_5,结算五重绝顶,0,npc,二段结算_绝顶
1085,plural_orgasm_6,结算六重绝顶,0,npc,二段结算_绝顶
1086,plural_orgasm_7,结算七重绝顶,0,npc,二段结算_绝顶
1087,octuple_orgasm,结算八重绝顶,0,npc,二段结算_绝顶

1090,n_orgasm_super,结算N超强绝顶,0,npc,二段结算_绝顶
1091,b_orgasm_super,结算B超强绝顶,0,npc,二段结算_绝顶
1092,c_orgasm_super,结算C超强绝顶,0,npc,二段结算_绝顶
1094,v_orgasm_super,结算V超强绝顶,0,npc,二段结算_绝顶
1095,a_orgasm_super,结算A超强绝顶,0,npc,二段结算_绝顶
1096,u_orgasm_super,结算U超强绝顶,0,npc,二段结算_绝顶
1097,w_orgasm_super,结算W超强绝顶,0,npc,二段结算_绝顶

1100,nipple_clamp,结算乳头夹,0,npc,二段结算_道具
1101,clit_clamp,结算阴蒂夹,0,npc,二段结算_道具
1102,vibrator_insertion,结算震动棒,0,npc,二段结算_道具
1103,vibrator_insertion_anal,结算肛门振动棒,0,npc,二段结算_道具
1104,milking_machine,结算搾乳机,0,npc,二段结算_道具
1105,urine_collector,结算采尿器,0,npc,二段结算_道具
1106,patch,结算眼罩,0,npc,二段结算_道具
1107,anal_beads,结算肛门拉珠,0,npc,二段结算_道具
1108,diuretics,结算利尿剂,0,npc,二段结算_道具
1109,sleeping_pills,结算安眠药,0,npc,二段结算_道具
1110,ovulation_promotion_drugs,结算排卵促进药,0,npc,二段结算_道具
1111,birth_control_pills_before,结算事前避孕药,0,npc,二段结算_道具
1112,birth_control_pills_after,结算事后避孕药,0,npc,二段结算_道具
1114,gag,结算口球,0,npc,二段结算_道具

1161,condage,结算绳子捆绑,0,npc,二段结算_道具

1201,penis_in_body_0,结算发交中,0,npc,二段结算_阴茎
1202,penis_in_body_1,结算阴茎蹭脸中,0,npc,二段结算_阴茎
1203,penis_in_body_2,结算口交中,0,npc,二段结算_阴茎
1204,penis_in_body_3,结算乳交中,0,npc,二段结算_阴茎
1205,penis_in_body_4,结算腋交中,0,npc,二段结算_阴茎
1206,penis_in_body_5,结算手交中,0,npc,二段结算_阴茎
1207,penis_in_body_6,结算V插入中,0,npc,二段结算_阴茎
1208,penis_in_body_7,结算W插入中,0,npc,二段结算_阴茎
1209,penis_in_body_8,结算A插入中,0,npc,二段结算_阴茎
1210,penis_in_body_9,结算U插入中,0,npc,二段结算_阴茎
1211,penis_in_body_10,结算腿交中,0,npc,二段结算_阴茎
1212,penis_in_body_11,结算足交中,0,npc,二段结算_阴茎
1213,penis_in_body_12,结算尾交中,0,npc,二段结算_阴茎
1214,penis_in_body_13,结算阴茎蹭角中,0,npc,二段结算_阴茎
1215,penis_in_body_14,结算阴茎蹭耳朵中,0,npc,二段结算_阴茎
1216,penis_in_rub_buttock,结算素股中,0,npc,二段结算_阴茎

1221,penis_in_cloth_0,结算帽子交中,0,npc,二段结算_阴茎
1222,penis_in_cloth_1,结算眼镜交中,0,npc,二段结算_阴茎
1223,penis_in_cloth_2,结算耳饰交中,0,npc,二段结算_阴茎
1224,penis_in_cloth_3,结算脖饰交中,0,npc,二段结算_阴茎
1225,penis_in_cloth_4,结算口罩交中,0,npc,二段结算_阴茎
1226,penis_in_cloth_5,结算上衣交中,0,npc,二段结算_阴茎
1227,penis_in_cloth_6,结算胸衣交中,0,npc,二段结算_阴茎
1228,penis_in_cloth_7,结算手套交中,0,npc,二段结算_阴茎
1229,penis_in_cloth_8_skirt,结算裙子交中,0,npc,二段结算_阴茎
1230,penis_in_cloth_9,结算内裤交中,0,npc,二段结算_阴茎
1231,penis_in_cloth_10,结算袜子交中,0,npc,二段结算_阴茎
1232,penis_in_cloth_11,结算鞋子交中,0,npc,二段结算_阴茎
1233,penis_in_cloth_12,结算武器交中,0,npc,二段结算_阴茎
1234,penis_in_cloth_8_trousers,结算裤子交中,0,npc,二段结算_阴茎

1250,n_orgasm_edge,结算N绝顶被寸止,0,npc,二段结算_绝顶
1251,b_orgasm_edge,结算B绝顶被寸止,0,npc,二段结算_绝顶
1252,c_orgasm_edge,结算C绝顶被寸止,0,npc,二段结算_绝顶
1253,p_orgasm_edge,结算射精被寸止,0,npc,二段结算_绝顶
1254,v_orgasm_edge,结算V绝顶被寸止,0,npc,二段结算_绝顶
