cid,premise_name,premise_type,premise
last_cmd_makeing_out,LAST_CMD_MAKING_OUT,指令_前指令,前一指令为身体爱抚_口上触发用
last_cmd_kiss_h,LAST_CMD_KISS_H,指令_前指令,前一指令为接吻（H）_口上触发用
last_cmd_breast_caress,LAST_CMD_BREAST_CARESS,指令_前指令,前一指令为胸爱抚_口上触发用
last_cmd_twiddle_nipples,LAST_CMD_TWIDDLE_NIPPLES,指令_前指令,前一指令为玩弄乳头_口上触发用
last_cmd_breast_sucking,LAST_CMD_BREAST_SUCKING,指令_前指令,前一指令为舔吸乳头_口上触发用
last_cmd_clit_caress,LAST_CMD_CLIT_CARESS,指令_前指令,前一指令为阴蒂爱抚_口上触发用
last_cmd_open_labia,LAST_CMD_OPEN_LABIA,指令_前指令,前一指令为掰开阴唇观察_口上触发用
last_cmd_cunnilingus,LAST_CMD_CUNNILINGUS,指令_前指令,前一指令为舔阴_口上触发用
last_cmd_finger_insertion,LAST_CMD_FINGER_INSERTION,指令_前指令,前一指令为手指插入(V)_口上触发用
last_cmd_anal_caress,LAST_CMD_ANAL_CARESS,指令_前指令,前一指令为手指插入(A)_口上触发用
last_cmd_make_masturebate,LAST_CMD_MAKE_MASTUREBATE,指令_前指令,前一指令为让对方自慰（H）_口上触发用
last_cmd_handjob,LAST_CMD_HANDJOB,指令_前指令,前一指令为手交_口上触发用
last_cmd_blowjob,LAST_CMD_BLOWJOB,指令_前指令,前一指令为口交_口上触发用
last_cmd_paizuri,LAST_CMD_PAIZURI,指令_前指令,前一指令为乳交_口上触发用
last_cmd_footjob,LAST_CMD_FOOTJOB,指令_前指令,前一指令为足交_口上触发用
last_cmd_hairjob,LAST_CMD_HAIRJOB,指令_前指令,前一指令为发交_口上触发用
last_cmd_axillajob,LAST_CMD_AXILLAJOB,指令_前指令,前一指令为腋交_口上触发用
last_cmd_rub_buttock,LAST_CMD_RUB_BUTTOCK,指令_前指令,前一指令为素股_口上触发用
last_cmd_legjob,LAST_CMD_LEGJOB,指令_前指令,前一指令为腿交_口上触发用
last_cmd_tailjob,LAST_CMD_TAILJOB,指令_前指令,前一指令为尾交_口上触发用
last_cmd_face_rub,LAST_CMD_FACE_RUB,指令_前指令,前一指令为阴茎蹭脸_口上触发用
last_cmd_horn_rub,LAST_CMD_HORN_RUB,指令_前指令,前一指令为阴茎蹭角_口上触发用
last_cmd_ears_rub,LAST_CMD_EARS_RUB,指令_前指令,前一指令为阴茎蹭耳朵_口上触发用
last_cmd_hand_blowjob,LAST_CMD_HAND_BLOWJOB,指令_前指令,前一指令为手交口交_口上触发用
last_cmd_tits_blowjob,LAST_CMD_TITS_BLOWJOB,指令_前指令,前一指令为乳交口交_口上触发用
last_cmd_deep_throat,LAST_CMD_DEEP_THROAT,指令_前指令,前一指令为深喉插入_口上触发用
last_cmd_focus_blowjob,LAST_CMD_FOCUS_BLOWJOB,指令_前指令,前一指令为真空口交_口上触发用
last_cmd_normal_sex,LAST_CMD_NORMAL_SEX,指令_前指令,前一指令为正常位_口上触发用
last_cmd_back_sex,LAST_CMD_BACK_SEX,指令_前指令,前一指令为背后位_口上触发用
last_cmd_riding_sex,LAST_CMD_RIDING_SEX,指令_前指令,前一指令为骑乘位_口上触发用
last_cmd_face_seat_sex,LAST_CMD_FACE_SEAT_SEX,指令_前指令,前一指令为对面座位_口上触发用
last_cmd_back_seat_sex,LAST_CMD_BACK_SEAT_SEX,指令_前指令,前一指令为背面座位_口上触发用
last_cmd_face_stand_sex,LAST_CMD_FACE_STAND_SEX,指令_前指令,前一指令为对面立位_口上触发用
last_cmd_back_stand_sex,LAST_CMD_BACK_STAND_SEX,指令_前指令,前一指令为背面立位_口上触发用
last_cmd_stimulate_g_point,LAST_CMD_STIMULATE_G_POINT,指令_前指令,前一指令为刺激G点_口上触发用
last_cmd_womb_os_caress,LAST_CMD_WOMB_OS_CARESS,指令_前指令,前一指令为玩弄子宫口_口上触发用

last_cmd_penis_position,LAST_CMD_PENIS_POSITION,指令_前指令,前一指令为阴茎位置相关指令_指令触发用
last_cmd_blowjob_or_handjob,LAST_CMD_BLOWJOB_OR_HANDJOB,指令_前指令,前一指令为口交或手交_指令触发用
last_cmd_blowjob_or_paizuri,LAST_CMD_BLOWJOB_OR_PAIZURI,指令_前指令,前一指令为口交或乳交_指令触发用
last_cmd_blowjob_or_cunnilingus,LAST_CMD_BLOWJOB_OR_CUNNILINGUS,指令_前指令,前一指令为口交或舔阴_指令触发用
last_cmd_sex,LAST_CMD_SEX,指令_前指令,前一指令为V性交_指令触发用
last_cmd_w_sex,LAST_CMD_W_SEX,指令_前指令,前一指令为W性交_指令触发用
last_cmd_sex_or_w_sex,LAST_CMD_SEX_OR_W_SEX,指令_前指令,前一指令为V性交或W性交_指令触发用
last_cmd_a_sex,LAST_CMD_A_SEX,指令_前指令,前一指令为A性交_指令触发用
last_cmd_u_sex,LAST_CMD_U_SEX,指令_前指令,前一指令为U性交_指令触发用
last_cmd_breast_caress_type,LAST_CMD_BREAST_CARESS_TYPE,指令_前指令,前一指令为胸部爱抚类(403，404，405)
last_cmd_handjob_type,LAST_CMD_HANDJOB_TYPE,指令_前指令,前一指令为手交类(420，427)
last_cmd_blowjob_type,LAST_CMD_BLOWJOB_TYPE,指令_前指令,前一指令为口交类(421，427，428，429，430，431，437)
last_cmd_paizuri_type,LAST_CMD_PAIZURI_TYPE,指令_前指令,前一指令为乳交类(422，428)

place_0,IN_PLAYER_SCENE,地点_角色,与玩家处于相同地点
place_1,NOT_IN_PLAYER_SCENE,地点_角色,与玩家不处于相同地点
place_2,PLAYER_COME_SCENE,地点_角色,玩家来到该角色所在的地点
place_4,PLAYER_LEAVE_SCENE,地点_角色,玩家离开该角色所在的地点
place_6,TATGET_COME_SCENE,地点_角色,该角色来到玩家所在的地点
place_8,TATGET_LEAVE_SCENE,地点_角色,该角色离开玩家所在的地点
place_10,SCENE_ONLY_TWO,地点_角色,该地点仅有玩家和该角色
place_11,SCENE_OVER_TWO,地点_角色,该地点里有除了玩家和该角色之外的人
place_12,SCENE_ONLY_ONE,地点_角色,该地点里没有自己外的其他角色
place_is_h,SCENE_SOMEONE_IS_H,地点_角色,该地点有其他角色在和玩家H
place_someone_no_fall,SCENE_SOMEONE_NO_FALL,地点_角色,该地点有未拥有陷落素质的角色
place_someone_hp_1,SCENE_SOMEONE_HP_1,地点_角色,该地点有HP1或太疲劳的角色
place_someone_unconscious,SCENE_SOMEONE_UNCONSCIOUS,地点_角色,该地点有无意识状态的角色
place_someone_not_unconscious,SCENE_SOMEONE_NOT_UNCONSCIOUS,地点_角色,该地点有非无意识状态的角色
place_all_unconscious,SCENE_ALL_UNCONSCIOUS,地点_角色,该地点有玩家以外的角色，且所有角色都处于无意识状态
place_is_masturebate,SCENE_SOMEONE_IS_MASTUREBATE,地点_角色,该地点有角色在自慰
place_over_one,SCENE_OVER_ONE,地点_角色,该地点里有除了自己之外的人
place_have_assistant,SCENE_HAVE_ASSISTANT,地点_角色,该地点有助理
place_someone_fall_le_1,SCENE_SOMEONE_FALL_LE_1,地点_角色,该地点有玩家以外的角色，且有角色的陷落等级小于等于1
place_all_fall_ge_2,SCENE_ALL_FALL_GE_2,地点_角色,该地点有玩家以外的角色，且所有角色都至少有2级陷落素质

teacher_teaching_in_classroom,TEACHER_TEACHING_IN_CLASSROOM,地点_工作,当前有教师在教室里讲课
student_not_study_in_classroom,STUDENT_NOT_STUDY_IN_CLASSROOM,地点_工作,教室里有没在上课的学生
place_someone_not_massage_therapist,SCENE_SOMEONE_NOT_MASSAGE_THERAPIST,地点_工作,该地点有非按摩师的其他角色

place_exposed,PLACE_EXPOSED,地点_属性,当前地点暴露
place_covert,PLACE_COVERT,地点_属性,当前地点隐蔽
place_furniture_ge_1,PLACE_FURNITURE_GE_1,地点_属性,当前地点有家具
place_furniture_ge_2,PLACE_FURNITURE_GE_2,地点_属性,当前地点至少有办公级家具
place_furniture_1,PLACE_FURNITURE_1,地点_属性,当前地点仅有基础家具
place_furniture_2,PLACE_FURNITURE_2,地点_属性,当前地点有办公级家具
place_furniture_3,PLACE_FURNITURE_3,地点_属性,当前地点有卧室级家具（即含床）
place_furniture_0,PLACE_FURNITURE_0,地点_属性,当前地点没家具
in_functional_room,IN_FUNCTIONAL_ROOM,地点_属性,在功能性地点中（本前提已弃用）
place_door_open,PLACE_DOOR_OPEN,地点_属性,地点的门是开着的（不含内隔间关门）
place_ladies_only,PLACE_LADIES_ONLY,地点_属性,该地点男士止步（女洗手间/更衣室/浴室等）
place_in_collection_list,PALCE_IN_COLLECTION_LIST,地点_属性,当前地点在收藏列表中
place_not_in_collection_list,PLACE_NOT_IN_COLLECTION_LIST,地点_属性,当前地点不在收藏列表中

in_kitchen,IN_KITCHEN,地点_定位,在厨房
not_in_kitchen,NOT_IN_KITCHEN,地点_定位,不在厨房
in_din,IN_DINING_HALL,地点_定位,在食堂
not_in_din,NOT_IN_DINING_HALL,地点_定位,不在食堂
in_take_food,IN_TAKE_FOOD,地点_定位,在取餐区
not_in_take_food,NOT_IN_TAKE_FOOD,地点_定位,不在取餐区
in_food_shop,IN_FOOD_SHOP,地点_定位,在食物商店
not_in_food_shop,NOT_IN_FOOD_SHOP,地点_定位,不在食物商店
in_ai_food_shop,IN_AI_FOOD_SHOP,地点_定位,在AI要去吃饭的食物商店
not_in_ai_food_shop,NOT_IN_AI_FOOD_SHOP,地点_定位,不在AI要去吃饭的食物商店
in_office,IN_OFFICE,地点_定位,在办公室（含全部办公室）
in_dr_off,IN_DR_OFFICE,地点_定位,在博士办公室
not_in_dr_off,NOT_IN_DR_OFFICE,地点_定位,不在博士办公室
in_dr_off_or_debug,IN_DR_OFFICE_OR_DEBUG,地点_定位,在博士办公室或处于debug模式
in_command_room,IN_COMMAND_ROOM,地点_定位,在指挥室
in_out_exit,IN_OUT_EXIT,地点_定位,在罗德岛出口
in_command_room_or_out_exit,IN_COMMAND_ROOM_OR_OUT_EXIT,地点_定位,在指挥室或罗德岛出口
in_dor,IN_DORMITORY,地点_定位,在自己宿舍中
not_in_dor,NOT_IN_DORMITORY,地点_定位,不在自己宿舍中
in_dor_or_hotel,IN_DORMITORY_OR_HOTEL,地点_定位,在自己宿舍中或在已经入住的旅馆中
in_toilet_man,IN_TOILET_MAN,地点_定位,在男士洗手间
in_toilet_female,IN_TOILET_FEMALE,地点_定位,在女士洗手间
not_in_toilet_female,NOT_IN_TOILET_FEMALE,地点_定位,不在女士洗手间
not_in_toilet,NOT_IN_TOILET,地点_定位,不在洗手间
in_restroom,IN_REST_ROOM,地点_定位,在休息室中
not_in_restroom,NOT_IN_REST_ROOM,地点_定位,不在休息室中
in_restroom_or_dormitory,IN_REST_ROOM_OR_DORMITORY,地点_定位,在休息室或自己宿舍中
in_music_room,IN_MUSIC_ROOM,地点_定位,在音乐室中
in_classic_music_room,IN_CLASSIC_MUSIC_ROOM,地点_定位,在夕照区音乐室中
not_in_classic_music_room,NOT_IN_CLASSIC_MUSIC_ROOM,地点_定位,不在夕照区音乐室中
in_moden_music_room,IN_MODEN_MUSIC_ROOM,地点_定位,在现代音乐排练室中
not_in_moden_music_room,NOT_IN_MODEN_MUSIC_ROOM,地点_定位,不在现代音乐排练室中
in_multimedia_room,IN_MULTIMEDIA_ROOM,地点_定位,在多媒体室中
not_in_multimedia_room,NOT_IN_MULTIMEDIA_ROOM,地点_定位,不在多媒体室中
in_photography_studio,IN_PHOTOGRAPHY_STUDIO,地点_定位,在摄影爱好者影棚中
not_in_photography_studio,NOT_IN_PHOTOGRAPHY_STUDIO,地点_定位,不在摄影爱好者影棚中
in_aquapit_experientorium,IN_AQUAPIT_EXPERIENTORIUM,地点_定位,在大水坑快活体验屋中
not_in_aquapit_experientorium,NOT_IN_AQUAPIT_EXPERIENTORIUM,地点_定位,不在大水坑快活体验屋中
in_board_games_room,IN_BOARD_GAMES_ROOM,地点_定位,在棋牌室中
not_in_board_games_room,NOT_IN_BOARD_GAMES_ROOM,地点_定位,不在棋牌室中
in_fairy_banquet,IN_FAIRY_BANQUET,地点_定位,在糖果仙子宴会厅中
not_in_fairy_banquet,NOT_IN_FAIRY_BANQUET,地点_定位,不在糖果仙子宴会厅中
in_broadcast_center,IN_BROADCAST_CENTER,地点_定位,在直播间中
not_in_broadcast_center,NOT_IN_BROADCAST_CENTER,地点_定位,不在直播间中
in_library_zone,IN_LIBRARY_ZONE,地点_定位,在图书馆区中
in_library,IN_LIBRARY,地点_定位,在图书馆中
not_in_library,NOT_IN_LIBRARY,地点_定位,不在图书馆中
in_library_office,IN_LIBRARY_OFFICE,地点_定位,在图书馆办公室中
not_in_library_office,NOT_IN_LIBRARY_OFFICE,地点_定位,不在图书馆办公室中
in_library_or_library_office,IN_LIBRARY_OR_LIBRARY_OFFICE,地点_定位,在图书馆或图书馆办公室中
not_in_library_or_library_office,NOT_IN_LIBRARY_OR_LIBRARY_OFFICE,地点_定位,不在图书馆或图书馆办公室中
in_collection_room,IN_COLLECTION_ROOM,地点_定位,在藏品馆中
in_gym_room,IN_GYM_ROOM,地点_定位,在健身区中
not_in_gym_room,NOT_IN_GYM_ROOM,地点_定位,不在健身区中
in_training_room,IN_TRAINING_ROOM,地点_定位,在训练室中（包括木桩房和射击房）
not_in_training_room,NOT_IN_TRAINING_ROOM,地点_定位,不在训练室中（包括木桩房和射击房）
in_fight_room,IN_FIGHT_ROOM,地点_定位,在木桩房中
in_shoot_room,IN_SHOOT_ROOM,地点_定位,在射击房中
in_building_room,IN_BUILDING_ROOM,地点_定位,在基建部中
in_server_room,IN_SERVER_ROOM,地点_定位,在机房中
in_blacksmith_shop,IN_BLACKSMITH_SHOP,地点_定位,在铁匠铺中
not_in_blacksmith_shop,NOT_IN_BLACKSMITH_SHOP,地点_定位,不在铁匠铺中
in_maintenance_department,IN_MAINTENANCE_DEPARTMENT,地点_定位,运维部中
not_in_maintenance_department,NOT_IN_MAINTENANCE_DEPARTMENT,地点_定位,不在运维部中
in_maintenance_place,IN_MAINTENANCE_PLACE,地点_定位,在自己对应的检修地点中
not_in_maintenance_place,NOT_IN_MAINTENANCE_PLACE,地点_定位,不在自己对应的检修地点中
in_any_maintenance_place,IN_ANY_MAINTENANCE_PLACE,地点_定位,在任意检修地点中
in_dr_off_or_server_room_or_debug,IN_DR_OFF_OR_SERVER_ROOM_OR_DEBUG,地点_定位,在博士办公室/机房/debug模式中
in_medical_zone,IN_MEDICAL_ZONE,地点_定位,在医疗部中
in_clinic,IN_CLINIC,地点_定位,在门诊室中（含急诊室）
not_in_clinic,NOT_IN_CLINIC,地点_定位,不在门诊室中（含急诊室）
in_physical_examination,IN_PHYSICAL_EXAMINATION,地点_定位,在体检科中
not_in_physical_examination,NOT_IN_PHYSICAL_EXAMINATION,地点_定位,不在体检科中
in_hr_office,IN_HR_OFFICE,地点_定位,在人事部办公室中
not_in_hr_office,NOT_IN_HR_OFFICE,地点_定位,不在人事部办公室中
in_hr_meeting_room,IN_HR_MEETING_ROOM,地点_定位,在人事部会议室中
in_bathroom,IN_BATHROOM,地点_定位,在淋浴区
not_in_bathroom,NOT_IN_BATHROOM,地点_定位,不在淋浴区
in_foot_bath,IN_FOOT_BATH,地点_定位,在足浴区
not_in_foot_bath,NOT_IN_FOOT_BATH,地点_定位,不在足浴区
in_sauna,IN_SAUNA,地点_定位,在桑拿房
not_in_sauna,NOT_IN_SAUNA,地点_定位,不在桑拿房
in_spa_room,IN_SPA_ROOM,地点_定位,在水疗房中
not_in_spa_room,NOT_IN_SPA_ROOM,地点_定位,不在水疗房中
in_onsen,IN_ONSEN,地点_定位,在温泉中
not_in_onsen,NOT_IN_ONSEN,地点_定位,不在温泉中
in_bathzone_locker_room,IN_BATHZONE_LOCKER_ROOM,地点_定位,在大浴场的更衣室
not_in_bathzone_locker_room,NOT_IN_BATHZONE_LOCKER_ROOM,地点_定位,不在大浴场的更衣室
in_bathzone_rest_room,IN_BATHZONE_REST_ROOM,地点_定位,在大浴场的休息室
not_in_bathzone_rest_room,NOT_IN_BATHZONE_REST_ROOM,地点_定位,不在大浴场的休息室
in_training_locker_room,IN_TRAINING_LOCKER_ROOM,地点_定位,在训练场的更衣室
not_in_training_locker_room,NOT_IN_TRAINING_LOCKER_ROOM,地点_定位,不在训练场的更衣室
in_locker_room_or_dormitory,IN_LOCKER_ROOM_OR_DORMITORY,地点_定位,在更衣室或宿舍
in_nursery,IN_NURSERY,地点_定位,在育儿室
in_avant_garde_arcade,IN_AVANT_GARDE_ARCADE,地点_定位,在前卫街机厅中
not_in_avant_garde_arcade,NOT_IN_AVANT_GARDE_ARCADE,地点_定位,不在前卫街机厅中
in_swimming_pool,IN_SWIMMING_POOL,地点_定位,在游泳池
not_in_swimming_pool,NOT_IN_SWIMMING_POOL,地点_定位,不在游泳池
in_bar,IN_BAR,地点_定位,在酒吧
not_in_bar,NOT_IN_BAR,地点_定位,不在酒吧
in_hair_salon,IN_HAIR_SALON,地点_定位,在理发店
not_in_hair_salon,NOT_IN_HAIR_SALON,地点_定位,不在理发店
in_styling_studio,IN_STYLING_STUDIO,地点_定位,在造型工作室
not_in_styling_studio,NOT_IN_STYLING_STUDIO,地点_定位,不在造型工作室
in_walyria_cake_shop,IN_WALYRIA_CAKE_SHOP,地点_定位,在瓦莱丽蛋糕店
not_in_walyria_cake_shop,NOT_IN_WALYRIA_CAKE_SHOP,地点_定位,不在瓦莱丽蛋糕店
in_golden_game_room,IN_GOLDEN_GAME_ROOM,地点_定位,在黄澄澄游戏室
not_in_golden_game_room,NOT_IN_GOLDEN_GAME_ROOM,地点_定位,不在黄澄澄游戏室
in_teahouse,IN_TEAHOUSE,地点_定位,在山城茶馆
not_in_teahouse,NOT_IN_TEAHOUSE,地点_定位,不在山城茶馆
in_café,IN_CAFÉ,地点_定位,在哥伦比亚咖啡馆
not_in_café,NOT_IN_CAFÉ,地点_定位,不在哥伦比亚咖啡馆
in_light_store,IN_LIGHT_STORE,地点_定位,在花草灯艺屋
not_in_light_store,NOT_IN_LIGHT_STORE,地点_定位,不在花草灯艺屋
in_restaurant,IN_RESTAURANT,地点_定位,在餐馆（含所有正餐餐馆）
not_in_restaurant,NOT_IN_RESTAURANT,地点_定位,不在餐馆（含所有正餐餐馆）
in_seven_cities_restaurant,IN_SEVEN_CITIES_RESTAURANT,地点_定位,在七城风情餐厅
not_in_seven_cities_restaurant,NOT_IN_SEVEN_CITIES_RESTAURANT,地点_定位,不在七城风情餐厅
in_burger_joint,IN_BURGER,地点_定位,在约翰老妈汉堡店
not_in_burger_joint,NOT_IN_BURGER,地点_定位,不在约翰老妈汉堡店
in_healthy_diner,IN_HEALTHY_DINER,地点_定位,在健康快餐店
not_in_healthy_diner,NOT_IN_HEALTHY_DINER,地点_定位,不在健康快餐店
in_lungmen_eatery,IN_LUNGMEN_EATERY,地点_定位,在龙门食坊
not_in_lungmen_eatery,NOT_IN_LUNGMEN_EATERY,地点_定位,不在龙门食坊
in_pizzeria,IN_PIZZERIA,地点_定位,在快捷连锁披萨店
not_in_pizzeria,NOT_IN_PIZZERIA,地点_定位,不在快捷连锁披萨店
in_h_shop,IN_H_SHOP,地点_定位,在成人用品商店
not_in_h_shop,NOT_IN_H_SHOP,地点_定位,不在成人用品商店
in_resource_exchange,IN_RESOURCE_EXCHANGE,地点_定位,在资源交易所
not_in_resource_exchange,NOT_IN_RESOURCE_EXCHANGE,地点_定位,不在资源交易所
in_love_hotel,IN_LOVE_HOTEL,地点_定位,在爱情旅馆
not_in_love_hotel,NOT_IN_LOVE_HOTEL,地点_定位,不在爱情旅馆
in_production_workshop,IN_PRODUCTION_WORKSHOP,地点_定位,在生产车间
not_in_production_workshop,NOT_IN_PRODUCTION_WORKSHOP,地点_定位,不在生产车间
in_diplomatic_office,IN_DIPLOMATIC_OFFICE,地点_定位,在外交办公室
not_in_diplomatic_office,NOT_IN_DIPLOMATIC_OFFICE,地点_定位,不在外交办公室
in_field_assembly_point,IN_FIELD_ASSEMBLY_POINT,地点_定位,在外勤集合点
not_in_field_assembly_point,NOT_IN_FIELD_ASSEMBLY_POINT,地点_定位,不在外勤集合点
in_garage,IN_GARAGE,地点_定位,在格纳库
not_in_garage,NOT_IN_GARAGE,地点_定位,不在格纳库
in_class_room,IN_CLASS_ROOM,地点_定位,在教室
not_in_class_room,NOT_IN_CLASS_ROOM,地点_定位,不在教室
in_teacher_office,IN_TEACHER_OFFICE,地点_定位,在教师办公室
not_in_teacher_office,NOT_IN_TEACHER_OFFICE,地点_定位,不在教师办公室
in_herb_garden,IN_HERB_GARDEN,地点_定位,在药田
not_in_herb_garden,NOT_IN_HERB_GARDEN,地点_定位,不在药田
in_greenhouse,IN_GREENHOUSE,地点_定位,在温室
not_in_greenhouse,NOT_IN_GREENHOUSE,地点_定位,不在温室
in_Aromatherapy_room,IN_AROMATHERAPY_ROOM,地点_定位,在香薰治疗室
not_in_aromatherapy_room,NOT_IN_AROMATHERAPY_ROOM,地点_定位,不在香薰治疗室
in_breeding_farm,IN_BREEDING_FARM,地点_定位,在磐蟹养殖场
not_in_breeding_farm,NOT_IN_BREEDING_FARM,地点_定位,不在磐蟹养殖场
in_prison,IN_PRISON,地点_定位,在监牢
not_in_prison,NOT_IN_PRISON,地点_定位,不在监牢
in_humiliation_room,IN_HUMILIATION_ROOM,地点_定位,在调教室
not_in_humiliation_room,NOT_IN_HUMILIATION_ROOM,地点_定位,不在调教室
in_deck,IN_DECK,地点_定位,在甲板
not_in_deck,NOT_IN_DECK,地点_定位,不在甲板

in_aegir,IN_AEGIR,地点_罗德岛,在阿戈尔
in_bolivar,IN_BOLIVAR,地点_罗德岛,在玻利瓦尔
in_higashi,IN_HIGASHI,地点_罗德岛,在东
in_columbia,IN_COLUMBIA,地点_罗德岛,在哥伦比亚
in_kazimierz,IN_KAZIMIERZ,地点_罗德岛,在卡西米尔
in_kazdel,IN_KAZDEL,地点_罗德岛,在卡兹戴尔
in_laterano,IN_LATERANO,地点_罗德岛,在拉特兰
in_leithanien,IN_LEITHANIEN,地点_罗德岛,在莱塔尼亚
in_rim_billiton,IN_RIM_BILLITON,地点_罗德岛,在雷姆必拓
in_minos,IN_MINOS,地点_罗德岛,在米诺斯
in_sargon,IN_SARGON,地点_罗德岛,在萨尔贡
in_sami,IN_SAMI,地点_罗德岛,在萨米
in_victoria,IN_VICTORIA,地点_罗德岛,在维多利亚
in_ursus,IN_URSUS,地点_罗德岛,在乌萨斯
in_kjerag,IN_KJERAG,地点_罗德岛,在谢拉格
in_siracusa,IN_SIRACUSA,地点_罗德岛,在叙拉古
in_yan,IN_YAN,地点_罗德岛,在炎
in_iberia,IN_IBERIA,地点_罗德岛,在伊比利亚
in_durin,IN_DURIN,地点_罗德岛,在杜林
in_siesta,IN_SIESTA,地点_罗德岛,在汐斯塔
in_northern,IN_NORTHERN,地点_罗德岛,在北地
in_foehn_hotlands,IN_FOEHN_HOTLANDS,地点_罗德岛,在焚风热土
in_karlan,IN_KARLAN,地点_罗德岛,在喀兰
in_dan,IN_DAN,地点_罗德岛,在檀
in_vouivre,IN_VOUVIRE,地点_罗德岛,在瓦伊凡
in_infy_icefield,IN_INFY_ICEFIELD,地点_罗德岛,在无尽冰原

move_to_toilet_female,MOVE_TO_TOILET_FEMALE,地点_移动,角色抵达女士洗手间
move_to_locker_room,MOVE_TO_LOCKER_ROOM,地点_移动,角色抵达更衣室
move_to_dormitory,MOVE_TO_DORMITORY,地点_移动,角色抵达宿舍
move_from_dormitory,MOVE_FROM_DORMITORY,地点_移动,角色离开宿舍
move_to_ladies_only,MOVE_TO_LADIES_ONLY,地点_移动,角色抵达男士止步的地点
move_to_someone_masturebate,MOVE_TO_SOMEONE_MASTUREBATE,地点_移动,角色抵达有人自慰的地点
not_move_to_someone_masturebate,NOT_MOVE_TO_SOMEONE_MASTUREBATE,地点_移动,角色抵达的地点没有人自慰
move_not_finish,MOVE_NOT_FINISH,地点_移动,角色移动未完成(权重为10)

visitor_zone_ge_2,VISITOR_ZONE_GE_2,设施,访客区等级大于等于2级
visitor_zone_have_target,VISITOR_ZONE_HAVE_TARGET,设施,访客区当前有已选择好的邀请目标

ai_moved,HAVE_MOVED,时间_角色,NPC距离上次移动已经至少经过了1小时
ai_wait,AI_WAIT,时间_角色,NPC需要进行一次5分钟的等待（wait_flag=1）
ai_trained,HAVE_TRAINED,时间_角色,NPC距离上次战斗训练已经超过两天了
ai_not_shower,NOT_SHOWER,时间_角色,NPC今天还没有洗澡
ai_have_showered,HAVE_SHOWERED,时间_角色,NPC今天已经洗过澡了
ai_have_not_wake_up,HAVE_NOT_WAKE_UP,时间_角色,NPC今天还没有起床

first_kiss_in_today,FIRST_KISS_IN_TODAY,时间_初次,自己今天失去了初吻
first_sex_in_today,FIRST_SEX_IN_TODAY,时间_初次,自己今天失去了V处女
