cid,status,duration,trigger,type
501,正常位,10,both,性爱_插入
502,背后位,10,both,性爱_插入
503,骑乘位,10,both,性爱_插入
504,对面座位,10,both,性爱_插入
505,背面座位,10,both,性爱_插入
506,对面立位,10,both,性爱_插入
507,背面立位,10,both,性爱_插入
511,刺激G点,10,both,性爱_插入
512,玩弄子宫口,10,both,性爱_插入
513,插入子宫口,10,both,性爱_插入
514,子宫姦,10,both,性爱_插入
515,体外子宫按摩,5,both,性爱
521,正常位肛交,10,both,性爱_插入
522,后背位肛交,10,both,性爱_插入
523,骑乘位肛交,10,both,性爱_插入
524,对面座位肛交,10,both,性爱_插入
525,背面座位肛交,10,both,性爱_插入
526,对面立位肛交,10,both,性爱_插入
527,背面立位肛交,10,both,性爱_插入
530,玩弄s状结肠,10,both,性爱_插入
531,隔着刺激阴道,10,both,性爱_插入
541,尿道指姦,10,both,性爱
542,尿道姦,10,both,性爱_插入

601,装上搾乳机,10,both,性爱_道具
602,装上采尿器,10,both,性爱_道具
603,绳子,10,both,性爱_道具
604,眼罩,10,both,性爱_道具
605,鞭子,10,both,性爱_道具
606,针,10,both,性爱_道具
631,取下搾乳机,10,both,性爱_道具
632,取下采尿器,10,both,性爱_道具

681,练习吮吸与吞咽力,30,npc,性爱_练习
682,练习腋下夹持力,30,npc,性爱_练习
683,练习胸部夹持力,30,npc,性爱_练习
684,练习手部灵活度,30,npc,性爱_练习
685,练习足部灵活度,30,npc,性爱_练习
686,练习阴道紧致度,30,npc,性爱_练习
687,练习肠道紧致度,30,npc,性爱_练习
688,练习尾巴灵活度,30,npc,性爱_练习
689,练习触手灵活度,30,npc,性爱_练习

701,脱衣服,5,pl,性爱_服装
702,脱到只穿内衣(即只脱上下外衣),5,pl,性爱_服装
703,脱到只穿袜子手套等(即再脱掉内衣),5,pl,性爱_服装
704,脱到全裸(即身上没有任何衣物),5,pl,性爱_服装
705,收起内裤,5,pl,性爱_服装

710,帽子交,10,both,性爱_服装
711,眼镜交,10,both,性爱_服装
712,耳饰交,10,both,性爱_服装
713,脖饰交,10,both,性爱_服装
714,口罩交,10,both,性爱_服装
715,上衣交,10,both,性爱_服装
716,胸衣交,10,both,性爱_服装
717,手套交,10,both,性爱_服装
718,裙子交,10,both,性爱_服装
719,内裤交,10,both,性爱_服装
720,袜子交,10,both,性爱_服装
721,鞋子交,10,both,性爱_服装
722,武器交,10,both,性爱_服装
723,裤子交,10,both,性爱_服装

751,绝顶寸止,1,pl,性爱
752,绝顶解放,1,pl,性爱

801,抱小孩,30,both,工作
802,哼唱儿歌,30,both,工作
803,喂奶,30,both,工作
804,换尿布,30,both,工作
805,教说话,30,both,工作
806,给玩具,30,both,工作

850,检查头发,1,pl,猥亵_检查
851,测试头发柔顺度,3,pl,猥亵_检查
852,检查口腔内部,1,pl,猥亵_检查
853,测试口腔吮吸与吞咽力,3,pl,猥亵_检查
854,检查腋下,1,pl,猥亵_检查
855,测试腋下夹持力,3,pl,猥亵_检查
856,检查胸部,1,pl,猥亵_检查
857,检查乳头与乳晕,1,pl,猥亵_检查
858,测试胸部夹持力,3,pl,猥亵_检查
859,检查阴蒂,1,pl,猥亵_检查
860,检查手部,1,pl,猥亵_检查
861,测试手部灵活度,3,pl,猥亵_检查
862,检查足部,1,pl,猥亵_检查
863,测试足部灵活度,3,pl,猥亵_检查
871,检查外阴形状,1,pl,猥亵_检查
872,检查内阴褶皱,1,pl,猥亵_检查
873,检查处女膜,1,pl,猥亵_检查
874,检查子宫口,1,pl,猥亵_检查
875,测试阴道紧致度,3,pl,猥亵_检查
876,检查菊穴,1,pl,猥亵_检查
877,测试肠道紧致度,3,pl,猥亵_检查
878,检查尿道,1,pl,猥亵_检查
879,测试现场排尿,3,pl,猥亵_检查
881,检查尾巴,1,pl,猥亵_检查
882,测试尾巴灵活度,3,pl,猥亵_检查
883,检查兽角,1,pl,猥亵_检查
884,检查兽耳,1,pl,猥亵_检查
885,检查翅膀,1,pl,猥亵_检查
886,检查光环,1,pl,猥亵_检查
887,检查触手,1,pl,猥亵_检查
888,测试触手灵活度,3,pl,猥亵_检查

901,开启透视,5,pl,技艺
902,关闭透视,5,pl,技艺
903,开启信息素,5,pl,技艺
904,关闭信息素,5,pl,技艺
911,单人催眠,5,pl,技艺
912,集体催眠,5,pl,技艺
913,解除催眠,5,pl,技艺
921,体控-敏感度提升,5,pl,技艺
922,体控-强制高潮,5,pl,技艺
923,体控-强制排卵,5,pl,技艺
924,体控-木头人,5,pl,技艺
925,体控-逆推,5,pl,技艺
931,心控-角色扮演,5,pl,技艺
932,心控-苦痛快感化,5,pl,技艺
941,时间停止流动,1,pl,技艺
942,时间重新流动,1,pl,技艺
943,搬运对方,1,pl,技艺
944,停止搬运对方,1,pl,技艺
945,对方在时停中获得自由,1,pl,技艺
946,对方在时停中再次停止,1,pl,技艺

1000,结算N小绝顶,0,npc,二段结算_绝顶
1001,结算N普绝顶,0,npc,二段结算_绝顶
1002,结算N强绝顶,0,npc,二段结算_绝顶
1003,结算B小绝顶,0,npc,二段结算_绝顶
1004,结算B普绝顶,0,npc,二段结算_绝顶
1005,结算B强绝顶,0,npc,二段结算_绝顶
1006,结算C小绝顶,0,npc,二段结算_绝顶
1007,结算C普绝顶,0,npc,二段结算_绝顶
1008,结算C强绝顶,0,npc,二段结算_绝顶
1009,结算射精,0,pl,二段结算_绝顶
1010,结算大量射精,0,pl,二段结算_绝顶
1011,结算超大量射精,0,pl,二段结算_绝顶
1012,结算V小绝顶,0,npc,二段结算_绝顶
1013,结算V普绝顶,0,npc,二段结算_绝顶
1014,结算V强绝顶,0,npc,二段结算_绝顶
1015,结算A小绝顶,0,npc,二段结算_绝顶
1016,结算A普绝顶,0,npc,二段结算_绝顶
1017,结算A强绝顶,0,npc,二段结算_绝顶
1018,结算U小绝顶,0,npc,二段结算_绝顶
1019,结算U普绝顶,0,npc,二段结算_绝顶
1020,结算U强绝顶,0,npc,二段结算_绝顶
1021,结算W小绝顶,0,npc,二段结算_绝顶
1022,结算W普绝顶,0,npc,二段结算_绝顶
1023,结算W强绝顶,0,npc,二段结算_绝顶
1026,结算额外绝顶,0,npc,二段结算_绝顶
1027,结算饮精绝顶,0,npc,二段结算_绝顶
1030,结算快乐刻印1,0,npc,二段结算_刻印
1031,结算快乐刻印2,0,npc,二段结算_刻印
1032,结算快乐刻印3,0,npc,二段结算_刻印
1033,结算屈服刻印1,0,npc,二段结算_刻印
1034,结算屈服刻印2,0,npc,二段结算_刻印
1035,结算屈服刻印3,0,npc,二段结算_刻印
1036,结算苦痛刻印1,0,npc,二段结算_刻印
1037,结算苦痛刻印2,0,npc,二段结算_刻印
1038,结算苦痛刻印3,0,npc,二段结算_刻印
1039,结算时姦刻印1,0,npc,二段结算_刻印
1040,结算时姦刻印2,0,npc,二段结算_刻印
1041,结算时姦刻印3,0,npc,二段结算_刻印
1042,结算恐怖刻印1,0,npc,二段结算_刻印
1043,结算恐怖刻印2,0,npc,二段结算_刻印
1044,结算恐怖刻印3,0,npc,二段结算_刻印
1045,结算反发刻印1,0,npc,二段结算_刻印
1046,结算反发刻印2,0,npc,二段结算_刻印
1047,结算反发刻印3,0,npc,二段结算_刻印
1050,结算初吻,0,npc,二段结算
1051,结算处女,0,npc,二段结算
1052,结算A处女,0,npc,二段结算
1061,结算无觉刻印1,0,npc,二段结算_刻印
1062,结算无觉刻印2,0,npc,二段结算_刻印
1063,结算无觉刻印3,0,npc,二段结算_刻印
1064,结算无觉刻印4,0,npc,二段结算_刻印
1065,结算无觉刻印5,0,npc,二段结算_刻印
1066,结算无觉刻印6,0,npc,二段结算_刻印

1071,结算因B绝顶而被迫喷乳,0,npc,二段结算_绝顶
1072,结算因U绝顶而被迫漏尿,0,npc,二段结算_绝顶

1081,结算双重绝顶,0,npc,二段结算_绝顶
1082,结算三重绝顶,0,npc,二段结算_绝顶
1083,结算四重绝顶,0,npc,二段结算_绝顶
1084,结算五重绝顶,0,npc,二段结算_绝顶
1085,结算六重绝顶,0,npc,二段结算_绝顶
1086,结算七重绝顶,0,npc,二段结算_绝顶

1090,结算N超强绝顶,0,npc,二段结算_绝顶
1091,结算B超强绝顶,0,npc,二段结算_绝顶
1092,结算C超强绝顶,0,npc,二段结算_绝顶
1094,结算V超强绝顶,0,npc,二段结算_绝顶
1095,结算A超强绝顶,0,npc,二段结算_绝顶
1096,结算U超强绝顶,0,npc,二段结算_绝顶
1097,结算W超强绝顶,0,npc,二段结算_绝顶

1100,结算乳头夹,0,npc,二段结算_道具
1101,结算阴蒂夹,0,npc,二段结算_道具
1102,结算震动棒,0,npc,二段结算_道具
1103,结算肛门振动棒,0,npc,二段结算_道具
1104,结算搾乳机,0,npc,二段结算_道具
1105,结算采尿器,0,npc,二段结算_道具
1106,结算眼罩,0,npc,二段结算_道具
1107,结算肛门拉珠,0,npc,二段结算_道具
1108,结算利尿剂,0,npc,二段结算_道具
1109,结算安眠药,0,npc,二段结算_道具
1110,结算排卵促进药,0,npc,二段结算_道具
1111,结算事前避孕药,0,npc,二段结算_道具
1112,结算事后避孕药,0,npc,二段结算_道具

1201,结算发交中,0,npc,二段结算_阴茎
1202,结算阴茎蹭脸中,0,npc,二段结算_阴茎
1203,结算口交中,0,npc,二段结算_阴茎
1204,结算乳交中,0,npc,二段结算_阴茎
1205,结算腋交中,0,npc,二段结算_阴茎
1206,结算手交中,0,npc,二段结算_阴茎
1207,结算V插入中,0,npc,二段结算_阴茎
1208,结算W插入中,0,npc,二段结算_阴茎
1209,结算A插入中,0,npc,二段结算_阴茎
1210,结算U插入中,0,npc,二段结算_阴茎
1211,结算腿交中,0,npc,二段结算_阴茎
1212,结算足交中,0,npc,二段结算_阴茎
1213,结算尾交中,0,npc,二段结算_阴茎
1214,结算阴茎蹭角中,0,npc,二段结算_阴茎
1215,结算阴茎蹭耳朵中,0,npc,二段结算_阴茎
1216,结算素股中,0,npc,二段结算_阴茎

1221,结算帽子交中,0,npc,二段结算_阴茎
1222,结算眼镜交中,0,npc,二段结算_阴茎
1223,结算耳饰交中,0,npc,二段结算_阴茎
1224,结算脖饰交中,0,npc,二段结算_阴茎
1225,结算口罩交中,0,npc,二段结算_阴茎
1226,结算上衣交中,0,npc,二段结算_阴茎
1227,结算胸衣交中,0,npc,二段结算_阴茎
1228,结算手套交中,0,npc,二段结算_阴茎
1229,结算裙子交中,0,npc,二段结算_阴茎
1230,结算内裤交中,0,npc,二段结算_阴茎
1231,结算袜子交中,0,npc,二段结算_阴茎
1232,结算鞋子交中,0,npc,二段结算_阴茎
1233,结算武器交中,0,npc,二段结算_阴茎
1234,结算裤子交中,0,npc,二段结算_阴茎

1250,结算N绝顶被寸止,0,npc,二段结算_绝顶
1251,结算B绝顶被寸止,0,npc,二段结算_绝顶
1252,结算C绝顶被寸止,0,npc,二段结算_绝顶
1253,结算射精被寸止,0,npc,二段结算_绝顶
1254,结算V绝顶被寸止,0,npc,二段结算_绝顶
1255,结算A绝顶被寸止,0,npc,二段结算_绝顶
1256,结算U绝顶被寸止,0,npc,二段结算_绝顶
1257,结算W绝顶被寸止,0,npc,二段结算_绝顶

1301,结算获得思慕,0,npc,二段结算_攻略
1302,结算获得恋慕,0,npc,二段结算_攻略
1303,结算获得恋人(含赠予信物),0,npc,二段结算_攻略
1304,结算获得爱侣,0,npc,二段结算_攻略
1305,结算获得屈从,0,npc,二段结算_攻略
1306,结算获得驯服,0,npc,二段结算_攻略
1307,结算获得宠物(含赠予信物),0,npc,二段结算_攻略
1308,结算获得奴隶,0,npc,二段结算_攻略

1311,结算获得受精,0,npc,二段结算_生育
1312,结算受精失败,0,npc,二段结算_生育
1313,结算获得妊娠,0,npc,二段结算_生育
1314,结算获得临盆,0,npc,二段结算_生育
1315,生产前的对话,0,npc,二段结算_生育
1317,生产后的对话+获得产后,0,npc,二段结算_生育
1318,结算获得育儿,0,npc,二段结算_生育
1319,结算育儿完成,0,npc,二段结算_生育
1320,结算幼女长成萝莉,0,npc,二段结算_生育
1321,结算萝莉长成少女,0,npc,二段结算_生育

1331,初次见面,0,npc,二段结算
1332,每日打招呼,0,npc,二段结算

1351,新周目告别,0,npc,二段结算

1361,以队长身份出发执行外勤委托,0,npc,二段结算
1362,以队长身份完成外勤委托归舰,0,npc,二段结算
1366,被邀请加入群交，开始前往群交地点,0,npc,二段结算

1371,被任命为本地外交官,0,npc,二段结算
1372,被解除本地外交官的任命,0,npc,二段结算
1373,被任命为外派外交官,0,npc,二段结算
1374,被解除外派外交官的任命,0,npc,二段结算

1401,被选为助理,0,npc,二段结算_助理
1402,不再为助理,0,npc,二段结算_助理
1403,关闭智能跟随,0,npc,二段结算_助理
1404,开启智能跟随,0,npc,二段结算_助理
1405,要求前往办公室,0,npc,二段结算_助理
1406,关闭辅佐服务,0,npc,二段结算_助理
1407,开启辅佐服务,0,npc,二段结算_助理
1408,关闭送饭服务,0,npc,二段结算_助理
1409,开启帮忙买午饭服务,0,npc,二段结算_助理
1410,开启亲手做午饭服务,0,npc,二段结算_助理
1411,开启亲手做三餐服务,0,npc,二段结算_助理
1412,关闭早安服务,0,npc,二段结算_助理
1413,开启早上叫起床服务,0,npc,二段结算_助理
1414,开启早安吻服务,0,npc,二段结算_助理
1415,开启早安咬服务,0,npc,二段结算_助理
1416,关闭晚安服务,0,npc,二段结算_助理
1417,开启晚上催睡觉服务,0,npc,二段结算_助理
1418,开启晚安吻服务,0,npc,二段结算_助理
1419,开启晚安咬服务,0,npc,二段结算_助理
1420,关闭同居服务,0,npc,二段结算_助理
1421,开启同居服务,0,npc,二段结算_助理
1422,关闭助攻服务,0,npc,二段结算_助理
1423,开启助攻服务,0,npc,二段结算_助理

1451,被要求每天上交内裤,0,npc,二段结算_管理
1452,被要求每天上交袜子,0,npc,二段结算_管理
1453,被要求以后不再穿胸衣,0,npc,二段结算_管理
1454,被要求以后睡觉时不穿衣服裸睡,0,npc,二段结算_管理
1455,在每日招呼时上交今天的内裤,0,npc,二段结算_管理
1456,在每日招呼时上交今天的袜子,0,npc,二段结算_管理
1461,被要求白天时戴着乳头夹,0,npc,二段结算_管理
1462,被要求白天时戴着阴蒂夹,0,npc,二段结算_管理
1463,被要求白天时V里插着振动棒,0,npc,二段结算_管理
1464,被要求白天时A里插着振动棒,0,npc,二段结算_管理
1465,被要求睡觉时戴着乳头夹,0,npc,二段结算_管理
1466,被要求睡觉时戴着阴蒂夹,0,npc,二段结算_管理
1467,被要求睡觉时V里插着振动棒,0,npc,二段结算_管理
1468,被要求睡觉时A里插着振动棒,0,npc,二段结算_管理
1471,被要求洗澡时不再清洗阴道内的精液,0,npc,二段结算_管理
1472,被要求每天晚上睡前都要自慰,0,npc,二段结算_管理
1473,被要求禁止自慰,0,npc,二段结算_管理
1481,被要求进行吮吸与吞咽力练习,0,npc,二段结算_管理
1482,被要求进行腋下夹持力练习,0,npc,二段结算_管理
1483,被要求进行胸部夹持力练习,0,npc,二段结算_管理
1483,被要求进行手部灵活度练习,0,npc,二段结算_管理
1484,被要求进行足部灵活度练习,0,npc,二段结算_管理
1485,被要求进行阴道紧致度练习,0,npc,二段结算_管理
1486,被要求进行肠道紧致度练习,0,npc,二段结算_管理
1487,被要求进行尾巴灵活度练习,0,npc,二段结算_管理
1488,被要求进行触手灵活度练习,0,npc,二段结算_管理

1501,获得被浅层催眠素质,0,npc,二段结算
1502,获得被深层催眠素质,0,npc,二段结算
1503,获得被完全催眠素质,0,npc,二段结算
