cid,status
521,正常位肛交
522,后背位肛交
523,骑乘位肛交
524,对面座位肛交
525,背面座位肛交
526,对面立位肛交
527,背面立位肛交
530,玩弄s状结肠
531,隔着刺激阴道

601,搾乳机
602,采尿器
603,绳子
604,眼罩
605,鞭子
606,针

701,脱衣服

1000,结算N小绝顶
1001,结算N普绝顶
1002,结算N强绝顶
1003,结算B小绝顶
1004,结算B普绝顶
1005,结算B强绝顶
1006,结算C小绝顶
1007,结算C普绝顶
1008,结算C强绝顶
1009,结算射精
1010,结算大量射精
1011,结算超大量射精
1012,结算V小绝顶
1013,结算V普绝顶
1014,结算V强绝顶
1015,结算A小绝顶
1016,结算A普绝顶
1017,结算A强绝顶
1018,结算U小绝顶
1019,结算U普绝顶
1020,结算U强绝顶
1021,结算W小绝顶
1022,结算W普绝顶
1023,结算W强绝顶
1030,结算快乐刻印1
1031,结算快乐刻印2
1032,结算快乐刻印3
1033,结算屈服刻印1
1034,结算屈服刻印2
1035,结算屈服刻印3
1036,结算苦痛刻印1
1037,结算苦痛刻印2
1038,结算苦痛刻印3
1039,结算时姦刻印1
1040,结算时姦刻印2
1041,结算时姦刻印3
1042,结算恐怖刻印1
1043,结算恐怖刻印2
1044,结算恐怖刻印3
1045,结算反发刻印1
1046,结算反发刻印2
1047,结算反发刻印3
1050,结算初吻
1051,结算处女
1052,结算A处女
1061,结算无觉刻印1
1062,结算无觉刻印2
1063,结算无觉刻印3
1064,结算无觉刻印4
1065,结算无觉刻印5
1066,结算无觉刻印6

1100,结算乳头夹
1101,结算阴蒂夹
1102,结算震动棒
1103,结算肛门振动棒
1104,结算搾乳机
1105,结算采尿器
1106,结算眼罩
1107,结算肛门拉珠
1108,结算利尿剂
1109,结算安眠药
1110,结算排卵促进药
1111,结算事前避孕药
1112,结算事后避孕药

1201,结算发交中
1202,结算阴茎蹭脸中
1203,结算口交中
1204,结算乳交中
1205,结算腋交中
1206,结算手交中
1207,结算V插入中
1208,结算W插入中
1209,结算A插入中
1210,结算U插入中
1211,结算腿交中
1212,结算足交中
1213,结算尾交中
1214,结算阴茎蹭角中
1215,结算阴茎蹭耳朵中
1216,结算素股中

1301,结算获得思慕
1302,结算获得恋慕
1303,结算获得恋人
1304,结算获得爱侣
1305,结算获得屈从
1306,结算获得驯服
1307,结算获得宠物
1308,结算获得奴隶

1311,结算获得受精
1312,结算受精失败
1313,结算获得妊娠
1314,结算获得临盆
1315,生产前的对话
1317,生产后的对话+获得产后
1318,结算获得育儿
1319,结算育儿完成
1320,结算幼女长成萝莉
1321,结算萝莉长成少女

1331,初次见面
1332,每日打招呼

