cid,department,subject,sub_key,once,weight,premise,text,option_1,option_1_premise,option_1_reason,option_1_tip,option_1_effect,option_2,option_2_premise,option_2_reason,option_2_tip,option_2_effect,option_3,option_3_premise,option_3_reason,option_3_tip,option_3_effect,option_4,option_4_premise,option_4_reason,option_4_tip,option_4_effect
7,15,1,200,0,4,CVP_A1_Growth|7_E_1&CVP_A1_T|103_E_1,「不上不下的。」她自己先给了结论，把成绩单反扣在桌上，「下学期我会挑两门专门补。」听起来像是路上想了很久才定下来的。,问她打算补哪两门,,,倾向：勤劳＋＋，信赖＋,CVE_A1_Growth|10_G_5&CVE_A1_X_G_12,说两门太多，先补一门,,,照料＋＋，好感＋,CVE_A1_Growth|20_G_8&CVE_A1_F_G_100,让她自己定，不插手,,,倾向：坚强＋＋,CVE_A1_Growth|11_G_5,,,,,
8,15,1,200,0,3,CVP_A1_Growth|7_E_1&self_mother_available,她母亲比她先看到成绩单，看完只说了句「挺好」。她站在旁边，明显还在等下一句，但下一句没有来。晚些时候她把成绩单又拿到了你这里。,把她母亲没说完的话补上,,,好感＋＋，照料＋＋,CVE_A1_F_G_180&CVE_A1_Growth|20_G_10,说她母亲那句「挺好」就是全部了,,,好感＋，倾向：坚强,CVE_A1_Growth|11_G_4&CVE_A1_F_G_80,让她自己回去问,,,倾向：开放＋＋，信赖＋,CVE_A1_Growth|13_G_5&CVE_A1_X_G_10,,,,,
9,15,1,200,0,4,CVP_A1_Growth|7_E_2&CVP_A1_Growth|6_L_70,出勤那一栏的数字比别的栏都显眼。她把成绩单交出来的时候没有解释，只是站着，等你先开口。,问她那些日子去哪了,,,信赖＋＋,CVE_A1_X_G_20,先不问，让她坐下,,,好感＋＋，照料＋＋,CVE_A1_F_G_150&CVE_A1_Growth|20_G_10,说下学期不许再这样,,,倾向：勤劳＋＋，好感－,CVE_A1_Growth|10_G_6&CVE_A1_F_L_30,,,,,
10,15,1,200,0,4,CVP_A1_Growth|7_E_2&CVP_A1_Growth|6_L_70&CVP_A1_T|103_E_1,「我知道你要说什么。」她把成绩单放下就想走，被叫住之后又停在原地，背对着你，「那几节课我不是故意的。」,让她转过来把话说完,,,倾向：开放＋＋，信赖＋,CVE_A1_Growth|13_G_5&CVE_A1_X_G_12,说不是故意的也一样算缺课,,,倾向：勤劳＋＋,CVE_A1_Growth|10_G_6,问她是不是身体不舒服,,,照料＋＋＋，好感＋,CVE_A1_Growth|20_G_12&CVE_A1_F_G_100,,,,,
11,15,1,200,0,4,CVP_A1_Growth|7_E_2,成绩单上没有一栏特别难看，也没有一栏拿得出手。她把纸推过来的时候说了句「就这样」，比起沮丧更像是懒得再看第二遍。,挑出涨得最多的那门给她看,,,好感＋，倾向：热情,CVE_A1_F_G_120&CVE_A1_Growth|12_G_3,说「就这样」不是个交代,,,倾向：勤劳＋＋，好感－,CVE_A1_Growth|10_G_6&CVE_A1_F_L_20,问她是不是课排得太满了,,,照料＋＋，信赖＋,CVE_A1_Growth|20_G_8&CVE_A1_X_G_12,,,,,
12,15,1,200,0,4,CVP_A1_Growth|7_E_2&CVP_A1_T|102_E_1,她把成绩单藏在身后，被问到时才慢慢拿出来，先说了三遍「下次会好的」。纸的一角已经被捏出了褶。,先说下次会好的这句很好,,,好感＋＋，倾向：坚强,CVE_A1_F_G_160&CVE_A1_Growth|11_G_4,把褶子抚平再一起看,,,照料＋＋，好感＋,CVE_A1_Growth|20_G_10&CVE_A1_F_G_100,问她哪门课最听不懂,,,信赖＋＋，倾向：勤劳,CVE_A1_X_G_18&CVE_A1_Growth|10_G_4,,,,,
13,15,1,200,0,5,,学期最后一天的下午，教室里没剩几个人。她把桌上的东西一样样收进包里，收到一半停下来，看了很久窗外。,问她在想什么,,,信赖＋＋,CVE_A1_X_G_18,帮她把剩下的收完,,,照料＋＋，好感＋,CVE_A1_Growth|20_G_10&CVE_A1_F_G_100,站在门口等她自己收完,,,倾向：坚强＋＋,CVE_A1_Growth|11_G_5,,,,,
14,15,1,200,0,5,,下学期的课表要重排了。她抱着一沓课程说明找过来，摊在桌上排了半天，最后抬头问：「能不能全都选？」,告诉她一天只有九节,,,倾向：勤劳＋，信赖＋,CVE_A1_Growth|10_G_3&CVE_A1_X_G_12,让她先挑三门最想上的,,,倾向：开放＋＋,CVE_A1_Growth|13_G_5,说排太满会累垮,,,照料＋＋＋，好感＋,CVE_A1_Growth|20_G_12&CVE_A1_F_G_80,,,,,
15,15,1,200,0,4,self_have_sibling_child,两张成绩单摆在一起，她们谁也没先开口。过了一会儿，年纪小的那个把自己的往回抽了抽，被年纪大的按住了。,两张都拿过来一起看,,,好感＋＋，倾向：热情,CVE_A1_F_G_150&CVE_A1_Growth|12_G_4,只看她的那张,,,好感＋,CVE_A1_F_G_100,让她们自己说说对方哪门好,,,倾向：开放＋＋，信赖＋,CVE_A1_Growth|13_G_5&CVE_A1_X_G_12,,,,,
16,15,1,200,0,4,self_mother_available,她母亲问起这学期怎么样。她答了句「还行」，然后一整晚都没再提。临睡前她把成绩单放在了你桌上，没留话。,第二天早上主动跟她聊,,,好感＋＋，信赖＋＋,CVE_A1_F_G_180&CVE_A1_X_G_18,把成绩单交给她母亲,,,照料＋＋，倾向：热情,CVE_A1_Growth|20_G_10&CVE_A1_Growth|12_G_3,原样放回她房间,,,倾向：坚强＋＋,CVE_A1_Growth|11_G_5,,,,,
