cid,department,subject,sub_key,once,weight,premise,text,option_1,option_1_premise,option_1_reason,option_1_tip,option_1_effect,option_2,option_2_premise,option_2_reason,option_2_tip,option_2_effect,option_3,option_3_premise,option_3_reason,option_3_tip,option_3_effect,option_4,option_4_premise,option_4_reason,option_4_tip,option_4_effect
29,15,1,102,0,10,,有位干员气冲冲地找上门：她的报告被涂成了一片彩色的花田。孩子躲在你身后，手里还攥着蜡笔。,先替她道歉，再让她自己也说一句,,,倾向：坚强，倾向：开放,CVE_A1_F_G_8&CVE_A1_Growth|11_G_3&CVE_A1_Growth|13_G_2,护着她，报告你重新打一份,,,亲密＋＋，倾向：脆弱,CVE_A1_F_G_20&CVE_A1_Growth|11_L_3,当场罚她把蜡笔交出来,,,好感下降，倾向：勤劳,CVE_A1_F_L_14&CVE_A1_Growth|10_G_3&CVE_A1_Growth|13_L_2,,,,,
30,15,1,102,1,16,,她今天要自己穿衣服。扣子系错了两颗，袖子还翻在里面，但她坚决不让人碰，一直忙到早饭都快开始了。,等她自己弄完，哪怕迟到,,,倾向：坚强，倾向：勤劳,CVE_A1_F_G_12&CVE_A1_Growth|11_G_3&CVE_A1_Growth|10_G_3,只帮她把最难的那颗扣好,,,照料＋，亲密＋,CVE_A1_F_G_16&CVE_A1_Growth|20_G_3,直接上手，来不及了,,,好感小降，倾向：懒散,CVE_A1_F_L_10&CVE_A1_Growth|10_L_2&CVE_A1_Growth|20_G_2,,,,,
31,15,1,102,0,10,,半夜有人敲你的门。她抱着枕头站在外面，眼睛红红的，说梦见有人把她一个人留在很长的走廊里。,让她进来，今晚就睡这儿,,,亲密＋＋，倾向：脆弱，倾向：羞耻,CVE_A1_F_G_22&CVE_A1_Growth|11_L_3&CVE_A1_Growth|20_G_3&CVE_A1_Growth|13_L_2,送她回房间，陪到她睡着,,,照料＋＋，倾向：坚强,CVE_A1_F_G_15&CVE_A1_Growth|11_G_2&CVE_A1_Growth|20_G_4,告诉她那只是梦，让她自己回去,,,好感下降，倾向：坚强,CVE_A1_F_L_15&CVE_A1_Growth|11_G_4,,,,,
32,15,1,102,0,10,,她在甲板上捡到一只受伤的小动物，用两只手捧着一路跑回来，问能不能养。,答应她，但说好要她自己照顾,,,倾向：勤劳，亲密＋,CVE_A1_F_G_18&CVE_A1_Growth|10_G_4&CVE_A1_Growth|20_G_2,先送医疗部，治好了再说,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_12&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_4,让她放回原处,,,好感下降，倾向：坚强,CVE_A1_F_L_16&CVE_A1_Growth|11_G_3&CVE_A1_Growth|12_L_1,,,,,
33,15,1,102,0,9,,她摔了一跤，膝盖磕破了皮。周围有人围过来，她愣了两秒，把眼泪憋了回去，自己爬起来拍了拍裤子。,夸她一句，然后带她去处理伤口,,,倾向：坚强，照料＋,CVE_A1_F_G_14&CVE_A1_Growth|11_G_3&CVE_A1_Growth|20_G_3,抱起来，让她想哭就哭,,,亲密＋＋，倾向：脆弱,CVE_A1_F_G_18&CVE_A1_Growth|11_L_3&CVE_A1_Growth|20_G_2,告诉她下次看着路,,,好感小降，倾向：勤劳,CVE_A1_F_L_8&CVE_A1_Growth|10_G_3,,,,,
34,15,1,102,0,9,,打扫的干员在她床底下发现了一小堆东西：三块没吃的点心、两颗糖，还有半个已经放坏的果子。,问她为什么要藏起来,,,亲密＋，倾向：开放,CVE_A1_F_G_14&CVE_A1_Growth|13_G_3,陪她把坏掉的清理干净，剩下的收好,,,倾向：勤劳，照料＋,CVE_A1_F_G_10&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_3,告诉她食堂随时有饭，不用囤,,,信赖＋，倾向：坚强,CVE_A1_F_G_8&CVE_A1_X_G_4&CVE_A1_Growth|11_G_2,,,,,
35,15,1,102,1,14,,她学会了自己刷牙。泡沫糊了满脸，水洒了一台子，但她坚持要你站在门口看完全程。,认真看完，最后鼓掌,,,亲密＋＋，倾向：热情,CVE_A1_F_G_18&CVE_A1_Growth|12_G_3,顺手教她怎么少洒点水,,,倾向：勤劳，照料＋,CVE_A1_F_G_12&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_3,夸完就走，公务还等着,,,好感小降，倾向：勤劳,CVE_A1_F_L_6&CVE_A1_Growth|10_G_2,,,,,
36,15,1,102,0,9,CVP_A1_Growth|3_GE_50,她开始学着系鞋带。绳子在手里绕成了死结，她拆了系、系了拆，坐在门口折腾了快半个钟头。,在旁边等着，不出手,,,倾向：坚强，倾向：勤劳,CVE_A1_F_G_10&CVE_A1_Growth|11_G_3&CVE_A1_Growth|10_G_3,示范一遍，再让她照着做,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_14&CVE_A1_Growth|10_G_4&CVE_A1_Growth|20_G_3,帮她系好，再迟就来不及了,,,亲密＋，倾向：懒散,CVE_A1_F_G_12&CVE_A1_Growth|10_L_2,,,,,
37,15,1,102,0,9,,她把自己的午饭分了一半给食堂门口的一只流浪的小家伙，回来还很小心地问：这样是不是浪费粮食。,告诉她这不算浪费,,,亲密＋，倾向：热情,CVE_A1_F_G_16&CVE_A1_Growth|12_G_3,让她以后从自己的份里省，不许剩,,,倾向：勤劳，倾向：坚强,CVE_A1_F_G_6&CVE_A1_Growth|10_G_3&CVE_A1_Growth|11_G_2,跟她一起去，再添一份,,,亲密＋＋，照料＋,CVE_A1_F_G_18&CVE_A1_Growth|12_G_2&CVE_A1_Growth|20_G_3,,,,,
38,15,1,102,0,9,CVP_A1_Growth|3_GE_50,她换牙了。第一颗掉的时候她吓得捂着嘴不敢说话，直到被人发现，才小声问会不会长不回来。,认真解释一遍换牙是怎么回事,,,倾向：勤劳，信赖＋,CVE_A1_F_G_12&CVE_A1_X_G_4&CVE_A1_Growth|10_G_3,把那颗牙收进一个小盒子里,,,亲密＋＋，照料＋,CVE_A1_F_G_18&CVE_A1_Growth|20_G_3&CVE_A1_Growth|12_G_1,逗她说以后就吃不了硬东西了,,,好感小降，倾向：开放,CVE_A1_F_L_8&CVE_A1_Growth|13_G_2,,,,,
39,15,1,102,0,9,,她把洗澡时间拖得越来越长，最后被人从浴室里请出来，头发还湿着就往房间跑，说水里的泡泡还没玩完。,先把她的头发擦干再说别的,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_12&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_4,给她定个洗澡的时长,,,好感小降，倾向：勤劳,CVE_A1_F_L_6&CVE_A1_Growth|10_G_3&CVE_A1_Growth|11_G_1,由她去，孩子不都这样,,,亲密＋，倾向：懒散,CVE_A1_F_G_14&CVE_A1_Growth|10_L_2&CVE_A1_Growth|13_G_1,,,,,
40,15,1,102,0,9,CVP_A1_Growth|3_GE_50,她学会了看时间，于是每天都要问你几十遍现在几点、还有多久到晚饭、还有多久你能忙完。,耐心答，每一次都认真答,,,亲密＋＋，倾向：热情,CVE_A1_F_G_18&CVE_A1_Growth|12_G_3&CVE_A1_Growth|20_G_2,给她一块表，让她自己看,,,倾向：勤劳，倾向：坚强,CVE_A1_F_G_10&CVE_A1_Growth|10_G_3&CVE_A1_Growth|11_G_2,让她别一直问了,,,好感下降，倾向：孤僻,CVE_A1_F_L_12&CVE_A1_Growth|12_L_3,,,,,
41,15,1,102,1,16,self_have_classmate,她今天跑回来说，班上有个孩子把座位旁边的位置留给了她。说完自己先红了脸，又补了一句：我们是朋友了。,认真恭喜她,,,亲密＋，倾向：热情,CVE_A1_F_G_18&CVE_A1_Growth|12_G_3&CVE_A2_F_G_8,问她那个孩子叫什么、喜欢什么,,,倾向：开放，信赖＋,CVE_A1_F_G_12&CVE_A1_X_G_4&CVE_A1_Growth|13_G_3&CVE_A2_F_G_5,提醒她别为了朋友耽误功课,,,好感小降，倾向：勤劳,CVE_A1_F_L_8&CVE_A1_Growth|10_G_3&CVE_A1_Growth|12_L_1,,,,,
42,15,1,102,0,10,self_have_classmate,她的座位被另一个孩子占了。两个人谁也不肯让，僵在教室中间，最后是老师把她们分开的。,让她把座位让出来，另找一个,,,对方好感＋，倾向：羞耻,CVE_A1_F_L_5&CVE_A1_Growth|13_L_2&CVE_A2_F_G_12,带着她去把话说清楚,,,倾向：开放，对方好感＋,CVE_A1_F_G_12&CVE_A1_Growth|13_G_3&CVE_A2_F_G_8,让她自己守住那个位置,,,倾向：坚强，对方好感－,CVE_A1_F_G_6&CVE_A1_Growth|11_G_3&CVE_A2_F_L_8,,,,,
