cid,department,subject,sub_key,once,weight,premise,text,option_1,option_1_premise,option_1_reason,option_1_tip,option_1_effect,option_2,option_2_premise,option_2_reason,option_2_tip,option_2_effect,option_3,option_3_premise,option_3_reason,option_3_tip,option_3_effect,option_4,option_4_premise,option_4_reason,option_4_tip,option_4_effect
31,15,1,0,0,4,CVP_A1_F_GE_1000&CVP_A1_T|101_E_0,她把你为她做的事都当成了理所当然：饭会有人做、衣服会有人换、想要什么说一声就有。今天她随口一句我要那个，说完自己也没觉得有什么。,认真跟她说说这些是怎么来的,,,倾向：勤劳，信赖＋,CVE_A1_F_G_10&CVE_A1_X_G_5&CVE_A1_Growth|10_G_4&CVE_A1_Growth|11_G_1,让她自己去要一次试试,,,倾向：坚强，好感小降,CVE_A1_F_L_8&CVE_A1_Growth|11_G_4&CVE_A1_Growth|13_G_1,照旧给她，她还小,,,好感＋，倾向：懒散,CVE_A1_F_G_14&CVE_A1_Growth|10_L_3,,,,,
32,15,1,0,0,4,CVP_A1_X_GE_100&CVP_A1_T|101_E_0,舰桥今天不忙。你带她上去的时候，值班的干员让开了半步，让她能看见前面那一整片没有边的地平线。,让她站在最前面看个够,,,好感＋＋，倾向：开放,CVE_A1_F_G_22&CVE_A1_Growth|13_G_4&CVE_A1_Growth|12_G_1,告诉她这条船要去哪里,,,倾向：勤劳，信赖＋,CVE_A1_F_G_14&CVE_A1_X_G_5&CVE_A1_Growth|10_G_3,看一眼就带她下去，这里是工作区,,,好感小降，倾向：勤劳,CVE_A1_F_L_8&CVE_A1_Growth|10_G_2,,,,,
33,15,1,0,0,4,CVP_A1_T|101_E_0,她问你会不会有一天不要她了。问得很轻，像是怕问出声就成了真的。,蹲下来，把这句话正面回答掉,,,好感＋＋，信赖＋＋，倾向：羞耻,CVE_A1_F_G_25&CVE_A1_X_G_6&CVE_A1_Growth|11_L_1&CVE_A1_Growth|13_L_1,反问她为什么会这么想,,,信赖＋＋，倾向：开放,CVE_A1_F_G_14&CVE_A1_X_G_5&CVE_A1_Growth|13_G_3,笑着说别想这些,,,好感下降，倾向：脆弱,CVE_A1_F_L_12&CVE_A1_Growth|11_L_3,,,,,
34,15,1,0,0,4,CVP_A1_T|101_E_0,她学会了看你的脸色。今天你只是皱了下眉，她就把想说的话咽了回去，转身要走。,叫住她，说那不是冲她,,,好感＋＋，信赖＋,CVE_A1_F_G_20&CVE_A1_X_G_5&CVE_A1_Growth|11_G_1,告诉她以后有话直接说,,,倾向：开放，信赖＋,CVE_A1_F_G_12&CVE_A1_X_G_4&CVE_A1_Growth|13_G_3,由她走，等有空再说,,,好感下降，倾向：羞耻,CVE_A1_F_L_14&CVE_A1_Growth|13_L_3,,,,,
35,15,1,0,0,4,,干员们在私下打赌，赌这孩子长大后会像谁。有人说像她母亲，有人说像博士，还有人说谁也不像，就像她自己。,站在最后一种说法这边,,,好感＋，倾向：坚强,CVE_A1_F_G_16&CVE_A1_Growth|11_G_3&CVE_A1_Growth|13_G_1,说等她长大了自己回答,,,信赖＋，倾向：开放,CVE_A1_F_G_10&CVE_A1_X_G_4&CVE_A1_Growth|13_G_3,让他们别拿孩子打赌,,,好感＋，倾向：孤僻,CVE_A1_F_G_12&CVE_A1_Growth|12_L_2,,,,,
36,15,1,0,0,4,CVP_A1_T|101_E_0,她把你说过的一句话记了很久，今天原封不动地还给了你。你自己都已经忘了什么时候说过。,承认忘了，然后问她当时的场景,,,信赖＋＋，倾向：开放,CVE_A1_F_G_16&CVE_A1_X_G_5&CVE_A1_Growth|13_G_3,顺着那句话再讲下去,,,好感＋＋，倾向：热情,CVE_A1_F_G_20&CVE_A1_Growth|12_G_3,说那只是随口一说,,,好感下降，倾向：孤僻,CVE_A1_F_L_14&CVE_A1_Growth|12_L_3,,,,,
37,15,1,0,0,4,CVP_A1_T|101_E_0,你出差三天回来，她在办公室门口的椅子上睡着了，手里还捏着一张写了一半的纸。,把她抱回去，纸留在她手里,,,好感＋＋，照料＋，倾向：孤僻,CVE_A1_F_G_22&CVE_A1_Growth|20_G_3&CVE_A1_Growth|12_L_1,叫醒她，告诉她你回来了,,,好感＋＋，倾向：热情,CVE_A1_F_G_20&CVE_A1_Growth|12_G_3,先看完那张纸上写了什么,,,好感小降，倾向：羞耻,CVE_A1_F_L_8&CVE_A1_Growth|13_L_2,,,,,
38,15,1,0,0,4,CVP_A1_T|101_E_0,她把你的一句玩笑当了真，准备了整整一天。等你想起来的时候，她已经把东西摆好在桌上，等着你说的那件事。,把那句玩笑变成真的,,,好感＋＋，信赖＋＋,CVE_A1_F_G_22&CVE_A1_X_G_6,跟她道歉，然后补一次,,,信赖＋，倾向：坚强,CVE_A1_F_G_14&CVE_A1_X_G_5&CVE_A1_Growth|11_G_2,告诉她那只是玩笑,,,好感下降，倾向：脆弱,CVE_A1_F_L_18&CVE_A1_Growth|11_L_3,,,,,
39,15,1,0,0,4,,她被人问起博士是什么样的人。她想了很久，最后给出的答案让在场的干员都笑了，只有你听出来那是她认真想过的。,问她为什么这么说,,,信赖＋＋，倾向：开放,CVE_A1_F_G_16&CVE_A1_X_G_5&CVE_A1_Growth|13_G_3,顺着她的答案往下补一句,,,好感＋＋，倾向：热情,CVE_A1_F_G_18&CVE_A1_Growth|12_G_3,让大家别拿这个逗她,,,好感＋，倾向：羞耻,CVE_A1_F_G_10&CVE_A1_Growth|13_L_2,,,,,
40,15,1,0,0,4,CVP_A1_T|101_E_0,她想知道你办公室抽屉里锁着的是什么。问了三次，每次都被岔开，今天她干脆坐在桌边不走了。,打开给她看,,,信赖＋＋，倾向：开放,CVE_A1_F_G_20&CVE_A1_X_G_6&CVE_A1_Growth|13_G_3,告诉她有些事等她长大再说,,,倾向：坚强，好感小降,CVE_A1_F_L_8&CVE_A1_Growth|11_G_3,跟她换：她的日记换你的抽屉,,,好感＋，倾向：开放,CVE_A1_F_G_14&CVE_A1_Growth|13_G_4&CVE_A1_Growth|12_G_1,,,,,
41,15,1,0,0,4,CVP_A1_T|101_E_0,她今天替你挡了一句话。有人在背后说博士的不是，她当场顶了回去，然后被人说小孩子懂什么。,站到她身边，把话接完,,,好感＋＋，倾向：坚强,CVE_A1_F_G_22&CVE_A1_Growth|11_G_3&CVE_A1_Growth|12_G_2,谢谢她，但告诉她不必这样,,,信赖＋＋，倾向：坚强,CVE_A1_F_G_14&CVE_A1_X_G_5&CVE_A1_Growth|11_G_2,让她以后别掺和大人的事,,,好感下降，倾向：羞耻,CVE_A1_F_L_16&CVE_A1_Growth|13_L_3,,,,,
42,15,1,0,0,4,self_have_sibling_child,有人提议给几个孩子拍一张合影。等站好队形的时候才发现，她们几个谁也不肯站在中间。,自己站进去，让她们围着,,,好感＋＋，对方好感＋,CVE_A1_F_G_20&CVE_A1_Growth|12_G_3&CVE_A2_F_G_15,按个子高矮排好,,,倾向：勤劳，对方好感＋,CVE_A1_F_G_8&CVE_A1_Growth|10_G_3&CVE_A2_F_G_8,让她们自己商量位置,,,倾向：开放，对方好感＋,CVE_A1_F_G_10&CVE_A1_Growth|13_G_3&CVE_A2_F_G_10,,,,,
43,15,1,0,0,4,self_have_sibling_child,两个孩子一起闯了祸。事情本身不大，但收拾起来要好一阵子。她们站成一排，谁也没有先开口推卸。,让她们一起收拾干净,,,倾向：勤劳，对方好感＋,CVE_A1_F_G_10&CVE_A1_Growth|10_G_4&CVE_A2_F_G_8,夸她们没有互相推卸,,,好感＋，倾向：坚强,CVE_A1_F_G_16&CVE_A1_Growth|11_G_3&CVE_A2_F_G_12,分开罚，各罚各的,,,好感下降，倾向：孤僻,CVE_A1_F_L_12&CVE_A1_Growth|12_L_3&CVE_A2_F_L_10,,,,,
44,15,1,0,0,4,self_have_sibling_child,两个孩子都想在同一个时间见你，谁也不肯改。最后她们把这个问题原样搬到了你面前。,三个人一起，谁也不落下,,,好感＋，对方好感＋,CVE_A1_F_G_16&CVE_A1_Growth|12_G_2&CVE_A2_F_G_16,按先来后到，她排后面,,,倾向：坚强，对方好感＋,CVE_A1_F_L_5&CVE_A1_Growth|11_G_3&CVE_A2_F_G_12,让她们自己定顺序,,,倾向：开放，对方好感＋,CVE_A1_F_G_8&CVE_A1_Growth|13_G_3&CVE_A2_F_G_8,,,,,
