cid,department,subject,sub_key,once,weight,premise,text,option_1,option_1_premise,option_1_reason,option_1_tip,option_1_effect,option_2,option_2_premise,option_2_reason,option_2_tip,option_2_effect,option_3,option_3_premise,option_3_reason,option_3_tip,option_3_effect,option_4,option_4_premise,option_4_reason,option_4_tip,option_4_effect
27,15,1,101,1,18,CVP_A1_Growth|3_GE_50,算算日子，她来到罗德岛正好满了一段。厨房那边问要不要做点什么，医疗部的人也探头进来问了一句。,在育儿室摆一桌，谁路过都能坐,,,好感＋，倾向：开放,CVE_A1_F_G_18&CVE_A1_Growth|13_G_3&CVE_A1_Growth|12_G_2,只有你们两个，安安静静地过,,,信赖＋＋，倾向：孤僻,CVE_A1_F_G_20&CVE_A1_X_G_5&CVE_A1_Growth|12_L_2,让厨房做一份，剩下的照常办公,,,好感小降，倾向：勤劳,CVE_A1_F_L_5&CVE_A1_Growth|10_G_3,,,,,
28,15,1,101,0,10,CVP_A1_Growth|3_GE_50,你回到育儿室，看见地上散着一地纸片。她坐在正中间，手里还捏着半页，抬头看你，脸上没有一丝心虚。,把还没撕的那些收起来，另找些废纸给她,,,倾向：勤劳，照料＋,CVE_A1_F_G_10&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_2,严肃地告诉她这不能撕,,,好感小降，倾向：坚强,CVE_A1_F_L_8&CVE_A1_Growth|11_G_2,陪她一起撕，反正是废件,,,好感＋＋，倾向：开放,CVE_A1_F_G_18&CVE_A1_Growth|13_G_3&CVE_A1_Growth|12_G_1,,,,,
29,15,1,101,1,15,CVP_A1_Growth|3_GE_50,你要走的时候，保育员逗她说跟博士再见。她愣了一下，然后真的抬起手，一开一合地晃了两下。,折回去，把她抱起来转一圈,,,好感＋＋，倾向：热情,CVE_A1_F_G_20&CVE_A1_Growth|12_G_3&CVE_A1_Growth|20_G_2,也冲她摆摆手，然后照常去办公,,,信赖＋，倾向：坚强,CVE_A1_F_G_10&CVE_A1_X_G_4&CVE_A1_Growth|11_G_2,再多待一会儿，等她玩腻了再走,,,好感＋，照料＋,CVE_A1_F_G_15&CVE_A1_Growth|20_G_3,,,,,
30,15,1,101,0,10,CVP_A1_Growth|3_GE_50,保育员把一面小镜子立在她面前。她先是伸手去拍，又歪着头看了很久，最后咧开嘴笑了——像是终于确认了那是自己。,把她抱到镜子前，指着教她认自己,,,倾向：开放，好感＋,CVE_A1_F_G_14&CVE_A1_Growth|13_G_3&CVE_A1_Growth|20_G_2,跟她一起挤进镜子里,,,好感＋＋，倾向：热情,CVE_A1_F_G_18&CVE_A1_Growth|12_G_3,在旁边看着，不打扰她,,,信赖＋，倾向：孤僻,CVE_A1_F_G_8&CVE_A1_X_G_3&CVE_A1_Growth|12_L_1,,,,,
31,15,1,101,0,11,CVP_A1_Growth|3_GE_50,喂辅食的时候她一把抓住了勺子，不肯松手。你松开，她就把勺子往嘴里送，结果糊了半张脸。,让她自己来，弄脏了再收拾,,,倾向：勤劳，倾向：坚强,CVE_A1_F_G_12&CVE_A1_Growth|10_G_3&CVE_A1_Growth|11_G_1,握着她的手，一勺一勺教,,,照料＋＋，好感＋，倾向：懒散,CVE_A1_F_G_16&CVE_A1_Growth|20_G_4&CVE_A1_Growth|10_L_1,把勺子拿回来，还是你喂快,,,好感小降，倾向：懒散,CVE_A1_F_L_8&CVE_A1_Growth|10_L_2,,,,,
32,15,1,101,0,10,CVP_A1_Growth|3_GE_50,你在育儿室里走了两步，身后传来窸窸窣窣的动静。回头一看，她正拼了命地爬着追过来，一停下就抬头找你。,放慢脚步，让她追上,,,好感＋＋，倾向：热情,CVE_A1_F_G_20&CVE_A1_Growth|12_G_3&CVE_A1_Growth|20_G_2,原地蹲下，等她自己爬完这段,,,倾向：坚强，信赖＋,CVE_A1_F_G_10&CVE_A1_X_G_4&CVE_A1_Growth|11_G_3,抱起来，这样比爬快多了,,,好感＋，倾向：懒散,CVE_A1_F_G_14&CVE_A1_Growth|10_L_2&CVE_A1_Growth|20_G_2,,,,,
33,15,1,101,0,11,,半夜医疗部来了消息：她发烧了。等你赶到时，她已经烧得满脸通红，哭都哭不出声，只是一下一下地抽气。,守在床边，一夜没合眼,,,好感＋＋，照料＋＋,CVE_A1_F_G_25&CVE_A1_X_G_5&CVE_A1_Growth|20_G_5,交给医疗部，天亮再来看,,,好感下降，倾向：坚强,CVE_A1_F_L_15&CVE_A1_Growth|11_G_3,把她抱回办公室，边看公务边守着,,,照料＋，倾向：勤劳,CVE_A1_F_G_14&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_3,,,,,
34,15,1,101,0,12,CVP_A1_Growth|20_LE_10,月度体检的单子送到了你手上：这孩子的体重比同月龄的低了一截。医生说不是病，就是没被照看够。,从明天起，每一顿都亲自看着喂,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_15&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_6,给育儿室加派一个保育员,,,照料＋,CVE_A1_F_G_8&CVE_A1_Growth|20_G_3,按医生的方子调一调食谱就行,,,照料＋，倾向：坚强,CVE_A1_F_G_6&CVE_A1_Growth|11_G_1&CVE_A1_Growth|20_G_2,,,,,
35,15,1,101,0,11,self_mother_available,她母亲今天来育儿室待了整整一个下午。你推门进去的时候，两个人都睡着了，孩子的手还揪着母亲的一缕头发。,退出去，把门轻轻带上,,,照料＋，倾向：脆弱，倾向：孤僻,CVE_A1_F_G_10&CVE_A1_Growth|11_L_1&CVE_A1_Growth|20_G_3&CVE_A1_Growth|12_L_1,在旁边坐下，等她们醒,,,好感＋，信赖＋,CVE_A1_F_G_16&CVE_A1_X_G_3&CVE_A1_Growth|12_G_2,给两个人各盖一条毯子,,,照料＋＋，倾向：热情,CVE_A1_F_G_14&CVE_A1_Growth|12_G_2&CVE_A1_Growth|20_G_4,,,,,
36,15,1,101,0,10,self_mother_available,她母亲出勤回来，一进育儿室就伸手要抱。孩子却先扭头看了你一眼，像是在确认什么，然后才把手伸过去。,点点头，让她安心过去,,,信赖＋＋，倾向：开放,CVE_A1_F_G_12&CVE_A1_X_G_5&CVE_A1_Growth|13_G_2,把她抱起来，先交到母亲手上,,,好感＋，照料＋,CVE_A1_F_G_14&CVE_A1_Growth|20_G_3&CVE_A1_Growth|12_G_1,站着不动，看她自己怎么选,,,倾向：坚强，好感小降,CVE_A1_F_L_4&CVE_A1_Growth|11_G_3,,,,,
37,15,1,101,0,9,self_have_sibling_child,她的姐姐踮着脚扒在婴儿床边，看了很久，忽然小声问你：她什么时候才能跟我玩。,把姐姐抱上来，让两个人碰碰手,,,好感＋，对方好感＋,CVE_A1_F_G_12&CVE_A1_Growth|12_G_2&CVE_A2_F_G_12,告诉姐姐还要等很久，先别急,,,倾向：坚强,CVE_A1_Growth|11_G_2&CVE_A2_F_G_5,让姐姐负责每天来看一次妹妹,,,倾向：热情，对方好感＋,CVE_A1_F_G_8&CVE_A1_Growth|12_G_3&CVE_A2_F_G_15,,,,,
38,15,1,101,0,9,self_have_sibling_child,两个孩子被放在同一张垫子上。年长的那个把玩具一件件推过去，婴儿一件也没接住，全滚到了一边，两个人都愣住了。,把玩具捡回来，教大的怎么递,,,倾向：勤劳，对方好感＋,CVE_A1_F_G_8&CVE_A1_Growth|10_G_2&CVE_A2_F_G_10,让她们自己折腾，看能玩出什么,,,倾向：开放,CVE_A1_Growth|13_G_3&CVE_A2_F_G_5,把两个人分开，各玩各的,,,倾向：孤僻，对方好感－,CVE_A1_Growth|12_L_2&CVE_A2_F_L_8,,,,,
39,15,1,101,0,9,time_summer,入夏之后育儿室闷得厉害。保育员还按老规矩给她裹着两层，你摸到她后颈时，那里已经出了一层细汗。,亲手把外面那层拆掉,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_12&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_4,让后勤把育儿室的通风修一修,,,照料＋，倾向：勤劳,CVE_A1_F_G_8&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_2,抱她去阴凉的走廊上待一会儿,,,好感＋，倾向：开放,CVE_A1_F_G_14&CVE_A1_Growth|13_G_2&CVE_A1_Growth|20_G_2,,,,,
40,15,1,101,0,9,time_winter,夜里降了温，育儿室的暖气声嗡嗡作响。她在襁褓里缩成一小团，手指冰凉，睡得却比平时都沉。,把她抱进怀里暖一会儿再放回去,,,好感＋＋，照料＋,CVE_A1_F_G_18&CVE_A1_Growth|20_G_3&CVE_A1_Growth|11_L_1,多加一条毯子，守到她手暖起来,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_12&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_4,让后勤先给育儿室调高供暖,,,照料＋，倾向：坚强,CVE_A1_F_G_8&CVE_A1_Growth|11_G_1&CVE_A1_Growth|20_G_2,,,,,
